Date,Value,Open,Close,High,Low
02/01/20,1435026.0,18.88,18.86,19.04,18.86
03/01/20,5101880.0,19.2,18.86,19.2,18.8
06/01/20,1971330.0,18.8,18.78,18.9,18.72
07/01/20,8497184.0,18.78,18.96,19.0,18.7
08/01/20,7527104.0,19.0,18.72,19.2,18.72
09/01/20,12581580.0,18.72,18.42,19.0,18.4
10/01/20,16253920.0,18.42,18.4,19.2,18.26
14/01/20,11356472.0,18.4,18.26,18.6,18.26
15/01/20,4239830.0,18.26,18.3,18.6,18.26
16/01/20,875414.0,18.3,18.3,18.42,18.26
17/01/20,2244918.0,18.4,18.22,18.4,18.22
20/01/20,6895686.0,18.24,18.0,18.4,17.94
21/01/20,10700898.0,18.0,18.0,18.02,17.9
22/01/20,20744994.0,18.0,18.02,18.3,17.9
23/01/20,8438646.0,18.02,17.84,18.22,17.8
24/01/20,34372072.0,17.84,18.0,18.06,17.84
27/01/20,6968132.0,18.02,18.0,18.26,17.94
28/01/20,9053776.0,17.92,17.76,18.0,17.68
29/01/20,11301170.0,17.8,17.16,17.8,17.1
30/01/20,6880468.0,17.2,16.9,17.5,16.84
31/01/20,15515638.0,16.86,15.9,16.9,15.74
03/02/20,13705618.0,15.9,17.9,18.0,15.72
04/02/20,4857612.0,17.5,17.0,17.5,15.94
05/02/20,2193910.0,17.2,16.5,17.2,16.3
06/02/20,5160696.0,16.52,17.34,17.34,16.52
07/02/20,11088874.0,17.4,17.96,17.96,17.18
10/02/20,21430638.0,18.0,18.48,18.82,18.0
11/02/20,6783074.0,18.48,18.74,18.74,18.04
12/02/20,20302478.0,18.78,19.08,19.2,18.74
13/02/20,9384852.0,19.18,18.46,19.26,18.32
14/02/20,6613688.0,18.44,18.5,19.0,18.14
17/02/20,3585270.0,18.5,18.92,18.94,18.5
18/02/20,2262326.0,18.62,18.86,19.06,18.6
19/02/20,2425500.0,18.86,18.76,18.88,18.64
20/02/20,6706978.0,18.9,19.16,19.4,18.6
21/02/20,12894684.0,19.18,18.4,19.48,18.06
24/02/20,8533070.0,18.0,17.3,18.0,17.3
26/02/20,14738966.0,17.0,17.0,17.0,16.02
27/02/20,7625070.0,17.2,17.0,17.6,16.5
