Date,Value,Open,Close,High,Low
02/01/20,212008.0,9.8,9.55,9.8,9.47
03/01/20,1586310.0,9.79,9.41,9.79,9.41
06/01/20,1518346.0,9.41,9.37,9.56,9.36
07/01/20,986183.0,9.4,9.31,9.4,9.31
08/01/20,3367081.0,9.31,9.06,9.31,9.06
09/01/20,2058485.0,9.05,9.05,9.49,9.05
10/01/20,6092295.0,9.1,9.07,9.1,9.01
14/01/20,1840667.0,9.07,8.95,9.3,8.95
15/01/20,498671.0,9.11,9.0,9.18,9.0
16/01/20,5416683.0,9.0,8.8,9.0,8.8
17/01/20,3961474.0,8.77,9.0,9.01,8.77
20/01/20,1168321.0,9.0,9.02,9.02,8.99
21/01/20,520691.0,9.39,9.12,9.39,9.05
22/01/20,685652.0,9.12,8.88,9.12,8.8
23/01/20,897970.0,9.05,8.88,9.1,8.88
24/01/20,59556.0,8.88,9.09,9.1,8.88
27/01/20,337149.0,9.09,8.95,9.09,8.94
28/01/20,570880.0,8.99,8.86,8.99,8.86
29/01/20,464866.0,9.23,9.0,9.23,8.87
30/01/20,1091918.0,9.0,8.88,9.0,8.88
31/01/20,1310329.0,8.88,8.4,8.88,8.4
03/02/20,472416.0,8.42,8.4,8.5,8.4
04/02/20,5097660.0,8.88,8.38,8.88,8.36
05/02/20,473253.0,8.36,8.4,8.4,8.32
06/02/20,31909372.0,8.51,8.55,8.99,8.5
07/02/20,6169019.0,8.55,8.8,8.92,8.55
10/02/20,27619687.0,8.6,8.53,8.6,8.46
11/02/20,5053350.0,8.6,9.08,9.08,8.6
12/02/20,228379.0,9.08,9.0,9.08,8.83
13/02/20,9784508.0,8.83,8.74,8.89,8.71
14/02/20,2013433.0,8.46,8.31,8.7,8.31
17/02/20,44922103.0,8.7,8.43,8.84,8.31
18/02/20,1441663.0,8.45,8.45,8.64,8.45
19/02/20,55333.0,8.42,8.87,8.99,8.42
20/02/20,4375877.0,8.99,8.5,8.99,8.5
21/02/20,17993661.0,8.56,8.63,8.86,8.52
24/02/20,1333100.0,8.51,8.5,8.51,8.5
26/02/20,5232945.0,8.3,8.2,8.5,8.0
27/02/20,3980310.0,8.3,8.2,8.3,8.2
28/02/20,4876454.0,8.4,7.95,8.4,7.95
02/03/20,376390.0,7.95,7.9,8.0,7.9
03/03/20,584620.0,7.91,7.9,7.91,7.9
04/03/20,3995045.0,7.82,7.8,7.82,7.71
05/03/20,1334536.0,7.73,7.75,8.39,7.7
