Date,Value,Open,Close,High,Low
02/01/20,3660504.0,12.04,11.78,12.04,11.74
03/01/20,3388484.0,11.78,12.18,12.2,11.78
06/01/20,2014012.0,12.14,12.0,12.14,11.98
07/01/20,1123080.0,12.1,11.96,12.1,11.84
08/01/20,1510604.0,11.88,11.96,11.96,11.82
09/01/20,695448.0,11.96,11.98,12.0,11.88
10/01/20,2633192.0,11.96,11.86,11.98,11.86
14/01/20,3553034.0,11.9,12.0,12.0,11.82
15/01/20,4221866.0,12.0,12.28,12.32,11.94
16/01/20,12555842.0,12.32,12.46,12.48,12.32
17/01/20,4919864.0,12.48,12.48,12.5,12.4
20/01/20,954040.0,12.5,12.24,12.5,12.1
21/01/20,2830938.0,12.24,12.0,12.24,11.9
22/01/20,2946754.0,12.0,12.12,12.18,11.9
23/01/20,4666272.0,12.0,12.1,12.1,11.96
24/01/20,4153590.0,12.18,12.1,12.18,12.0
27/01/20,3284434.0,12.1,12.12,12.18,11.94
28/01/20,1981376.0,12.12,11.9,12.14,11.9
29/01/20,3570324.0,11.9,11.84,11.92,11.84
30/01/20,1256684.0,11.84,11.86,11.9,11.84
31/01/20,6754602.0,11.84,11.2,11.9,11.0
03/02/20,2650260.0,11.02,11.0,11.18,10.96
04/02/20,3372814.0,11.0,11.06,11.1,10.96
05/02/20,930402.0,11.04,11.12,11.3,11.04
06/02/20,761364.0,11.12,11.32,11.4,11.12
07/02/20,1409748.0,11.48,11.2,11.48,11.2
10/02/20,379632.0,11.2,11.16,11.4,11.12
11/02/20,589110.0,11.16,11.16,11.2,11.14
12/02/20,1318026.0,11.16,11.14,11.38,11.14
13/02/20,3122514.0,11.16,11.16,11.2,11.14
14/02/20,7722152.0,11.2,11.3,11.3,11.14
17/02/20,449720.0,11.34,11.44,11.44,11.3
18/02/20,1488058.0,11.44,11.46,11.5,11.44
19/02/20,920422.0,11.46,11.5,11.54,11.42
20/02/20,1961566.0,11.5,11.72,11.8,11.5
21/02/20,1211732.0,11.72,11.56,11.76,11.54
24/02/20,2391890.0,11.44,11.28,11.44,11.18
26/02/20,4016950.0,11.2,11.1,11.2,10.96
27/02/20,535992.0,11.0,11.08,11.48,10.94
28/02/20,7429220.0,11.08,11.0,11.18,10.8
02/03/20,5691026.0,11.0,11.02,11.2,10.9
03/03/20,15033640.0,11.04,11.0,11.34,10.86
04/03/20,1449280.0,10.82,10.8,10.88,10.8
05/03/20,2653952.0,11.18,10.7,11.18,10.68
06/03/20,4346182.0,10.94,10.7,10.94,10.66
09/03/20,13929252.0,10.6,9.3,10.6,9.3
10/03/20,3931953.0,9.3,9.65,9.98,9.1
11/03/20,2981347.0,9.66,9.68,9.98,9.66
12/03/20,7224372.0,9.67,9.0,9.67,9.0
13/03/20,3535710.0,9.0,8.9,9.0,8.0
16/03/20,2781803.0,9.0,8.3,9.0,8.15
19/03/20,6413395.0,8.1,7.01,8.1,7.0
20/03/20,2136447.0,7.01,7.5,7.9,7.01
23/03/20,2146493.0,7.01,7.0,7.49,7.0
24/03/20,766857.0,7.28,7.09,7.28,7.05
25/03/20,1394361.0,7.1,7.31,7.84,7.1
26/03/20,1156475.0,7.35,7.6,7.79,7.35
27/03/20,6147745.0,7.71,8.0,8.21,7.71
30/03/20,1400781.0,8.0,7.51,8.0,7.5
31/03/20,1107104.0,7.53,7.7,7.97,7.53
01/04/20,605699.0,7.7,7.95,8.0,7.65
02/04/20,2369601.0,7.8,7.54,7.92,7.54
03/04/20,209113.0,7.56,7.6,7.85,7.54
06/04/20,1178728.0,7.6,7.78,7.88,7.59
07/04/20,989894.0,7.9,7.8,7.97,7.8
08/04/20,2647102.0,7.88,7.6,7.88,7.6
13/04/20,2045026.0,7.6,7.62,7.96,7.6
14/04/20,6491477.0,7.92,7.75,7.92,7.64
15/04/20,5929071.0,7.9,7.98,8.12,7.9
16/04/20,2732739.0,7.99,7.82,7.99,7.74
17/04/20,2835520.0,7.84,7.86,7.97,7.84
20/04/20,2259530.0,7.95,8.0,8.08,7.85
21/04/20,1226405.0,8.04,7.88,8.04,7.85
22/04/20,771411.0,7.88,7.8,7.88,7.78
23/04/20,2222392.0,7.82,7.94,8.02,7.82
24/04/20,2220026.0,7.96,7.85,7.98,7.78
27/04/20,1605571.0,7.85,7.68,7.9,7.65
28/04/20,1236754.0,7.66,7.66,7.72,7.61
29/04/20,1403415.0,7.8,7.61,7.83,7.61
30/04/20,1012808.0,7.63,7.85,7.85,7.63
04/05/20,1419320.0,7.85,7.76,7.85,7.7
05/05/20,1722152.0,7.84,7.65,7.84,7.65
06/05/20,1045751.0,7.78,7.74,7.78,7.65
07/05/20,1535038.0,7.74,7.65,7.74,7.65
08/05/20,1817606.0,7.74,7.62,7.74,7.6
11/05/20,1968841.0,7.63,7.6,7.63,7.6
12/05/20,419777.0,7.74,7.69,7.74,7.6
13/05/20,2815254.0,7.72,7.55,7.72,7.5
14/05/20,2420356.0,7.52,7.4,7.52,7.38
15/05/20,2897813.0,7.4,7.3,7.45,7.3
18/05/20,3848178.0,7.3,7.01,7.44,7.01
19/05/20,5268302.0,7.58,7.05,7.58,7.0
20/05/20,2226241.0,7.12,7.06,7.19,7.05
21/05/20,2492876.0,7.06,7.05,7.15,7.02
22/05/20,15868489.0,7.05,6.68,7.1,6.66
26/05/20,6220586.0,6.75,6.38,6.75,6.38
27/05/20,5243111.0,6.38,6.25,6.38,6.2
28/05/20,7257824.0,6.48,6.43,6.55,6.3
29/05/20,43219593.0,6.55,6.08,6.55,6.08
01/06/20,12729084.0,6.39,6.43,6.45,6.23
02/06/20,18929173.0,6.59,6.6,6.71,6.5
03/06/20,32219219.0,6.65,7.19,7.2,6.64
04/06/20,46305845.0,7.45,7.82,7.97,7.45
05/06/20,14777223.0,7.92,7.65,7.93,7.45
08/06/20,17915727.0,7.81,7.9,8.0,7.81
09/06/20,20862225.0,7.99,8.08,8.38,7.93
