Date,Value,Open,Close,High,Low
02/01/20,3824856.0,7.79,9.0,9.4,7.76
03/01/20,509845.0,8.88,9.0,9.3,8.75
06/01/20,93724.0,8.76,8.76,8.96,8.75
07/01/20,411618.0,8.88,8.86,9.04,8.73
08/01/20,324828.0,8.8,8.65,8.8,8.65
09/01/20,515489.0,8.52,8.5,8.87,8.36
10/01/20,72203.0,8.4,8.75,8.85,8.4
14/01/20,41560.0,8.84,8.84,8.85,8.84
15/01/20,79395.0,8.54,8.6,8.85,8.54
16/01/20,68147.0,8.85,8.87,8.87,8.63
17/01/20,1669889.0,8.85,8.7,9.13,8.53
20/01/20,489458.0,8.99,8.73,9.09,8.7
21/01/20,442219.0,8.97,8.74,8.97,8.52
22/01/20,118479.0,8.95,8.68,8.95,8.55
23/01/20,109096.0,8.95,8.55,8.95,8.53
24/01/20,500393.0,8.55,8.8,8.83,8.44
27/01/20,332615.0,8.55,8.84,8.89,8.52
28/01/20,52130.0,8.89,8.59,8.89,8.57
29/01/20,121136.0,8.8,8.41,8.8,8.4
30/01/20,506124.0,8.76,8.64,8.8,8.37
31/01/20,326407.0,8.37,8.1,8.4,7.8
03/02/20,45165.0,7.8,7.8,8.0,7.75
04/02/20,242093.0,8.0,7.75,8.0,7.2
05/02/20,72582.0,8.3,7.42,8.3,7.4
06/02/20,327011.0,7.6,7.5,7.97,7.36
07/02/20,170934.0,7.36,7.84,7.96,7.36
10/02/20,21195.0,7.5,7.8,7.83,7.45
11/02/20,56986.0,7.45,7.65,7.65,7.36
12/02/20,134290.0,7.79,7.45,7.79,7.22
13/02/20,411879.0,7.22,6.97,7.7,6.96
14/02/20,86291.0,7.58,7.0,7.58,7.0
17/02/20,123320.0,7.39,7.4,7.6,6.97
18/02/20,72328.0,7.58,7.13,7.58,7.11
19/02/20,86985.0,7.49,7.12,7.49,7.1
20/02/20,74402.0,7.12,7.0,7.2,6.96
21/02/20,80413.0,7.0,6.98,7.25,6.98
24/02/20,269580.0,6.98,6.92,7.38,6.92
26/02/20,207205.0,7.58,7.25,7.58,6.5
27/02/20,38317.0,6.71,7.0,7.46,6.71
28/02/20,238606.0,6.7,6.6,7.0,6.52
02/03/20,214325.0,6.52,6.34,6.6,6.34
03/03/20,13234.0,6.25,6.74,6.74,6.25
04/03/20,121275.0,6.74,6.99,7.0,6.5
05/03/20,40465.0,7.0,6.71,7.0,6.61
06/03/20,11921.0,6.71,7.0,7.0,6.59
09/03/20,127309.0,6.97,6.5,6.97,6.0
10/03/20,101577.0,6.0,6.0,6.0,5.21
11/03/20,32596.0,6.0,6.0,6.1,5.55
12/03/20,142068.0,6.2,5.5,6.2,5.25
13/03/20,299015.0,5.21,4.86,5.21,4.85
16/03/20,23100.0,4.05,4.8,4.8,4.05
20/03/20,23750.0,4.75,4.75,4.75,4.75
23/03/20,33800.0,4.0,4.5,4.5,4.0
24/03/20,64050.0,4.75,4.25,4.8,4.25
25/03/20,378700.0,4.8,5.0,5.0,4.75
26/03/20,58812.0,5.25,5.05,5.7,5.02
27/03/20,247861.0,5.01,5.05,5.4,5.0
30/03/20,47208.0,5.0,5.0,5.1,5.0
31/03/20,277173.0,4.9,4.85,5.0,4.6
01/04/20,211000.0,4.7,4.84,5.45,4.7
02/04/20,47640.0,4.71,4.8,4.8,4.71
03/04/20,82910.0,4.83,4.85,5.1,4.83
06/04/20,86930.0,4.85,4.8,4.88,4.8
07/04/20,64320.0,4.98,4.99,5.0,4.9
08/04/20,205630.0,5.24,5.19,5.24,5.0
13/04/20,59257.0,5.9,4.85,5.9,4.8
14/04/20,77610.0,4.85,5.29,5.3,4.85
15/04/20,68754.0,5.5,5.4,5.5,5.03
16/04/20,60773.0,5.04,5.28,5.29,5.04
17/04/20,180645.0,5.27,5.05,5.27,5.02
20/04/20,62989.0,5.3,5.1,5.3,5.09
21/04/20,77367.0,5.25,5.12,5.29,5.1
22/04/20,4659786.0,5.15,7.02,7.35,5.15
23/04/20,9508800.0,7.12,7.65,8.75,7.11
24/04/20,2267630.0,7.67,7.0,7.67,6.8
27/04/20,350142.0,7.12,6.7,7.12,6.51
28/04/20,17627883.0,6.63,7.54,9.38,6.63
29/04/20,10969133.0,7.56,8.03,8.95,7.56
30/04/20,2472348.0,8.13,7.91,8.64,7.8
04/05/20,2162834.0,7.8,7.8,8.3,7.0
05/05/20,543023.0,7.8,7.55,7.8,7.24
06/05/20,1041299.0,7.3,7.2,7.4,7.12
07/05/20,5266581.0,7.4,7.7,8.48,7.4
08/05/20,2525519.0,7.71,7.66,8.45,7.61
11/05/20,1230194.0,7.61,7.47,8.0,7.21
12/05/20,506700.0,7.66,7.5,7.66,7.23
13/05/20,362157.0,7.89,7.62,7.89,7.25
14/05/20,568091.0,7.4,7.25,7.68,7.2
15/05/20,919028.0,7.26,7.34,7.45,6.9
18/05/20,374108.0,7.44,7.09,7.49,6.91
19/05/20,428749.0,7.09,6.93,7.15,6.93
20/05/20,126906.0,6.93,7.0,7.32,6.93
21/05/20,178884.0,7.0,6.91,7.2,6.71
22/05/20,260508.0,6.8,6.98,7.19,6.78
26/05/20,188113.0,6.75,6.7,7.0,6.7
27/05/20,223031.0,6.6,6.5,6.75,6.38
28/05/20,318000.0,6.43,6.68,6.7,6.3
29/05/20,198827.0,6.44,6.74,7.0,6.44
01/06/20,244049.0,6.5,6.51,6.7,6.5
02/06/20,260590.0,6.46,6.69,6.7,6.42
03/06/20,273522.0,6.56,6.7,6.93,6.55
04/06/20,759072.0,6.55,7.1,7.15,6.53
05/06/20,497071.0,7.24,6.95,7.27,6.95
08/06/20,4235952.0,6.97,7.6,8.2,6.97
09/06/20,887282.0,7.6,7.45,7.9,7.05
10/06/20,617976.0,7.45,7.23,7.75,7.12
11/06/20,790825.0,7.26,7.5,7.5,7.03
15/06/20,245205.0,7.2,7.08,7.2,7.02
16/06/20,199859.0,7.08,7.28,7.49,7.08
17/06/20,3061628.0,7.08,8.08,8.3,7.05
18/06/20,1522235.0,8.0,7.69,8.0,7.1
19/06/20,181034.0,7.68,7.49,7.68,7.3
22/06/20,259938.0,7.31,7.54,7.6,7.22
23/06/20,1338226.0,7.31,7.94,8.08,7.31
24/06/20,1544407.0,7.51,7.3,7.9,7.3
25/06/20,1496390.0,7.2,7.03,7.31,7.0
26/06/20,520450.0,7.05,7.03,7.25,6.85
29/06/20,486484.0,7.03,6.9,7.03,6.52
30/06/20,307235.0,6.94,7.0,7.1,6.93
01/07/20,333769.0,6.99,6.8,6.99,6.66
02/07/20,327699.0,6.99,6.94,7.0,6.94
03/07/20,221390.0,6.8,6.87,7.0,6.8
06/07/20,128863.0,6.94,6.99,6.99,6.56
07/07/20,237166.0,6.99,6.76,6.99,6.7
08/07/20,69190.0,6.75,6.85,6.85,6.75
09/07/20,120074.0,6.98,6.8,6.98,6.75
10/07/20,68317.0,6.68,6.58,6.68,6.53
13/07/20,836353.0,6.58,7.3,7.5,6.58
14/07/20,46158255.0,7.32,7.1,10.6,6.75
15/07/20,4839557.0,7.49,6.6,7.49,6.6
16/07/20,854394.0,6.63,6.83,6.9,6.58
17/07/20,339787.0,6.79,6.68,6.8,6.6
20/07/20,459956.0,6.88,6.54,6.88,6.53
21/07/20,148374.0,6.7,6.75,6.84,6.55
