Date,Value,Open,Close,High,Low
02/01/20,321987.0,7.21,7.21,7.25,7.2
03/01/20,888364.0,7.22,7.22,7.22,7.2
06/01/20,52078.0,7.21,7.23,7.24,7.21
07/01/20,1889225.0,7.23,7.22,7.23,7.21
08/01/20,2525151.0,7.22,7.22,7.22,7.21
09/01/20,1167032.0,7.22,7.23,7.23,7.21
10/01/20,5728322.0,7.24,7.22,7.24,7.21
14/01/20,875189648.0,7.22,7.22,7.23,7.22
15/01/20,42769447.0,7.24,7.22,7.3,7.2
16/01/20,9332089.0,7.3,7.25,7.3,7.22
17/01/20,55819925.0,7.25,7.23,7.25,7.22
20/01/20,19198981.0,7.23,7.23,7.24,7.22
21/01/20,9825558.0,7.22,7.23,7.23,7.22
22/01/20,8788807.0,7.22,7.23,7.24,7.22
23/01/20,740332.0,7.24,7.23,7.24,7.22
24/01/20,1999079.0,7.22,7.23,7.23,7.22
27/01/20,219591.0,7.22,7.23,7.23,7.22
28/01/20,163202.0,7.22,7.23,7.23,7.22
29/01/20,22371375.0,7.24,7.22,7.24,7.22
30/01/20,28844689.0,7.23,7.22,7.23,7.22
31/01/20,43234928.0,7.23,7.22,7.25,7.22
03/02/20,1118400.0,7.24,7.24,7.24,7.22
04/02/20,421935.0,7.24,7.25,7.25,7.24
05/02/20,1845314514.0,7.26,7.25,7.34,7.23
06/02/20,61241562.0,7.34,7.25,7.34,7.25
07/02/20,24763851.0,7.26,7.26,7.49,7.25
10/02/20,26250304.0,7.26,7.26,7.3,7.24
11/02/20,44398285.0,7.32,7.26,7.32,7.25
12/02/20,53112234.0,7.26,7.25,7.26,7.25
13/02/20,32781507.0,7.27,7.26,7.3,7.24
14/02/20,2120712.0,7.26,7.26,7.28,7.25
17/02/20,1508424.0,7.26,7.28,7.28,7.25
18/02/20,13202395.0,7.28,7.51,7.7,7.26
19/02/20,3452665.0,7.49,7.53,7.6,7.38
20/02/20,1350176.0,7.58,7.52,7.58,7.51
21/02/20,10293682.0,7.52,7.55,7.55,7.5
24/02/20,8074659.0,7.59,7.63,7.69,7.58
26/02/20,13184071.0,7.64,7.65,7.72,7.63
27/02/20,19357287.0,7.66,7.89,7.89,7.66
28/02/20,27410315.0,7.9,8.02,8.05,7.9
02/03/20,8513148.0,8.05,8.02,8.05,8.0
03/03/20,14448028.0,8.03,8.12,8.23,8.03
04/03/20,6029701.0,8.05,8.11,8.15,8.05
05/03/20,7402906.0,8.12,8.09,8.12,8.09
06/03/20,4379265.0,8.08,8.09,8.1,8.07
09/03/20,48653816.0,8.09,8.09,8.1,8.04
10/03/20,25123859.0,8.06,8.12,8.18,8.06
11/03/20,20719621.0,8.13,8.39,8.42,8.13
12/03/20,51213356.0,8.42,8.38,8.46,8.36
13/03/20,327493549.0,8.39,9.01,9.1,8.34
16/03/20,107008317.0,9.0,9.3,9.5,9.0
19/03/20,543887824.0,8.4,7.74,9.25,7.65
20/03/20,14243374.0,7.69,7.5,7.69,6.76
23/03/20,1735733.0,7.5,7.0,7.5,6.0
24/03/20,81623708.0,6.5,7.18,7.2,6.5
25/03/20,135790324.0,7.18,7.2,7.26,7.08
26/03/20,1018058.0,7.0,7.22,7.22,6.97
27/03/20,7663173.0,7.23,8.5,8.5,7.22
30/03/20,835457.0,8.49,8.11,8.49,7.92
31/03/20,2048037.0,8.0,7.98,8.0,7.97
01/04/20,1865953.0,7.97,8.0,8.1,7.91
02/04/20,100173350.0,8.0,7.98,8.0,7.86
03/04/20,26980762.0,7.98,8.05,8.1,7.92
06/04/20,51819835.0,8.08,8.0,8.08,7.9
07/04/20,43199607.0,8.0,7.99,8.0,7.88
08/04/20,40007754.0,7.97,7.98,7.99,7.92
13/04/20,33694122.0,7.98,7.98,7.98,7.9
14/04/20,45079026.0,7.98,7.97,7.98,7.9
15/04/20,40275429.0,7.96,7.97,7.97,7.9
16/04/20,53000499.0,7.96,7.96,7.97,7.91
17/04/20,36246186.0,7.96,7.98,8.0,7.92
20/04/20,56362105.0,7.98,7.98,7.98,7.92
21/04/20,24216193.0,7.97,7.97,7.98,7.91
22/04/20,23620187.0,7.97,7.97,7.98,7.91
23/04/20,20057647.0,7.97,7.98,7.98,7.91
24/04/20,24377604.0,7.98,7.9,7.98,7.9
27/04/20,15409755.0,7.9,7.88,7.98,7.74
28/04/20,3988214.0,7.85,7.9,7.98,7.85
29/04/20,4838451.0,7.86,7.9,7.9,7.85
30/04/20,8134725.0,7.9,7.9,7.94,7.86
04/05/20,8039139.0,7.9,7.9,7.9,7.85
05/05/20,6379785.0,7.9,7.9,7.9,7.85
06/05/20,7957284.0,7.9,7.83,7.9,7.83
07/05/20,20888656.0,7.8,7.83,7.85,7.69
08/05/20,8751084.0,7.85,7.83,7.86,7.81
11/05/20,11937801.0,7.83,7.83,7.83,7.79
12/05/20,8281914.0,7.86,7.79,7.86,7.78
13/05/20,21843814.0,7.79,7.73,7.8,7.7
