Date,Value,Open,Close,High,Low
02/01/20,12750.0,0.42,0.435,0.435,0.42
03/01/20,59550.0,0.425,0.425,0.43,0.425
06/01/20,654550.0,0.43,0.42,0.43,0.42
07/01/20,83050.0,0.42,0.42,0.42,0.41
08/01/20,4150.0,0.415,0.415,0.415,0.415
09/01/20,182750.0,0.41,0.415,0.42,0.41
10/01/20,16800.0,0.42,0.42,0.42,0.42
14/01/20,29800.0,0.43,0.425,0.43,0.42
15/01/20,8600.0,0.43,0.43,0.43,0.43
16/01/20,4200.0,0.42,0.42,0.42,0.42
17/01/20,247700.0,0.415,0.42,0.42,0.415
20/01/20,193000.0,0.42,0.425,0.43,0.415
22/01/20,1812500.0,0.41,0.41,0.42,0.405
23/01/20,629050.0,0.41,0.405,0.415,0.405
24/01/20,270800.0,0.415,0.41,0.415,0.41
27/01/20,223900.0,0.43,0.41,0.43,0.405
28/01/20,150950.0,0.41,0.41,0.42,0.405
29/01/20,64900.0,0.41,0.405,0.41,0.405
30/01/20,1309000.0,0.405,0.4,0.405,0.4
31/01/20,59100.0,0.4,0.4,0.4,0.39
03/02/20,50800.0,0.39,0.4,0.4,0.39
04/02/20,12000.0,0.4,0.4,0.4,0.4
05/02/20,202900.0,0.39,0.4,0.4,0.39
06/02/20,167800.0,0.39,0.4,0.4,0.39
07/02/20,47000.0,0.4,0.4,0.4,0.39
10/02/20,62350.0,0.39,0.39,0.39,0.385
11/02/20,62400.0,0.39,0.39,0.39,0.39
13/02/20,57750.0,0.385,0.385,0.385,0.385
14/02/20,141850.0,0.385,0.38,0.385,0.38
17/02/20,91300.0,0.38,0.39,0.39,0.38
18/02/20,7800.0,0.39,0.39,0.39,0.39
19/02/20,581300.0,0.38,0.375,0.38,0.375
20/02/20,78100.0,0.375,0.385,0.385,0.37
26/02/20,3750.0,0.375,0.375,0.375,0.375
27/02/20,333750.0,0.375,0.38,0.38,0.37
28/02/20,37050.0,0.37,0.37,0.375,0.37
02/03/20,59200.0,0.37,0.37,0.37,0.37
03/03/20,18350.0,0.365,0.375,0.375,0.365
05/03/20,7400.0,0.37,0.37,0.37,0.37
06/03/20,515700.0,0.37,0.37,0.38,0.37
09/03/20,617700.0,0.36,0.36,0.36,0.345
10/03/20,43900.0,0.35,0.345,0.35,0.33
11/03/20,13650.0,0.34,0.345,0.345,0.34
12/03/20,484400.0,0.335,0.32,0.335,0.32
13/03/20,134050.0,0.32,0.315,0.32,0.3
16/03/20,45000.0,0.3,0.3,0.3,0.3
19/03/20,75800.0,0.3,0.28,0.3,0.28
20/03/20,197350.0,0.205,0.325,0.325,0.205
24/03/20,34700.0,0.315,0.32,0.32,0.315
25/03/20,74150.0,0.32,0.325,0.325,0.32
26/03/20,158750.0,0.25,0.3,0.32,0.24
27/03/20,148050.0,0.325,0.295,0.325,0.295
01/04/20,90600.0,0.3,0.3,0.31,0.3
03/04/20,16150.0,0.255,0.315,0.315,0.255
07/04/20,53500.0,0.285,0.3,0.31,0.285
13/04/20,18250.0,0.3,0.305,0.305,0.3
14/04/20,18600.0,0.31,0.31,0.31,0.31
15/04/20,303050.0,0.3,0.3,0.305,0.3
16/04/20,24000.0,0.3,0.3,0.3,0.3
20/04/20,14850.0,0.285,0.3,0.3,0.285
22/04/20,43550.0,0.285,0.295,0.295,0.285
23/04/20,26100.0,0.29,0.29,0.29,0.29
24/04/20,18000.0,0.3,0.3,0.3,0.3
27/04/20,14500.0,0.29,0.29,0.29,0.29
04/05/20,32500.0,0.325,0.325,0.325,0.325
05/05/20,114250.0,0.325,0.295,0.325,0.295
07/05/20,191750.0,0.295,0.295,0.295,0.295
08/05/20,8700.0,0.29,0.29,0.29,0.29
11/05/20,5800.0,0.29,0.29,0.29,0.29
12/05/20,49300.0,0.29,0.29,0.29,0.29
