Date,Value,Open,Close,High,Low
02/01/20,33600.0,1.6,1.6,1.6,1.6
08/01/20,39750.0,1.59,1.59,1.59,1.59
09/01/20,1580.0,1.58,1.58,1.58,1.58
10/01/20,3180.0,1.59,1.59,1.59,1.59
16/01/20,14220.0,1.58,1.58,1.58,1.58
21/01/20,4800.0,1.6,1.6,1.6,1.6
22/01/20,7900.0,1.58,1.58,1.58,1.58
24/01/20,13520.0,1.69,1.69,1.69,1.69
28/01/20,86780.0,1.61,1.61,1.61,1.6
29/01/20,16100.0,1.61,1.61,1.61,1.61
31/01/20,15594930.0,1.69,2.41,2.41,1.69
03/02/20,29425760.0,2.7,2.06,3.28,2.05
04/02/20,8971220.0,1.94,2.2,2.7,1.94
05/02/20,574660.0,2.2,2.16,2.2,2.05
06/02/20,1308970.0,2.15,2.03,2.16,1.97
07/02/20,1172060.0,2.03,1.98,2.15,1.98
10/02/20,70170990.0,1.98,2.97,2.97,1.98
11/02/20,81538600.0,3.07,3.09,3.79,3.0
12/02/20,12608050.0,3.16,2.95,3.2,2.84
13/02/20,7640790.0,2.9,2.4,2.9,2.4
14/02/20,50008110.0,2.49,2.8,3.3,2.3
17/02/20,23286420.0,2.81,3.17,3.35,2.81
18/02/20,10306320.0,3.16,2.9,3.16,2.89
19/02/20,5732840.0,2.9,2.96,3.03,2.76
20/02/20,2084600.0,2.96,2.84,2.98,2.84
21/02/20,7257530.0,2.84,2.65,2.89,2.61
24/02/20,23241800.0,2.67,2.94,3.12,2.67
26/02/20,54279810.0,3.1,3.36,3.57,2.76
27/02/20,32757180.0,3.34,3.07,3.62,3.05
28/02/20,151298910.0,3.16,3.78,4.49,3.16
02/03/20,82488370.0,4.09,3.77,4.2,3.45
03/03/20,61521060.0,3.85,3.78,4.04,3.61
04/03/20,101415130.0,3.9,3.83,4.2,3.65
05/03/20,38700500.0,3.9,3.65,4.06,3.51
06/03/20,26831870.0,3.71,3.63,3.8,3.56
09/03/20,57460430.0,3.9,2.75,3.94,2.7
10/03/20,30608570.0,2.3,2.55,2.69,2.05
11/03/20,29556030.0,2.68,2.91,2.95,2.6
12/03/20,18351270.0,2.98,2.35,2.99,2.35
13/03/20,15544230.0,2.06,2.35,2.49,1.82
16/03/20,15726970.0,2.06,2.36,2.75,2.0
19/03/20,8360200.0,2.35,1.91,2.35,1.9
20/03/20,10442220.0,1.86,1.72,2.19,1.61
