Date,Value,Open,Close,High,Low
03/01/20,10010.0,0.101,0.1,0.101,0.1
09/01/20,24030.0,0.1,0.101,0.101,0.1
17/01/20,3150.0,0.101,0.107,0.107,0.101
21/01/20,6420.0,0.107,0.107,0.107,0.107
23/01/20,149330.0,0.109,0.109,0.109,0.109
27/01/20,1050.0,0.105,0.105,0.105,0.105
28/01/20,7270.0,0.101,0.105,0.105,0.101
31/01/20,13650.0,0.105,0.105,0.105,0.105
03/02/20,10040.0,0.101,0.1,0.101,0.1
13/02/20,11840.0,0.1,0.092,0.1,0.092
27/02/20,1900.0,0.08,0.11,0.11,0.08
06/03/20,860.0,0.086,0.086,0.086,0.086
12/03/20,94990.0,0.089,0.08,0.089,0.08
16/03/20,72000.0,0.1,0.1,0.1,0.1
24/03/20,5000.0,0.1,0.1,0.1,0.1
16/04/20,790.0,0.079,0.079,0.079,0.079
29/04/20,142110.0,0.08,0.072,0.08,0.06
13/05/20,21400.0,0.073,0.069,0.073,0.069
14/05/20,66250.0,0.069,0.051,0.069,0.051
15/05/20,95330.0,0.07,0.052,0.076,0.052
20/05/20,92150.0,0.053,0.077,0.077,0.052
21/05/20,661800.0,0.077,0.114,0.114,0.077
22/05/20,5359120.0,0.114,0.128,0.145,0.114
26/05/20,2616970.0,0.127,0.132,0.14,0.12
27/05/20,773950.0,0.138,0.133,0.138,0.126
28/05/20,454660.0,0.134,0.128,0.134,0.126
29/05/20,1337670.0,0.12,0.12,0.121,0.11
01/06/20,560790.0,0.12,0.105,0.12,0.105
02/06/20,653620.0,0.103,0.112,0.112,0.098
03/06/20,572670.0,0.101,0.101,0.106,0.101
04/06/20,226780.0,0.1,0.101,0.104,0.098
05/06/20,476460.0,0.101,0.099,0.105,0.098
08/06/20,381500.0,0.099,0.1,0.1,0.092
09/06/20,104530.0,0.1,0.098,0.1,0.098
10/06/20,196040.0,0.098,0.095,0.098,0.092
11/06/20,153070.0,0.093,0.096,0.099,0.093
15/06/20,232300.0,0.095,0.092,0.095,0.092
16/06/20,74160.0,0.092,0.096,0.096,0.09
17/06/20,800220.0,0.096,0.11,0.11,0.094
18/06/20,744990.0,0.12,0.116,0.12,0.11
19/06/20,260720.0,0.116,0.109,0.116,0.101
22/06/20,329500.0,0.109,0.105,0.109,0.1
23/06/20,117400.0,0.1,0.105,0.105,0.097
24/06/20,73840.0,0.105,0.098,0.105,0.093
25/06/20,109430.0,0.096,0.101,0.101,0.096
26/06/20,447320.0,0.103,0.097,0.103,0.097
29/06/20,17560.0,0.097,0.102,0.102,0.097
30/06/20,24490.0,0.102,0.098,0.102,0.093
01/07/20,4212180.0,0.102,0.101,0.112,0.1
02/07/20,256070.0,0.1,0.105,0.108,0.096
03/07/20,66830.0,0.105,0.106,0.106,0.101
06/07/20,16720.0,0.098,0.104,0.104,0.098
07/07/20,353010.0,0.104,0.098,0.104,0.097
08/07/20,143760.0,0.102,0.102,0.103,0.097
09/07/20,149410.0,0.102,0.103,0.103,0.097
13/07/20,330630.0,0.103,0.103,0.103,0.103
14/07/20,37440.0,0.093,0.097,0.102,0.093
15/07/20,168720.0,0.093,0.094,0.095,0.093
16/07/20,48830.0,0.094,0.093,0.094,0.093
17/07/20,1860.0,0.093,0.093,0.093,0.093
20/07/20,7440.0,0.093,0.093,0.093,0.093
24/07/20,10230.0,0.093,0.093,0.093,0.093
27/07/20,125230.0,0.093,0.093,0.093,0.092
29/07/20,930.0,0.093,0.093,0.093,0.093
30/07/20,74640.0,0.09,0.095,0.1,0.086
