Date,Value,Open,Close,High,Low
21/01/20,3770.0,3.77,3.77,3.77,3.77
23/01/20,7520.0,3.76,3.76,3.76,3.76
27/01/20,41340.0,3.77,3.75,3.77,3.75
03/02/20,25270.0,3.61,3.61,3.61,3.61
05/02/20,3600.0,3.6,3.6,3.6,3.6
19/02/20,18000.0,3.6,3.6,3.6,3.6
03/03/20,9780.0,3.26,3.26,3.26,3.26
09/03/20,16250.0,3.25,3.25,3.25,3.25
06/04/20,8140.0,4.08,4.06,4.08,4.06
13/04/20,67210.0,2.87,3.7,4.06,2.87
14/04/20,19790.0,4.0,3.89,4.0,3.89
15/04/20,3890.0,3.89,3.89,3.89,3.89
21/04/20,18690.0,2.89,3.35,3.35,2.89
23/04/20,5820.0,2.91,2.91,2.91,2.91
28/04/20,8690.0,2.89,2.91,2.91,2.89
29/04/20,2890.0,2.89,2.89,2.89,2.89
06/05/20,15440.0,3.88,3.83,3.88,3.83
08/05/20,8790.0,2.93,2.93,2.93,2.93
11/05/20,2940.0,2.94,2.94,2.94,2.94
18/05/20,2880.0,2.88,2.88,2.88,2.88
03/06/20,35000.0,3.5,3.5,3.5,3.5
10/06/20,277000.0,2.77,2.77,2.77,2.77
18/06/20,55020.0,3.02,3.1,3.85,3.02
19/06/20,3790.0,3.79,3.79,3.79,3.79
24/06/20,67100.0,3.05,3.05,3.05,3.05
29/06/20,37440.0,3.12,3.12,3.12,3.12
01/07/20,34500.0,3.45,3.45,3.45,3.45
02/07/20,3440.0,3.44,3.44,3.44,3.44
03/07/20,10320.0,3.44,3.44,3.44,3.44
14/07/20,3450.0,3.45,3.45,3.45,3.45
20/07/20,2820.0,2.82,2.82,2.82,2.82
21/07/20,39130.0,3.0,3.37,3.45,3.0
22/07/20,21000.0,3.5,3.5,3.5,3.5
28/07/20,12470.0,3.12,3.11,3.12,3.11
30/07/20,19210.0,3.21,3.2,3.21,3.2
11/08/20,3200.0,3.2,3.2,3.2,3.2
12/08/20,3200.0,3.2,3.2,3.2,3.2
24/08/20,11380.0,3.79,3.8,3.8,3.79
26/08/20,11370.0,3.79,3.79,3.79,3.79
17/09/20,11370.0,3.79,3.79,3.79,3.79
21/09/20,20040.0,3.34,3.34,3.34,3.34
25/09/20,15250.0,3.05,3.05,3.05,3.05
28/09/20,46740.0,3.33,3.34,3.34,3.33
05/10/20,104640.0,3.74,3.74,3.74,3.72
16/10/20,7590.0,3.8,3.79,3.8,3.79
27/10/20,3790.0,3.79,3.79,3.79,3.79
18/11/20,38000.0,3.8,3.8,3.8,3.8
19/11/20,19000.0,3.8,3.8,3.8,3.8
23/11/20,0.0,0.0,0.0,0.0,0.0
03/12/20,3780.0,3.78,3.78,3.78,3.78
09/12/20,3790.0,3.79,3.79,3.79,3.79
15/12/20,3660.0,3.66,3.66,3.66,3.66
17/12/20,43440.0,3.41,3.27,3.41,3.23
18/12/20,115790.0,3.75,3.6,3.8,3.6
21/12/20,64400.0,3.38,3.41,3.41,3.38
22/12/20,102610.0,3.31,3.31,3.31,3.31
29/12/20,865920.0,2.9,2.99,2.99,2.9
04/01/21,90630.0,3.02,3.02,3.03,3.02
07/01/21,10380.0,3.47,3.44,3.47,3.44
08/01/21,6560.0,3.28,3.28,3.28,3.28
11/01/21,1006620.0,3.04,3.15,3.17,3.04
