Date,Value,Open,Close,High,Low
02/01/20,2296200.0,890.0,890.0,890.0,890.0
03/01/20,8910.0,891.0,891.0,891.0,891.0
06/01/20,2226250.0,890.5,890.5,890.5,890.5
07/01/20,8910.0,891.0,891.0,891.0,891.0
14/01/20,204800.0,893.5,890.0,893.5,890.0
15/01/20,44530.0,890.0,892.0,892.0,890.0
20/01/20,445000.0,890.0,890.0,890.0,890.0
21/01/20,44675.0,893.5,893.5,893.5,893.5
22/01/20,275900.0,890.0,890.0,890.0,890.0
23/01/20,17800.0,890.0,890.0,890.0,890.0
30/01/20,1994620.0,890.0,890.5,890.5,890.0
31/01/20,696930.0,893.5,893.5,893.5,893.5
03/02/20,120430.0,923.0,930.0,930.0,923.0
04/02/20,1357930.0,895.0,890.0,895.0,890.0
05/02/20,9000.0,900.0,900.0,900.0,900.0
06/02/20,1112550.0,890.5,890.5,890.5,890.0
11/02/20,8900.0,890.0,890.0,890.0,890.0
12/02/20,213600.0,890.0,890.0,890.0,890.0
17/02/20,222500.0,890.0,890.0,890.0,890.0
20/02/20,1602000.0,890.0,890.0,890.0,890.0
24/02/20,8684740.0,890.0,890.0,895.0,890.0
26/02/20,578600.0,900.0,890.0,900.0,890.0
27/02/20,186900.0,890.0,890.0,890.0,890.0
28/02/20,832520.0,800.5,800.5,800.5,800.5
03/03/20,1008070.0,800.5,800.0,800.5,800.0
09/03/20,192215.0,805.0,800.0,805.0,800.0
10/03/20,1100250.0,815.0,815.0,815.0,815.0
11/03/20,8290.0,829.0,829.0,829.0,829.0
13/03/20,8300.0,830.0,830.0,830.0,830.0
16/03/20,456285.0,800.5,800.5,800.5,800.5
19/03/20,8005.0,800.5,800.5,800.5,800.5
20/03/20,160055.0,800.5,800.0,800.5,800.0
07/04/20,8300.0,830.0,830.0,830.0,830.0
14/04/20,24900.0,830.0,830.0,830.0,830.0
16/04/20,8300.0,830.0,830.0,830.0,830.0
17/04/20,16600.0,830.0,830.0,830.0,830.0
04/06/20,312650.0,845.0,845.0,845.0,845.0
05/06/20,154610.0,850.0,880.0,900.0,840.0
08/06/20,125970.0,898.0,900.0,900.0,898.0
09/06/20,411365.0,900.5,949.0,950.0,900.5
10/06/20,595100.0,913.0,998.5,998.5,913.0
11/06/20,259240.0,1010.0,995.0,1010.0,995.0
15/06/20,351930.0,965.0,801.0,965.0,801.0
16/06/20,320265.0,800.0,850.0,879.0,752.0
18/06/20,40045.0,801.5,800.0,801.5,800.0
19/06/20,136485.0,840.0,800.0,840.0,800.0
23/06/20,23215.0,750.5,770.0,801.0,750.5
24/06/20,380240.0,776.0,776.0,776.0,776.0
25/06/20,23200.0,775.0,770.0,775.0,770.0
26/06/20,7770.0,777.0,777.0,777.0,777.0
29/06/20,15415.0,770.5,771.0,771.0,770.5
01/07/20,114905.0,770.0,750.0,770.0,750.0
02/07/20,42000.0,700.0,700.0,700.0,700.0
14/07/20,14000.0,700.0,700.0,700.0,700.0
15/07/20,203800.0,550.0,629.0,629.0,550.0
16/07/20,18490.0,619.0,615.0,619.0,615.0
17/07/20,58910.0,590.0,589.5,590.0,588.5
20/07/20,17775.0,588.0,600.0,600.0,588.0
23/07/20,6000.0,600.0,600.0,600.0,600.0
24/07/20,5900.0,590.0,590.0,590.0,590.0
27/07/20,11586000.0,600.0,600.0,600.0,600.0
03/08/20,6050.0,605.0,605.0,605.0,605.0
10/08/20,17900.0,580.0,605.0,605.0,580.0
11/08/20,89530.0,604.0,602.5,604.0,552.0
12/08/20,11210.0,560.5,560.5,560.5,560.5
13/08/20,17995.0,600.0,599.5,600.0,599.5
14/08/20,29290.0,600.0,565.0,600.0,565.0
17/08/20,29920.0,598.5,598.5,598.5,598.0
18/08/20,178940.0,598.0,570.0,598.0,570.0
19/08/20,192705.0,590.0,566.0,590.0,565.0
20/08/20,17000.0,560.0,580.0,580.0,560.0
24/08/20,23240.0,555.5,589.5,589.5,555.5
27/08/20,168120.0,560.5,560.0,560.5,560.0
28/08/20,63750.0,580.0,575.0,580.0,575.0
01/09/20,50060.0,560.0,555.0,560.0,555.0
02/09/20,198235.0,555.0,550.0,555.0,550.0
09/09/20,89200.0,550.0,560.0,560.0,550.0
14/09/20,15840.0,528.0,528.0,528.0,528.0
18/09/20,5500.0,550.0,550.0,550.0,550.0
24/09/20,27900.0,555.0,560.0,560.0,555.0
25/09/20,11100.0,555.0,555.0,555.0,555.0
01/10/20,22100.0,555.0,545.0,555.0,545.0
02/10/20,5550.0,555.0,555.0,555.0,555.0
08/10/20,48882.0,550.0,488.2,550.0,488.2
09/10/20,124000.0,495.0,495.0,500.0,495.0
12/10/20,210000.0,500.0,500.0,500.0,500.0
13/10/20,25000.0,500.0,500.0,500.0,500.0
14/10/20,10000.0,500.0,500.0,500.0,500.0
15/10/20,24882.0,488.2,500.0,500.0,488.2
20/10/20,84750.0,500.0,495.0,500.0,495.0
21/10/20,85000.0,500.0,500.0,500.0,500.0
22/10/20,205000.0,500.0,500.0,500.0,500.0
23/10/20,261280.0,500.0,564.0,564.0,500.0
26/10/20,83300.0,560.0,550.0,560.0,550.0
27/10/20,16500.0,550.0,550.0,550.0,550.0
28/10/20,33280.0,564.0,550.0,564.0,550.0
29/10/20,231180.0,560.0,550.0,560.0,550.0
30/10/20,253000.0,550.0,550.0,550.0,550.0
03/11/20,22400.0,560.0,560.0,560.0,560.0
04/11/20,28000.0,560.0,560.0,560.0,560.0
05/11/20,132050.0,550.0,555.0,555.0,550.0
06/11/20,45210.0,569.0,560.0,574.0,560.0
16/11/20,33600.0,560.0,560.0,560.0,560.0
17/11/20,5600.0,560.0,560.0,560.0,560.0
18/11/20,69000.0,575.0,575.0,575.0,575.0
19/11/20,145000.0,576.0,590.0,590.0,576.0
20/11/20,299730.0,615.0,640.0,640.0,615.0
23/11/20,121450.0,615.0,650.0,650.0,615.0
24/11/20,25950.0,615.0,660.0,660.0,615.0
25/11/20,32500.0,650.0,650.0,650.0,650.0
02/12/20,6500.0,650.0,650.0,650.0,650.0
09/12/20,34360.0,555.0,582.0,582.0,555.0
11/12/20,38720.0,644.5,646.0,646.0,644.5
14/12/20,220380.0,650.0,558.0,650.0,558.0
15/12/20,6500.0,650.0,650.0,650.0,650.0
17/12/20,12800.0,640.0,640.0,640.0,640.0
22/12/20,83200.0,640.0,640.0,640.0,640.0
23/12/20,12255.0,576.0,649.5,649.5,576.0
28/12/20,28800.0,576.0,576.0,576.0,576.0
29/12/20,4006315.0,581.5,630.0,630.0,581.5
04/01/21,17445.0,581.5,581.5,581.5,581.5
05/01/21,11680.0,584.0,584.0,584.0,584.0
08/01/21,5855.0,585.5,585.5,585.5,585.5
