Date,Value,Open,Close,High,Low
02/01/20,1038324.0,13.48,13.2,13.48,13.0
03/01/20,15716.0,13.48,13.02,13.48,13.02
06/01/20,2692.0,13.46,13.46,13.46,13.46
07/01/20,358176.0,13.46,13.3,13.46,13.2
08/01/20,1407760.0,13.1,13.2,13.3,13.1
09/01/20,315710.0,13.1,13.1,13.1,13.1
10/01/20,1683180.0,13.3,13.16,13.4,13.0
14/01/20,990410.0,13.0,13.1,13.1,13.0
15/01/20,463336.0,13.0,13.16,13.18,13.0
16/01/20,252654.0,13.1,13.16,13.16,13.1
17/01/20,1265868.0,12.98,13.16,13.16,12.98
20/01/20,136570.0,13.26,13.0,13.26,12.98
21/01/20,320500.0,13.0,13.08,13.1,13.0
23/01/20,109198.0,13.0,13.0,13.0,12.98
24/01/20,733696.0,12.98,13.1,13.1,12.98
27/01/20,197508.0,13.08,13.08,13.08,13.08
28/01/20,459640.0,13.2,13.0,13.2,13.0
29/01/20,305200.0,13.1,13.0,13.1,13.0
30/01/20,103840.0,12.98,12.98,12.98,12.98
31/01/20,542886.0,13.26,13.02,13.26,12.9
03/02/20,2341224.0,12.9,12.5,12.9,12.5
04/02/20,517260.0,12.8,12.2,12.8,12.2
05/02/20,4128342.0,12.0,12.76,12.8,12.0
07/02/20,97650.0,12.7,12.68,12.7,12.68
10/02/20,355322.0,12.5,12.4,12.5,12.02
12/02/20,111840.0,12.0,12.78,12.78,12.0
14/02/20,104580.0,12.6,12.6,12.6,12.6
18/02/20,372138.0,12.02,12.0,12.1,12.0
19/02/20,11100.0,12.6,12.3,12.6,12.3
21/02/20,1230.0,12.3,12.3,12.3,12.3
24/02/20,989060.0,12.3,12.58,12.58,12.3
26/02/20,68556.0,11.62,12.48,12.48,11.62
28/02/20,2065690.0,12.46,12.0,12.46,12.0
02/03/20,99372.0,12.0,12.64,12.7,12.0
03/03/20,404398.0,12.0,11.98,12.0,11.98
04/03/20,216888.0,11.98,11.64,11.98,11.64
06/03/20,1164.0,11.64,11.64,11.64,11.64
10/03/20,58000.0,11.6,11.6,11.6,11.6
11/03/20,117032.0,11.58,11.5,11.6,11.5
12/03/20,33000.0,11.0,11.0,11.0,11.0
13/03/20,462857.0,9.5,10.0,10.0,9.5
16/03/20,266216.0,9.99,8.5,9.99,8.5
19/03/20,341200.0,8.5,7.5,9.2,6.9
20/03/20,259000.0,7.5,7.6,7.6,7.5
23/03/20,478095.0,7.22,6.7,7.25,6.5
24/03/20,84152.0,6.6,6.72,7.0,6.6
25/03/20,141640.0,7.0,7.78,7.8,7.0
26/03/20,74078.0,7.76,9.0,9.86,7.76
27/03/20,1166839.0,8.55,8.99,9.0,8.55
30/03/20,138840.0,9.0,8.4,9.0,8.0
31/03/20,1680.0,8.4,8.4,8.4,8.4
01/04/20,167218.0,8.4,9.4,9.4,8.0
03/04/20,1870.0,9.3,9.4,9.4,9.3
06/04/20,117300.0,8.5,8.5,8.5,8.5
07/04/20,46110.0,9.0,8.5,9.5,8.3
08/04/20,73100.0,8.5,8.5,8.5,8.5
13/04/20,13450.0,8.4,8.5,8.5,8.4
14/04/20,137546.0,9.0,8.9,9.0,8.4
15/04/20,71390.0,9.0,8.45,9.0,8.45
16/04/20,58017.0,8.6,8.6,8.6,8.5
17/04/20,191018.0,8.6,9.35,9.35,8.01
20/04/20,100920.0,9.2,9.0,9.2,9.0
21/04/20,33180.0,9.0,9.0,9.0,8.7
22/04/20,523670.0,8.62,8.5,8.62,8.5
23/04/20,5048.0,8.04,8.6,8.6,8.04
27/04/20,10677.0,8.59,8.1,8.59,8.1
28/04/20,9350.0,8.5,8.5,8.5,8.5
30/04/20,92512.0,8.6,8.6,8.6,8.26
04/05/20,3408500.0,8.5,8.5,8.5,8.5
05/05/20,124320.0,8.4,8.4,8.4,8.4
06/05/20,5744.0,8.3,8.2,8.3,8.16
07/05/20,1654194.0,8.16,8.5,8.6,8.16
08/05/20,4902.0,8.17,8.17,8.17,8.17
11/05/20,213040.0,8.5,8.3,8.5,8.3
13/05/20,8200.0,8.2,8.2,8.2,8.2
14/05/20,42862.0,8.21,8.23,8.3,8.21
15/05/20,112723.0,8.23,8.22,8.23,8.22
18/05/20,26283.0,8.22,8.21,8.22,8.21
19/05/20,61432.0,8.14,8.2,8.2,8.14
20/05/20,313985.0,8.15,8.02,8.2,8.0
22/05/20,80000.0,8.0,8.0,8.0,8.0
26/05/20,16205.0,8.15,8.1,8.15,8.0
28/05/20,1076118.0,8.1,8.49,8.5,7.7
01/06/20,200365.0,8.49,8.49,8.5,8.49
03/06/20,143655.0,9.0,8.31,9.0,8.3
04/06/20,127715.0,9.0,8.4,9.0,8.4
05/06/20,37680.0,8.4,9.0,9.0,8.4
08/06/20,399327.0,9.0,9.0,9.0,8.51
09/06/20,67573.0,9.0,9.0,9.88,9.0
10/06/20,53610.0,8.7,8.5,8.7,8.5
11/06/20,288248.0,8.5,8.5,8.6,8.5
15/06/20,494815.0,8.25,8.0,8.25,7.95
16/06/20,459524.0,9.86,8.01,9.86,8.01
17/06/20,66161782.0,8.51,8.4,8.7,8.07
18/06/20,317221.0,9.0,8.5,9.0,8.5
19/06/20,146953010.0,8.5,8.12,8.99,8.06
22/06/20,138570465.0,8.97,8.1,8.97,8.1
23/06/20,1152887.0,8.11,8.16,8.28,8.08
24/06/20,241210.0,8.22,8.05,8.22,8.05
25/06/20,576598.0,8.05,8.0,8.12,7.95
26/06/20,184365.0,8.0,7.97,8.28,7.95
29/06/20,1644736.0,8.26,7.97,8.26,7.62
30/06/20,1792418.0,7.82,7.9,7.93,7.8
01/07/20,669635.0,7.95,8.22,8.26,7.8
02/07/20,486915.0,8.26,8.28,8.28,8.1
03/07/20,655068.0,8.28,8.6,8.6,8.28
06/07/20,135286.0,8.6,8.49,8.6,8.49
07/07/20,143726.0,8.9,8.78,8.9,8.49
08/07/20,272520.0,8.8,8.9,8.9,8.8
09/07/20,3025145.0,8.89,8.8,8.89,8.8
10/07/20,130990.0,8.5,8.5,8.98,8.5
13/07/20,10864.0,8.12,8.12,8.89,8.12
14/07/20,179438.0,8.88,8.8,8.88,8.7
15/07/20,193800.0,8.85,8.81,8.89,8.81
16/07/20,613528.0,8.8,9.12,9.12,8.55
17/07/20,853400.0,9.0,9.0,9.0,8.88
20/07/20,12600.0,9.0,9.0,9.0,9.0
22/07/20,4490.0,8.98,8.98,8.98,8.98
23/07/20,323195.0,8.11,9.0,9.0,8.11
24/07/20,8192.0,9.1,9.11,9.11,9.1
27/07/20,4100.0,8.2,8.2,8.2,8.2
28/07/20,68416.0,9.11,8.21,9.11,8.21
29/07/20,8250.0,8.25,8.25,8.25,8.25
30/07/20,1738.0,8.69,8.69,8.69,8.69
03/08/20,27131.0,8.59,8.21,8.59,8.21
04/08/20,42914.0,8.5,8.5,8.59,8.5
05/08/20,154490.0,8.2,8.5,8.5,8.2
06/08/20,42116.0,8.53,8.5,8.6,8.5
10/08/20,333668.0,8.32,8.5,8.5,8.27
11/08/20,308550.0,8.5,8.5,8.5,8.5
12/08/20,402050.0,8.5,8.5,8.5,8.5
13/08/20,52710.0,8.6,8.5,8.6,8.5
14/08/20,37451.0,8.6,8.51,8.6,8.5
17/08/20,345045.0,8.96,8.51,9.0,8.51
18/08/20,262042.0,8.51,8.76,8.94,8.51
19/08/20,5244.0,8.74,8.74,8.74,8.74
20/08/20,874.0,8.74,8.74,8.74,8.74
24/08/20,860.0,8.6,8.6,8.6,8.6
25/08/20,860.0,8.6,8.6,8.6,8.6
26/08/20,8328.0,8.26,8.26,8.6,8.26
27/08/20,40320.0,8.4,8.4,8.4,8.4
28/08/20,3360.0,8.4,8.4,8.4,8.4
01/09/20,94260.0,8.4,8.55,8.55,8.4
02/09/20,21075.0,8.4,8.55,8.55,8.4
03/09/20,5139995.0,8.4,8.5,8.55,8.4
04/09/20,19450.0,8.5,8.45,8.5,8.45
07/09/20,36471.0,8.5,8.49,8.5,8.43
08/09/20,152969.0,8.49,8.52,8.55,8.49
09/09/20,154702.0,8.51,8.5,8.51,8.5
10/09/20,219064.0,8.52,8.53,8.53,8.52
11/09/20,34120.0,8.53,8.53,8.53,8.53
14/09/20,156633.0,8.79,8.79,9.0,8.79
15/09/20,1491576.0,8.72,8.59,8.72,8.5
16/09/20,612875.0,8.5,8.75,8.75,8.5
17/09/20,378347.0,8.62,8.5,8.75,8.5
18/09/20,5139.0,8.72,8.67,8.72,8.5
22/09/20,18732.0,8.5,8.66,8.66,8.5
23/09/20,1732.0,8.66,8.66,8.66,8.66
24/09/20,13050.0,8.5,8.75,8.75,8.5
25/09/20,62125.0,8.75,8.75,8.75,8.75
28/09/20,177305.0,8.5,8.7,8.75,8.5
29/09/20,2591.0,8.7,8.51,8.7,8.51
30/09/20,68770.0,8.75,8.6,8.75,8.51
01/10/20,6050.0,8.6,8.75,8.75,8.6
02/10/20,11372.0,8.75,8.72,8.75,8.72
05/10/20,50372.0,8.6,8.72,8.72,8.6
06/10/20,32504.0,8.6,8.71,8.71,8.51
09/10/20,37415.0,8.51,8.74,8.74,8.51
12/10/20,1745.0,8.73,8.72,8.73,8.72
13/10/20,2595.0,8.6,8.6,8.75,8.6
14/10/20,12250.0,8.75,8.75,8.75,8.75
15/10/20,22720.0,8.74,8.7,8.74,8.7
16/10/20,358806.0,8.73,8.55,8.73,8.55
19/10/20,87148.0,8.75,8.9,9.0,8.75
20/10/20,90857.0,9.0,8.98,9.03,8.98
21/10/20,56179.0,9.09,9.06,9.1,8.91
22/10/20,96705.0,9.1,9.48,9.5,9.1
23/10/20,170154.0,9.48,9.5,9.5,9.4
26/10/20,105352.0,9.5,9.5,9.5,8.88
27/10/20,40729.0,9.3,9.4,9.5,9.2
28/10/20,134656.0,9.4,9.2,9.4,9.2
29/10/20,103586.0,9.0,8.9,9.3,8.9
30/10/20,15381.0,9.89,9.7,9.89,9.05
03/11/20,2906.0,9.68,9.69,9.69,9.68
04/11/20,163330.0,9.11,9.39,9.4,9.08
05/11/20,217390.0,9.5,9.5,9.5,9.4
06/11/20,229136.0,9.48,9.4,9.48,9.4
09/11/20,74210.0,9.4,9.4,9.4,9.38
10/11/20,325500.0,9.3,9.25,9.35,9.25
11/11/20,944630.0,9.35,9.13,9.35,9.13
13/11/20,33653.0,9.59,9.48,9.59,9.09
16/11/20,365766.0,9.5,9.57,9.6,9.5
17/11/20,449152.0,9.7,9.28,9.7,9.22
18/11/20,571667.0,9.69,9.26,9.69,9.26
19/11/20,578510.0,9.09,9.09,9.15,9.09
20/11/20,616963.0,9.09,9.05,9.09,9.03
23/11/20,213677.0,9.07,9.29,9.3,9.07
24/11/20,514990.0,9.29,9.59,9.6,9.29
25/11/20,1077329.0,9.53,9.34,9.54,9.11
26/11/20,114502.0,9.37,9.48,9.49,9.35
27/11/20,139179.0,9.08,9.16,9.44,9.08
01/12/20,341399.0,9.16,9.29,9.3,9.01
02/12/20,48615.0,9.3,9.26,9.37,9.26
03/12/20,50014.0,9.02,9.36,9.36,9.02
04/12/20,125292.0,9.32,9.36,9.36,9.32
07/12/20,292103.0,9.35,9.52,9.54,9.25
09/12/20,304655.0,9.54,9.54,9.54,9.32
10/12/20,386590.0,9.54,9.7,9.79,9.4
11/12/20,425592.0,9.71,9.7,9.71,9.65
14/12/20,1258424.0,9.6,10.1,10.1,9.6
15/12/20,406447.0,10.1,10.1,10.1,9.9
16/12/20,252951.0,10.1,9.97,10.1,9.96
17/12/20,303666.0,10.1,10.0,10.1,10.0
18/12/20,91770.0,10.0,10.0,10.1,9.83
21/12/20,45100.0,10.1,10.0,10.1,10.0
22/12/20,97215.0,9.9,9.75,10.0,9.61
23/12/20,137569.0,9.61,9.73,9.73,9.4
28/12/20,127360.0,9.7,9.7,9.7,9.41
29/12/20,303361.0,9.7,9.44,9.7,9.44
04/01/21,162730.0,9.43,9.47,9.5,9.4
05/01/21,1625458.0,9.4,9.25,9.46,8.88
06/01/21,57960.0,9.2,9.2,9.2,9.2
07/01/21,95630.0,8.81,9.0,9.26,8.81
08/01/21,1235317.0,9.26,9.3,9.65,9.17
11/01/21,546615.0,9.2,9.0,9.25,8.95
