Date,Value,Open,Close,High,Low
02/01/20,8824910.0,1.52,1.5,1.52,1.49
03/01/20,10797900.0,1.51,1.51,1.53,1.5
06/01/20,7703650.0,1.52,1.51,1.52,1.49
07/01/20,12669170.0,1.51,1.52,1.53,1.51
08/01/20,19761220.0,1.52,1.55,1.55,1.49
09/01/20,24067500.0,1.54,1.54,1.55,1.51
10/01/20,20918770.0,1.53,1.53,1.55,1.52
14/01/20,32502630.0,1.54,1.55,1.55,1.51
15/01/20,26769860.0,1.55,1.54,1.56,1.52
16/01/20,33605440.0,1.54,1.53,1.55,1.51
17/01/20,22762650.0,1.54,1.54,1.55,1.52
20/01/20,16828800.0,1.54,1.53,1.54,1.51
21/01/20,37409740.0,1.53,1.53,1.53,1.48
22/01/20,4738180.0,1.53,1.5,1.53,1.5
23/01/20,7212030.0,1.5,1.51,1.52,1.5
24/01/20,4879760.0,1.53,1.52,1.53,1.51
27/01/20,11363630.0,1.52,1.52,1.53,1.5
28/01/20,14612020.0,1.53,1.51,1.53,1.5
29/01/20,11698080.0,1.51,1.5,1.51,1.49
30/01/20,17507370.0,1.51,1.5,1.51,1.47
31/01/20,19016820.0,1.5,1.46,1.5,1.45
03/02/20,11444160.0,1.46,1.43,1.47,1.42
04/02/20,29828030.0,1.45,1.42,1.46,1.42
05/02/20,21850200.0,1.43,1.45,1.46,1.43
06/02/20,35585320.0,1.46,1.45,1.46,1.44
07/02/20,10360930.0,1.45,1.44,1.45,1.44
10/02/20,8581420.0,1.44,1.45,1.46,1.44
11/02/20,6847000.0,1.45,1.46,1.46,1.44
12/02/20,9137580.0,1.47,1.45,1.47,1.44
13/02/20,32857320.0,1.46,1.43,1.46,1.42
14/02/20,49549560.0,1.43,1.41,1.44,1.41
17/02/20,13721370.0,1.42,1.42,1.44,1.42
18/02/20,35782460.0,1.42,1.41,1.43,1.41
19/02/20,12789160.0,1.42,1.43,1.43,1.41
20/02/20,34240550.0,1.43,1.4,1.43,1.4
21/02/20,25391610.0,1.4,1.4,1.44,1.4
24/02/20,37574740.0,1.4,1.34,1.41,1.33
26/02/20,22576770.0,1.32,1.28,1.32,1.25
27/02/20,23812180.0,1.28,1.26,1.3,1.26
28/02/20,48776250.0,1.26,1.23,1.26,1.21
02/03/20,11209650.0,1.23,1.24,1.24,1.21
03/03/20,9645410.0,1.25,1.25,1.27,1.21
04/03/20,12454700.0,1.25,1.27,1.27,1.23
05/03/20,5010790.0,1.28,1.25,1.28,1.25
06/03/20,28060290.0,1.26,1.2,1.27,1.19
09/03/20,18406260.0,1.2,1.12,1.2,1.1
10/03/20,26480800.0,1.08,1.07,1.11,1.0
