Date,Value,Open,Close,High,Low
06/01/20,8160.0,6.8,6.8,6.8,6.8
10/01/20,140000.0,7.0,7.0,7.0,7.0
15/01/20,10896.0,6.81,6.81,6.81,6.81
26/02/20,185600.0,6.5,6.0,6.5,6.0
13/03/20,1222.0,6.11,6.11,6.11,6.11
19/03/20,1222.0,6.11,6.11,6.11,6.11
14/05/20,67210.0,6.11,6.11,6.11,6.11
30/06/20,2436.0,6.09,6.09,6.09,6.09
03/07/20,5334.0,6.09,5.25,6.09,5.25
06/07/20,342053.0,7.14,7.87,7.87,7.14
07/07/20,1868024.0,9.95,7.92,9.95,7.9
08/07/20,193200.0,8.98,8.01,9.0,8.0
09/07/20,102971.0,8.5,8.15,8.5,8.02
10/07/20,72995.0,8.15,8.07,8.15,8.0
13/07/20,27398.0,8.0,8.09,8.09,8.0
14/07/20,67200.0,8.0,8.0,8.0,8.0
15/07/20,8600.0,8.0,7.8,8.0,7.8
20/07/20,22588.0,7.0,8.88,8.88,7.0
21/07/20,3287.0,8.87,8.0,8.87,8.0
27/07/20,7166.0,7.1,7.21,7.21,7.1
28/07/20,13701.0,7.21,7.23,7.23,7.21
29/07/20,7200.0,7.2,7.2,7.2,7.2
30/07/20,876.0,8.76,8.76,8.76,8.76
03/08/20,875.0,8.75,8.75,8.75,8.75
14/08/20,5369.0,7.5,8.69,8.69,7.5
27/08/20,860.0,8.6,8.6,8.6,8.6
04/09/20,850.0,8.5,8.5,8.5,8.5
10/09/20,4000.0,8.0,8.0,8.0,8.0
11/09/20,721.0,7.21,7.21,7.21,7.21
14/09/20,22413.0,7.23,7.23,7.23,7.23
15/09/20,2900.0,7.25,7.25,7.25,7.25
22/09/20,730.0,7.3,7.3,7.3,7.3
25/09/20,5819.0,8.33,8.31,8.33,8.31
28/09/20,5235.0,8.31,7.34,8.31,7.34
29/09/20,16873.0,7.35,7.33,7.35,7.33
05/10/20,126359.0,7.21,6.45,7.21,6.45
12/10/20,51159.0,7.84,8.0,8.4,7.84
13/10/20,800.0,8.0,8.0,8.0,8.0
21/10/20,91637.0,6.87,7.9,7.9,6.87
28/10/20,7300.0,7.3,7.3,7.3,7.3
29/10/20,1398.0,6.99,6.99,6.99,6.99
04/11/20,15395.0,7.0,6.99,7.0,6.99
09/11/20,40735.0,6.99,6.87,6.99,6.87
13/11/20,3440.0,6.88,6.88,6.88,6.88
19/11/20,749.0,7.49,7.49,7.49,7.49
20/11/20,17891.0,7.48,7.45,7.48,7.45
23/11/20,0.0,0.0,0.0,0.0,0.0
27/11/20,28512.0,6.88,7.44,7.44,6.88
03/12/20,6273.0,6.97,6.97,6.97,6.97
04/12/20,6980.0,6.98,6.98,6.98,6.98
09/12/20,4914.0,7.02,7.02,7.02,7.02
14/12/20,5610.0,7.0,7.05,7.05,7.0
22/12/20,3525.0,7.05,7.05,7.05,7.05
23/12/20,411600.0,7.0,7.0,7.0,7.0
04/01/21,55200.0,6.9,6.9,6.9,6.9
05/01/21,1380.0,6.9,6.9,6.9,6.9
06/01/21,4140.0,6.9,6.9,6.9,6.9
11/01/21,739.0,7.39,7.39,7.39,7.39
