Date,Value,Open,Close,High,Low
02/01/20,2760.0,0.7,0.68,0.7,0.68
06/01/20,1360.0,0.68,0.68,0.68,0.68
07/01/20,1360.0,0.68,0.68,0.68,0.68
09/01/20,1360.0,0.68,0.68,0.68,0.68
14/01/20,17370.0,0.53,0.6,0.62,0.53
20/01/20,3390.0,0.53,0.64,0.64,0.53
21/01/20,650.0,0.65,0.65,0.65,0.65
03/02/20,1280.0,0.64,0.64,0.64,0.64
05/02/20,1920.0,0.64,0.64,0.64,0.64
21/02/20,4640.0,0.53,0.63,0.63,0.53
24/02/20,4870.0,0.53,0.63,0.63,0.53
05/03/20,1890.0,0.63,0.63,0.63,0.63
09/03/20,5300.0,0.53,0.53,0.53,0.53
12/03/20,138340.0,0.52,0.5,0.52,0.5
19/03/20,2500.0,0.5,0.5,0.5,0.5
23/03/20,44500.0,0.5,0.5,0.5,0.5
06/04/20,1500.0,0.5,0.5,0.5,0.5
07/04/20,3500.0,0.5,0.5,0.5,0.5
14/04/20,1140.0,0.57,0.57,0.57,0.57
05/05/20,1710.0,0.57,0.57,0.57,0.57
28/05/20,31800.0,0.53,0.53,0.53,0.53
03/06/20,7245.0,0.465,0.57,0.57,0.465
05/06/20,1140.0,0.57,0.57,0.57,0.57
11/06/20,1720.0,0.58,0.57,0.58,0.57
17/06/20,485.0,0.485,0.485,0.485,0.485
10/07/20,4900.0,0.49,0.49,0.49,0.49
14/07/20,4600.0,0.46,0.46,0.46,0.46
22/07/20,28200.0,0.47,0.47,0.47,0.47
23/07/20,29600.0,0.48,0.5,0.5,0.48
30/07/20,361690.0,0.52,0.56,0.75,0.5
03/08/20,29135.0,0.5,0.54,0.56,0.485
06/08/20,6960.0,0.48,0.56,0.56,0.48
14/08/20,108900.0,0.48,0.54,0.54,0.48
24/08/20,102440.0,0.54,0.6,0.6,0.54
25/08/20,18220.0,0.6,0.66,0.66,0.6
26/08/20,231660.0,0.67,0.55,0.67,0.55
27/08/20,18160.0,0.56,0.59,0.59,0.56
28/08/20,42540.0,0.6,0.59,0.6,0.56
01/09/20,17400.0,0.56,0.6,0.6,0.56
02/09/20,23890.0,0.56,0.6,0.6,0.56
07/09/20,10570.0,0.55,0.58,0.58,0.55
11/09/20,73720.0,0.58,0.62,0.68,0.58
14/09/20,10190.0,0.62,0.61,0.62,0.55
15/09/20,2890.0,0.56,0.6,0.61,0.56
17/09/20,19610.0,0.57,0.58,0.58,0.57
18/09/20,17720.0,0.58,0.61,0.61,0.58
22/09/20,21980.0,0.56,0.59,0.59,0.56
23/09/20,11780.0,0.56,0.58,0.58,0.56
24/09/20,1180.0,0.59,0.59,0.59,0.59
28/09/20,1160.0,0.58,0.58,0.58,0.58
29/09/20,1120.0,0.55,0.57,0.57,0.55
30/09/20,1770.0,0.59,0.59,0.59,0.59
05/10/20,3420.0,0.55,0.58,0.58,0.55
06/10/20,32580.0,0.55,0.58,0.59,0.55
07/10/20,9390.0,0.55,0.57,0.57,0.55
08/10/20,580.0,0.58,0.58,0.58,0.58
12/10/20,5010.0,0.55,0.58,0.58,0.55
16/10/20,1100.0,0.52,0.58,0.58,0.52
20/10/20,11230.0,0.56,0.58,0.58,0.56
21/10/20,1160.0,0.58,0.58,0.58,0.58
23/10/20,1110.0,0.53,0.58,0.58,0.53
30/10/20,28870.0,0.55,0.59,0.59,0.55
05/11/20,23350.0,0.59,0.6,0.6,0.59
06/11/20,39680.0,0.6,0.64,0.64,0.59
09/11/20,33880.0,0.64,0.63,0.65,0.55
16/11/20,1890.0,0.63,0.63,0.63,0.63
18/11/20,72800.0,0.56,0.65,0.66,0.55
19/11/20,60660.0,0.6,0.66,0.66,0.6
20/11/20,557540.0,0.66,0.72,0.75,0.66
23/11/20,91240.0,0.73,0.7,0.73,0.68
24/11/20,8710.0,0.67,0.67,0.67,0.67
26/11/20,20000.0,0.65,0.67,0.67,0.65
01/12/20,1485000.0,0.6,0.6,0.6,0.6
02/12/20,16460.0,0.63,0.65,0.68,0.63
03/12/20,44590.0,0.61,0.61,0.62,0.61
04/12/20,1850.0,0.63,0.61,0.63,0.61
09/12/20,25930.0,0.64,0.67,0.67,0.64
10/12/20,118960.0,0.67,0.68,0.68,0.67
14/12/20,112850.0,0.66,0.65,0.67,0.63
15/12/20,3250.0,0.65,0.65,0.65,0.65
16/12/20,38430.0,0.61,0.61,0.61,0.61
21/12/20,12600.0,0.63,0.63,0.63,0.63
22/12/20,4410.0,0.63,0.63,0.63,0.63
28/12/20,660.0,0.66,0.66,0.66,0.66
29/12/20,509890.0,0.67,0.72,0.72,0.66
04/01/21,22740.0,0.72,0.71,0.72,0.7
05/01/21,1430.0,0.72,0.71,0.72,0.71
06/01/21,700.0,0.7,0.7,0.7,0.7
08/01/21,12060.0,0.67,0.67,0.67,0.67
11/01/21,62700.0,0.63,0.63,0.63,0.62
