Date,Value,Open,Close,High,Low
02/01/20,7596630.0,23.95,23.0,23.95,23.0
03/01/20,19553390.0,23.65,23.0,23.65,23.0
06/01/20,23608335.0,23.0,22.55,23.25,22.55
07/01/20,46497510.0,22.55,22.05,22.85,21.65
08/01/20,49865330.0,21.8,21.85,22.4,21.4
09/01/20,46331475.0,22.05,22.3,22.35,22.0
10/01/20,30915970.0,22.35,22.35,22.85,22.2
14/01/20,79955595.0,22.45,21.9,22.9,21.9
15/01/20,29689565.0,22.4,21.6,22.4,21.5
16/01/20,20530655.0,21.6,21.35,21.95,20.95
17/01/20,15230910.0,21.35,21.05,21.7,20.9
20/01/20,54171866.0,21.4,19.9,21.4,19.62
21/01/20,35169322.0,20.0,20.35,20.7,19.78
22/01/20,15992060.0,20.45,20.8,20.8,20.4
23/01/20,18423815.0,20.8,21.15,21.5,20.6
24/01/20,15906880.0,21.25,21.2,21.5,20.7
27/01/20,29048580.0,21.2,21.05,21.25,20.75
28/01/20,18797075.0,21.2,21.1,21.75,21.1
29/01/20,19111320.0,21.1,21.45,21.5,20.65
30/01/20,36052730.0,21.45,21.5,21.85,21.1
31/01/20,31798880.0,21.9,20.3,21.9,20.0
03/02/20,20044561.0,20.3,20.3,21.0,19.98
04/02/20,19008240.0,20.3,20.35,21.25,20.3
05/02/20,16457425.0,21.0,20.95,21.25,20.5
06/02/20,14043755.0,21.35,21.2,21.45,21.0
07/02/20,12040640.0,21.3,21.2,21.3,20.6
10/02/20,1563995.0,21.2,21.0,21.3,20.7
11/02/20,57369060.0,21.2,20.85,21.2,20.65
12/02/20,16651815.0,20.85,20.1,20.85,20.05
13/02/20,55247963.0,20.1,20.0,20.95,19.9
14/02/20,59736006.0,19.9,19.9,20.4,19.7
17/02/20,29767027.0,19.92,19.8,20.85,19.8
18/02/20,33193139.0,20.1,19.96,20.1,19.92
19/02/20,11840172.0,19.98,19.98,20.1,19.96
20/02/20,4643479.0,19.98,20.25,20.4,19.98
21/02/20,10480450.0,20.0,20.05,20.4,20.0
24/02/20,15944130.0,20.05,19.9,20.35,19.62
26/02/20,36365500.0,19.62,18.5,19.62,18.24
27/02/20,24209258.0,18.8,18.9,18.9,18.6
28/02/20,63725110.0,18.78,18.34,19.98,17.82
02/03/20,51441412.0,18.34,17.66,18.34,17.4
03/03/20,36636034.0,18.0,17.8,18.0,17.68
04/03/20,71826148.0,17.76,17.1,17.76,17.1
05/03/20,73635212.0,17.5,16.44,17.5,16.36
06/03/20,112201422.0,16.36,14.8,16.44,14.8
09/03/20,85428998.0,14.78,14.8,15.32,14.3
10/03/20,44197334.0,14.8,15.7,15.88,14.5
11/03/20,69135972.0,15.92,16.3,16.7,15.92
12/03/20,44430662.0,16.0,15.16,16.0,14.5
