Date,Value,Open,Close,High,Low
02/01/20,1383777.0,117.2,116.1,117.2,115.1
03/01/20,4994274.0,116.1,117.6,118.1,116.1
06/01/20,688811.0,117.4,117.0,117.4,115.8
07/01/20,578270.0,117.0,117.5,117.5,116.4
08/01/20,353080.0,117.3,116.2,117.3,116.0
09/01/20,837543.0,116.2,116.3,116.3,115.9
10/01/20,260096.0,116.3,116.3,116.3,115.8
14/01/20,730531.0,116.3,116.6,116.6,115.5
15/01/20,1365246.0,116.6,115.0,116.6,115.0
16/01/20,1740796.0,115.2,114.9,115.3,114.7
17/01/20,1101753.0,115.1,115.6,115.6,115.0
20/01/20,2278863.0,115.6,113.6,115.6,113.5
21/01/20,3244388.0,114.0,112.3,114.0,112.3
22/01/20,1207892.0,112.7,112.4,112.8,112.1
23/01/20,1876372.0,112.4,114.2,114.2,112.4
24/01/20,1059218.0,114.2,114.4,115.0,113.6
27/01/20,765306.0,114.3,114.1,114.3,113.4
28/01/20,2354879.0,113.8,112.0,114.0,112.0
29/01/20,2264799.0,112.1,111.5,113.0,111.0
30/01/20,1169446.0,112.2,111.0,112.7,111.0
31/01/20,5373923.0,110.7,109.0,111.4,109.0
03/02/20,4531539.0,109.0,107.0,109.0,107.0
04/02/20,2982265.0,107.6,109.0,110.0,107.5
05/02/20,1975331.0,109.5,110.6,110.7,109.5
06/02/20,1727415.0,110.8,111.9,112.4,110.8
07/02/20,666256.0,111.9,112.9,112.9,111.0
10/02/20,999375.0,113.3,112.0,113.3,111.8
11/02/20,5557751.0,112.0,111.2,112.0,109.8
12/02/20,669470.0,111.4,110.8,111.6,110.8
13/02/20,712425.0,111.6,110.9,111.6,110.2
14/02/20,1112524.0,111.8,109.2,111.8,109.2
17/02/20,493649.0,110.0,110.3,110.7,109.7
18/02/20,836075.0,110.1,110.1,110.7,110.0
19/02/20,614886.0,110.5,111.0,111.0,110.0
20/02/20,1008147.0,111.0,111.5,112.7,111.0
21/02/20,599351.0,111.7,110.5,111.9,110.4
24/02/20,1653421.0,110.5,108.5,110.5,108.1
26/02/20,22715489.0,108.5,105.3,108.8,105.0
27/02/20,3014409.0,105.3,105.3,105.5,105.0
28/02/20,22378237.0,105.1,103.1,105.1,103.1
02/03/20,3622957.0,103.1,103.0,103.9,102.3
03/03/20,8484884.0,104.0,103.8,105.0,103.8
04/03/20,4719462.0,103.4,103.2,103.5,102.3
05/03/20,1387072.0,104.8,104.8,105.2,104.6
06/03/20,3213879.0,104.8,102.2,104.8,102.2
09/03/20,19457895.0,102.0,95.6,102.0,90.0
10/03/20,6139916.0,94.85,96.35,97.5,92.85
11/03/20,15364941.0,96.35,96.15,98.7,96.15
12/03/20,25998776.0,96.0,87.8,96.0,87.75
13/03/20,18330685.5,84.0,91.05,92.0,78.5
16/03/20,20300506.5,84.9,85.05,89.0,82.5
19/03/20,35889483.5,76.0,71.2,80.3,65.5
20/03/20,3949692.5,74.95,73.5,77.95,73.0
23/03/20,5213506.0,72.0,71.75,73.0,70.0
24/03/20,2489842.5,73.65,73.0,75.0,73.0
25/03/20,2906851.0,77.5,77.0,79.0,76.5
26/03/20,2322632.5,79.0,81.5,82.5,78.6
27/03/20,43830965.5,83.1,81.6,86.5,81.6
30/03/20,4557205.0,80.0,77.3,80.0,77.3
31/03/20,4136003.0,79.45,81.0,82.4,76.9
01/04/20,3427934.5,81.45,81.8,82.0,80.5
02/04/20,4150969.0,80.0,80.5,80.5,79.9
03/04/20,869883.0,80.6,80.95,81.75,80.0
06/04/20,2305322.5,81.0,85.0,85.0,81.0
07/04/20,3859208.5,87.9,86.25,89.0,86.25
08/04/20,3084263.0,86.25,84.5,86.25,84.5
13/04/20,2380051.5,85.2,85.3,85.75,84.5
14/04/20,2641479.0,86.0,87.9,88.5,86.0
15/04/20,5550739.5,89.0,89.9,91.0,89.0
16/04/20,3485303.5,89.9,87.45,89.9,85.0
17/04/20,2213127.0,87.45,87.5,88.5,87.0
20/04/20,2883444.5,87.6,86.3,89.0,86.3
21/04/20,1819990.5,86.0,85.0,86.5,85.0
22/04/20,1626080.0,84.95,84.7,84.95,83.1
23/04/20,1263001.5,86.0,85.5,87.0,85.5
24/04/20,2344917.5,86.0,83.5,86.0,83.5
27/04/20,1782942.0,83.5,82.8,84.4,82.75
28/04/20,1466472.0,83.0,84.4,84.95,82.9
29/04/20,938225.5,85.05,86.25,86.75,84.5
30/04/20,1534671.5,86.25,86.6,88.0,86.25
04/05/20,3250406.5,86.25,84.0,86.25,84.0
05/05/20,1590814.5,85.5,86.0,87.25,85.5
06/05/20,932018.5,87.25,86.2,87.4,86.0
07/05/20,1106325.5,86.5,86.0,86.75,85.9
08/05/20,1122319.5,87.0,86.05,87.0,85.95
11/05/20,842260.0,86.0,86.0,86.5,86.0
12/05/20,1510680.5,86.45,85.5,86.45,85.5
13/05/20,1303924.0,85.5,85.3,86.2,85.3
14/05/20,1040997.5,85.95,85.5,85.95,85.1
15/05/20,1984881.5,86.0,83.8,86.5,83.8
18/05/20,1825181.5,85.2,83.5,85.2,83.5
19/05/20,627093.5,84.0,84.45,85.5,84.0
20/05/20,690295.5,85.5,84.6,85.5,84.0
21/05/20,757677.5,84.6,85.25,85.5,84.6
22/05/20,1189376.0,85.5,84.3,86.0,84.3
26/05/20,1849037.0,85.0,83.7,85.0,83.5
27/05/20,1509804.0,84.4,84.0,84.4,83.0
