Date,Value,Open,Close,High,Low
02/01/20,2101505.5,68.3,68.0,68.95,68.0
03/01/20,4125641.0,68.0,68.4,68.95,68.0
06/01/20,2377614.0,68.2,67.5,69.0,67.1
07/01/20,1742390.0,68.4,67.2,68.4,67.1
08/01/20,3361020.5,67.2,66.6,67.2,66.6
09/01/20,1998143.5,66.65,66.55,66.85,66.5
10/01/20,12937717.5,67.95,66.05,67.95,66.0
14/01/20,1158276.0,66.7,66.4,68.8,66.05
15/01/20,15818882.5,66.4,66.45,66.8,66.2
16/01/20,1290211.0,66.45,66.75,67.0,66.35
17/01/20,1816518.0,66.55,67.0,67.4,66.55
20/01/20,4779969.5,67.0,66.05,67.4,66.0
21/01/20,314192.0,66.0,66.0,66.2,66.0
22/01/20,3804503.0,65.8,66.0,66.25,65.8
23/01/20,2491956.5,66.0,66.05,66.3,65.95
24/01/20,962953.5,66.0,66.4,66.85,66.0
27/01/20,4172611.5,66.1,66.5,66.8,66.1
28/01/20,3456081.0,66.5,66.65,66.9,66.5
29/01/20,6982208.5,66.65,66.6,66.9,66.6
30/01/20,4089824.5,66.9,66.6,66.9,66.5
31/01/20,22011622.5,66.6,66.65,66.65,66.5
03/02/20,12443544.0,66.65,66.65,66.95,66.65
04/02/20,2511425.5,66.8,66.65,66.8,66.65
05/02/20,11831180.0,66.65,66.65,67.0,66.5
06/02/20,3273824.0,67.4,66.65,67.4,66.65
07/02/20,8244243.0,66.65,66.85,68.0,66.65
10/02/20,5613340.5,66.85,66.8,67.0,66.8
11/02/20,1841948.0,66.8,67.0,67.0,66.8
12/02/20,51913491.5,67.4,66.8,67.4,66.8
13/02/20,163091564.5,66.8,66.85,67.0,66.8
14/02/20,59404109.0,67.0,66.85,67.0,66.8
17/02/20,4857009.5,66.85,66.85,66.95,66.8
18/02/20,9983052.0,66.95,66.9,66.95,66.85
19/02/20,15064828.0,66.8,66.8,66.95,66.8
20/02/20,4768926.0,66.6,66.5,66.8,66.5
21/02/20,3812506.0,66.4,66.0,66.45,66.0
24/02/20,7578048.5,66.0,62.9,66.0,62.45
26/02/20,3944938.0,63.05,62.6,63.05,62.6
27/02/20,4364466.0,62.6,62.2,63.45,62.0
28/02/20,4757243.5,62.05,61.3,62.05,61.0
02/03/20,3075008.5,61.0,60.6,61.0,60.05
03/03/20,7460407.0,60.6,61.5,63.45,60.6
04/03/20,8031770.0,61.05,63.5,63.55,61.05
05/03/20,518779.0,61.6,61.75,62.05,61.6
06/03/20,3609338.5,62.0,61.15,62.0,61.15
09/03/20,29142952.5,61.05,60.4,61.05,59.8
10/03/20,3417991.5,60.4,58.35,60.4,58.0
11/03/20,2514820.5,58.35,58.35,59.5,58.3
12/03/20,44078806.0,58.2,55.0,58.35,55.0
13/03/20,8361231.5,55.0,55.05,55.2,48.0
16/03/20,3542919.5,55.0,55.0,55.0,52.1
19/03/20,3151041.0,52.0,45.15,52.0,41.0
20/03/20,1898735.0,46.5,46.05,46.85,46.0
23/03/20,3635480.0,46.0,43.6,46.0,43.0
24/03/20,1347625.0,47.0,44.6,47.0,44.0
25/03/20,32321250.0,45.0,45.05,45.55,44.85
26/03/20,1954345.0,47.0,47.05,47.5,46.65
27/03/20,1938885.0,47.1,48.05,49.95,47.1
30/03/20,7512225.0,48.05,47.5,48.85,47.5
31/03/20,1282005.0,48.0,48.0,48.2,48.0
01/04/20,33752065.0,47.5,47.0,49.9,47.0
02/04/20,2935350.0,49.0,48.05,49.0,48.0
03/04/20,137165.0,48.95,49.0,49.0,48.95
06/04/20,1343795.0,49.0,53.0,53.5,49.0
07/04/20,1139969.0,53.5,51.15,53.7,51.0
08/04/20,127236.0,51.5,52.25,52.85,51.45
13/04/20,275266.0,52.0,52.1,52.5,51.5
14/04/20,612881.5,52.5,53.1,53.55,52.2
15/04/20,3253458.5,53.9,55.0,56.0,53.5
16/04/20,828600.0,56.0,54.95,56.0,54.0
17/04/20,1315587.0,54.95,55.1,56.0,54.1
20/04/20,12838275.5,56.0,57.05,57.05,55.05
21/04/20,5544779.0,58.0,56.2,58.0,56.1
22/04/20,2155179.5,56.2,56.0,56.2,55.8
23/04/20,3732665.0,55.5,56.95,57.0,55.5
24/04/20,554356.0,55.9,55.5,56.05,55.5
27/04/20,782126.5,55.5,55.0,55.5,55.0
28/04/20,1116996.5,54.8,56.0,56.4,54.8
29/04/20,1198006.0,57.05,57.0,57.2,57.0
30/04/20,149994.5,57.15,57.35,58.0,57.15
04/05/20,1305297.0,57.35,57.45,57.8,57.15
05/05/20,881079.0,58.0,58.0,59.0,57.8
06/05/20,1117526.5,58.0,57.95,58.45,57.6
07/05/20,1155303.0,57.55,57.4,57.6,57.2
08/05/20,179131.0,57.5,57.4,57.5,57.4
11/05/20,211880.0,57.4,57.1,57.5,57.1
12/05/20,541351.0,57.0,56.6,57.0,56.5
13/05/20,265523.0,57.2,56.45,57.2,56.45
14/05/20,459133.0,56.3,55.15,56.3,55.0
15/05/20,1352575.5,55.15,55.0,57.7,55.0
18/05/20,1315961.0,55.0,54.9,55.0,54.85
19/05/20,5391091.5,54.85,55.0,55.4,54.85
20/05/20,913793.0,55.0,54.6,55.0,54.6
21/05/20,2454258.5,53.0,52.75,53.2,52.75
22/05/20,1363162.5,52.75,52.75,53.3,52.7
26/05/20,2619453.0,54.45,53.3,54.45,53.1
27/05/20,13498505.0,54.8,54.8,56.95,54.5
28/05/20,1951957.0,54.8,54.15,54.8,54.1
29/05/20,1282591.0,54.15,54.0,54.15,53.9
01/06/20,2874640.0,54.15,55.85,55.95,54.1
02/06/20,7266478.0,55.85,56.9,57.0,55.85
03/06/20,10170103.5,57.6,58.1,58.25,57.5
