Date,Value,Open,Close,High,Low
02/01/20,222120.0,0.204,0.206,0.206,0.203
03/01/20,4100.0,0.205,0.205,0.205,0.205
08/01/20,22550.0,0.205,0.205,0.205,0.205
14/01/20,13390.0,0.204,0.227,0.227,0.204
16/01/20,20700.0,0.207,0.207,0.207,0.207
17/01/20,2080.0,0.208,0.208,0.208,0.208
22/01/20,6150.0,0.205,0.205,0.205,0.205
23/01/20,41200.0,0.206,0.206,0.206,0.206
24/01/20,10450.0,0.209,0.209,0.209,0.209
28/01/20,4120.0,0.206,0.206,0.206,0.206
29/01/20,10250.0,0.205,0.205,0.205,0.205
30/01/20,41200.0,0.206,0.206,0.206,0.206
31/01/20,101430.0,0.207,0.207,0.207,0.207
03/02/20,36780.0,0.209,0.203,0.209,0.202
04/02/20,2130620.0,0.21,0.211,0.275,0.21
05/02/20,1042010.0,0.206,0.217,0.249,0.203
06/02/20,174000.0,0.218,0.222,0.239,0.218
07/02/20,119190.0,0.22,0.221,0.238,0.22
10/02/20,516950.0,0.22,0.221,0.24,0.208
11/02/20,35270.0,0.221,0.212,0.221,0.212
12/02/20,55000.0,0.22,0.22,0.22,0.22
13/02/20,256870.0,0.213,0.214,0.221,0.213
14/02/20,442130.0,0.22,0.213,0.22,0.213
17/02/20,23920.0,0.218,0.212,0.218,0.212
18/02/20,6600.0,0.22,0.22,0.22,0.22
19/02/20,444330.0,0.22,0.213,0.22,0.213
20/02/20,46140.0,0.22,0.214,0.22,0.214
24/02/20,22000.0,0.22,0.22,0.22,0.22
26/02/20,114700.0,0.226,0.236,0.236,0.226
27/02/20,2180.0,0.218,0.218,0.218,0.218
28/02/20,11000.0,0.22,0.22,0.22,0.22
02/03/20,6560.0,0.218,0.219,0.219,0.218
03/03/20,32590.0,0.218,0.218,0.218,0.215
04/03/20,195330.0,0.217,0.23,0.23,0.217
05/03/20,2160.0,0.216,0.216,0.216,0.216
09/03/20,43200.0,0.216,0.216,0.216,0.216
10/03/20,311400.0,0.215,0.216,0.229,0.215
11/03/20,26040.0,0.218,0.215,0.218,0.215
12/03/20,46660.0,0.214,0.212,0.214,0.212
13/03/20,151500.0,0.202,0.202,0.202,0.202
19/03/20,207330.0,0.206,0.18,0.206,0.18
01/04/20,1800.0,0.18,0.18,0.18,0.18
06/04/20,723600.0,0.18,0.18,0.18,0.18
07/04/20,30600.0,0.18,0.18,0.18,0.18
15/04/20,27300.0,0.195,0.195,0.195,0.195
05/05/20,58420.0,0.175,0.19,0.19,0.175
06/05/20,3600.0,0.18,0.18,0.18,0.18
08/05/20,1920.0,0.192,0.192,0.192,0.192
14/05/20,19810.0,0.18,0.18,0.181,0.18
19/05/20,21550.0,0.153,0.17,0.17,0.152
20/05/20,20140.0,0.154,0.158,0.158,0.154
21/05/20,49950.0,0.158,0.156,0.158,0.156
22/05/20,9360.0,0.156,0.156,0.156,0.156
01/06/20,4950.0,0.165,0.165,0.165,0.165
03/06/20,9900.0,0.16,0.17,0.17,0.16
04/06/20,5150.0,0.175,0.165,0.175,0.165
09/06/20,91870.0,0.171,0.189,0.189,0.17
10/06/20,34360.0,0.19,0.194,0.194,0.19
11/06/20,45850.0,0.2,0.199,0.2,0.199
16/06/20,1990.0,0.199,0.199,0.199,0.199
18/06/20,11100.0,0.185,0.185,0.185,0.185
22/06/20,66300.0,0.19,0.185,0.195,0.185
23/06/20,1950.0,0.195,0.195,0.195,0.195
25/06/20,35100.0,0.195,0.195,0.195,0.195
26/06/20,65500.0,0.19,0.18,0.19,0.18
29/06/20,13300.0,0.19,0.19,0.19,0.19
01/07/20,18100.0,0.18,0.182,0.182,0.18
02/07/20,1600.0,0.16,0.16,0.16,0.16
07/07/20,32140.0,0.162,0.16,0.162,0.16
13/07/20,29880.0,0.17,0.184,0.184,0.17
14/07/20,68070.0,0.19,0.209,0.21,0.19
15/07/20,24500.0,0.175,0.175,0.175,0.175
16/07/20,19470.0,0.177,0.177,0.177,0.177
20/07/20,7080.0,0.177,0.177,0.177,0.177
06/08/20,14080.0,0.176,0.176,0.176,0.176
11/08/20,12460.0,0.178,0.178,0.178,0.178
17/08/20,8770.0,0.176,0.175,0.176,0.175
01/09/20,85260.0,0.174,0.174,0.174,0.174
08/09/20,9300.0,0.186,0.186,0.186,0.186
14/09/20,41360.0,0.188,0.188,0.188,0.188
21/09/20,41360.0,0.188,0.188,0.188,0.188
22/09/20,71440.0,0.188,0.188,0.188,0.188
25/09/20,82720.0,0.188,0.188,0.188,0.188
28/09/20,26700.0,0.178,0.178,0.178,0.178
29/09/20,7200.0,0.18,0.18,0.18,0.18
01/10/20,70650.0,0.204,0.18,0.207,0.18
06/10/20,9000.0,0.18,0.18,0.18,0.18
08/10/20,5310.0,0.179,0.175,0.179,0.175
16/10/20,363630.0,0.207,0.223,0.225,0.205
19/10/20,1029000.0,0.224,0.23,0.24,0.224
20/10/20,108940.0,0.23,0.219,0.23,0.201
21/10/20,28260.0,0.216,0.219,0.219,0.216
22/10/20,26240.0,0.219,0.217,0.219,0.217
23/10/20,165620.0,0.21,0.209,0.21,0.209
26/10/20,60140.0,0.2,0.214,0.214,0.2
27/10/20,10120.0,0.199,0.213,0.213,0.199
29/10/20,36080.0,0.199,0.2,0.217,0.199
30/10/20,2150.0,0.215,0.215,0.215,0.215
03/11/20,476910.0,0.215,0.232,0.242,0.215
04/11/20,153110.0,0.201,0.229,0.232,0.201
05/11/20,39410.0,0.224,0.228,0.228,0.21
06/11/20,45200.0,0.21,0.22,0.22,0.21
09/11/20,238560.0,0.206,0.226,0.226,0.206
11/11/20,82870.0,0.24,0.235,0.24,0.235
17/11/20,10750.0,0.215,0.215,0.215,0.215
18/11/20,53070.0,0.211,0.213,0.215,0.211
19/11/20,21500.0,0.215,0.215,0.215,0.215
20/11/20,2150.0,0.215,0.215,0.215,0.215
23/11/20,107650.0,0.23,0.215,0.23,0.215
24/11/20,258560.0,0.213,0.21,0.213,0.2
25/11/20,168000.0,0.21,0.21,0.21,0.21
27/11/20,10500.0,0.21,0.21,0.21,0.21
01/12/20,142400.0,0.215,0.22,0.22,0.215
03/12/20,2040.0,0.204,0.204,0.204,0.204
04/12/20,61100.0,0.219,0.218,0.219,0.218
07/12/20,20500.0,0.205,0.205,0.205,0.205
09/12/20,710370.0,0.209,0.21,0.21,0.205
10/12/20,392700.0,0.21,0.21,0.21,0.21
11/12/20,8320.0,0.208,0.208,0.208,0.208
14/12/20,25370.0,0.209,0.215,0.217,0.208
15/12/20,30650.0,0.217,0.22,0.22,0.217
17/12/20,14850.0,0.21,0.215,0.215,0.21
21/12/20,4290.0,0.215,0.214,0.215,0.214
