Date,Value,Open,Close,High,Low
02/01/20,11920.0,0.201,0.201,0.201,0.196
03/01/20,26140.0,0.202,0.202,0.202,0.198
06/01/20,16200.0,0.202,0.203,0.203,0.2
07/01/20,6040.0,0.203,0.203,0.203,0.198
08/01/20,27820.0,0.201,0.198,0.202,0.198
09/01/20,88370.0,0.2,0.198,0.2,0.195
10/01/20,73470.0,0.2,0.199,0.203,0.196
14/01/20,4010.0,0.202,0.199,0.202,0.199
15/01/20,5575250.0,0.202,0.22,0.24,0.202
16/01/20,811950.0,0.22,0.208,0.223,0.204
17/01/20,352350.0,0.21,0.212,0.22,0.206
20/01/20,279550.0,0.219,0.211,0.223,0.21
21/01/20,318050.0,0.211,0.21,0.211,0.203
22/01/20,431710.0,0.211,0.214,0.223,0.204
23/01/20,80400.0,0.216,0.213,0.216,0.204
24/01/20,283620.0,0.213,0.212,0.213,0.203
27/01/20,237800.0,0.212,0.21,0.212,0.204
28/01/20,155800.0,0.21,0.201,0.21,0.201
29/01/20,231460.0,0.21,0.201,0.21,0.201
30/01/20,107160.0,0.21,0.206,0.21,0.204
31/01/20,116500.0,0.21,0.206,0.21,0.202
03/02/20,130720.0,0.207,0.205,0.207,0.2
04/02/20,342370.0,0.207,0.203,0.207,0.2
05/02/20,224420.0,0.206,0.197,0.207,0.197
06/02/20,33820.0,0.203,0.199,0.203,0.198
07/02/20,81130.0,0.207,0.197,0.207,0.197
10/02/20,57920.0,0.207,0.206,0.209,0.198
11/02/20,32810.0,0.209,0.205,0.209,0.198
12/02/20,85600.0,0.208,0.198,0.208,0.198
13/02/20,199320.0,0.209,0.198,0.212,0.198
14/02/20,21820.0,0.21,0.197,0.21,0.197
17/02/20,26610.0,0.197,0.206,0.207,0.197
18/02/20,91070.0,0.207,0.206,0.208,0.2
20/02/20,15920.0,0.198,0.206,0.206,0.198
21/02/20,94650.0,0.204,0.2,0.204,0.2
24/02/20,96000.0,0.2,0.202,0.202,0.199
26/02/20,27760.0,0.198,0.202,0.202,0.198
27/02/20,62080.0,0.198,0.199,0.202,0.198
28/02/20,149810.0,0.198,0.196,0.201,0.196
02/03/20,17730.0,0.196,0.198,0.2,0.196
03/03/20,90610.0,0.201,0.196,0.201,0.196
04/03/20,19540.0,0.197,0.196,0.197,0.195
05/03/20,49000.0,0.196,0.197,0.197,0.195
