Date,Value,Open,Close,High,Low
03/01/20,452330.0,5.34,5.45,5.45,5.34
06/01/20,344500.0,5.3,5.3,5.3,5.3
07/01/20,269106.0,5.44,5.49,5.49,5.4
14/01/20,269496.0,5.3,5.24,5.44,5.24
15/01/20,288133.0,5.44,5.4,5.48,5.4
16/01/20,287158.0,5.46,5.48,5.49,5.43
17/01/20,278064.0,5.48,5.4,5.48,5.4
20/01/20,1539040.0,5.14,5.13,5.14,5.13
21/01/20,2925375.0,5.14,5.15,5.16,5.14
22/01/20,943240.0,5.15,5.14,5.15,5.14
23/01/20,2258096.0,5.14,5.13,5.14,5.1
24/01/20,2369540.0,5.14,5.14,5.14,5.14
27/01/20,1225555.0,5.15,5.2,5.2,5.15
29/01/20,359005.0,5.15,5.15,5.16,5.15
31/01/20,787265.0,5.2,5.15,5.2,5.14
03/02/20,1751116.0,5.15,5.12,5.15,5.1
04/02/20,3575268.0,5.13,5.07,5.13,5.05
05/02/20,280258.0,5.06,5.1,5.19,5.06
06/02/20,283005.0,5.15,5.1,5.15,5.1
07/02/20,331750.0,5.15,5.1,5.15,5.1
10/02/20,2654240.0,5.08,5.2,5.25,5.08
11/02/20,2621740.0,5.23,5.2,5.23,5.2
12/02/20,520.0,5.2,5.2,5.2,5.2
14/02/20,27638.0,5.2,5.21,5.34,5.2
17/02/20,239849.0,5.21,5.32,5.32,5.21
18/02/20,302030.0,5.3,5.23,5.31,5.23
19/02/20,290883.0,5.27,5.3,5.3,5.27
20/02/20,42850.0,5.29,5.3,5.3,5.29
24/02/20,552230.0,5.3,5.2,5.3,5.2
26/02/20,6886632.0,5.15,5.11,5.15,5.1
27/02/20,14391718.0,5.1,5.07,5.11,5.06
28/02/20,105369.0,5.3,5.19,5.3,5.19
02/03/20,71400.0,5.1,5.1,5.1,5.1
03/03/20,200429.0,5.1,5.1,5.1,5.09
04/03/20,34364.0,5.09,5.05,5.09,5.05
06/03/20,1936450.0,5.1,5.03,5.1,5.03
09/03/20,2778177.0,5.02,4.95,5.02,4.95
10/03/20,217870.0,4.94,4.95,5.0,4.9
11/03/20,30770.0,5.22,5.09,5.22,5.09
12/03/20,72266.0,5.08,5.09,5.09,5.08
13/03/20,267715.0,4.7,5.07,5.07,4.55
16/03/20,34000.0,5.0,5.0,5.0,5.0
19/03/20,28493.0,5.0,4.99,5.0,4.99
20/03/20,9800000.0,4.9,4.9,4.9,4.9
23/03/20,14400000.0,4.8,4.8,4.8,4.8
25/03/20,15029000.0,4.8,5.0,5.0,4.8
26/03/20,357000.0,5.0,5.0,5.0,5.0
27/03/20,27489979.0,4.99,5.0,5.0,4.9
30/03/20,25411040.0,4.9,5.3,5.3,4.9
31/03/20,34385.0,4.91,5.25,5.25,4.9
01/04/20,927026.0,5.24,4.9,5.24,4.9
02/04/20,49000.0,4.9,4.9,4.9,4.9
03/04/20,749700.0,4.9,4.9,4.9,4.9
06/04/20,524300.0,4.9,4.9,4.9,4.9
07/04/20,279300.0,4.9,4.9,4.9,4.9
08/04/20,174180.0,4.9,4.89,4.9,4.8
13/04/20,58680.0,4.89,4.89,4.89,4.89
14/04/20,274400.0,4.9,4.9,4.9,4.9
15/04/20,107700.0,4.9,4.89,4.9,4.89
16/04/20,308520.0,4.89,4.89,4.9,4.89
20/04/20,24410.0,4.87,4.89,4.89,4.87
23/04/20,249350.0,4.88,4.89,4.9,4.88
30/04/20,62790.0,4.83,4.83,4.83,4.83
06/05/20,21184470.0,6.2,5.29,6.9,5.26
07/05/20,879493.0,5.4,5.13,5.4,5.01
08/05/20,562498.0,5.0,4.97,5.1,4.91
11/05/20,105080.0,5.0,5.0,5.01,5.0
12/05/20,39240.0,4.91,4.89,4.91,4.89
13/05/20,319950.0,4.82,4.86,4.95,4.82
14/05/20,192790.0,4.86,4.8,4.86,4.8
15/05/20,105630.0,4.75,4.82,4.82,4.75
18/05/20,208190.0,4.83,4.55,4.89,4.5
19/05/20,37080.0,4.61,4.65,4.65,4.61
20/05/20,555400.0,4.7,4.66,4.7,4.66
21/05/20,2083220.0,4.68,4.8,4.8,4.68
22/05/20,1774870.0,4.71,4.88,4.89,4.71
26/05/20,9420.0,4.71,4.71,4.71,4.71
27/05/20,13690.0,4.65,4.52,4.65,4.52
28/05/20,29220.0,4.87,4.87,4.87,4.87
29/05/20,19440.0,4.87,4.85,4.87,4.85
01/06/20,351540.0,4.84,4.87,4.95,4.84
03/06/20,33620.0,4.86,4.8,4.86,4.67
04/06/20,654910.0,4.8,4.98,4.98,4.8
05/06/20,152930.0,4.9,4.95,4.95,4.8
08/06/20,34430.0,4.95,4.93,4.95,4.88
09/06/20,1294460.0,4.93,4.94,4.95,4.92
10/06/20,2152000.0,4.95,4.94,4.95,4.92
11/06/20,1484640.0,4.95,4.91,4.95,4.91
15/06/20,107100.0,4.84,4.93,4.93,4.82
16/06/20,217850.0,4.83,4.95,4.95,4.83
17/06/20,3886790.0,4.95,4.91,4.97,4.91
18/06/20,10300960.0,4.95,4.85,4.95,4.85
19/06/20,631640.0,4.82,4.7,4.82,4.6
22/06/20,799060.0,4.74,4.82,4.85,4.7
24/06/20,129570.0,4.63,4.61,4.63,4.61
25/06/20,13950.0,4.65,4.65,4.65,4.65
26/06/20,74400.0,4.65,4.65,4.65,4.65
29/06/20,1348910.0,4.63,4.6,4.63,4.6
30/06/20,27620.0,4.59,4.59,4.63,4.59
01/07/20,681520.0,4.78,4.84,4.85,4.78
02/07/20,557530.0,4.9,4.85,4.9,4.82
03/07/20,14550.0,4.85,4.85,4.85,4.85
06/07/20,9340.0,4.67,4.67,4.67,4.67
07/07/20,5842210.0,4.84,5.0,5.0,4.84
08/07/20,4542141.0,4.71,5.23,5.24,4.7
09/07/20,9374455.0,5.2,5.32,5.51,5.2
10/07/20,8097391.0,5.41,5.41,5.48,5.35
13/07/20,26222677.0,5.99,5.4,6.3,5.4
14/07/20,2931509.0,5.2,5.35,5.46,5.01
15/07/20,316348.0,5.16,5.15,5.25,5.15
16/07/20,648868.0,5.15,5.25,5.27,5.15
17/07/20,127598.0,5.25,5.49,5.49,5.12
20/07/20,484565.0,5.48,5.45,5.5,5.3
21/07/20,3421739.0,5.39,5.5,5.59,5.39
22/07/20,5913282.0,5.58,5.49,5.6,5.47
23/07/20,326598.0,5.41,5.35,5.41,5.35
24/07/20,471164.0,5.5,5.5,5.5,5.42
27/07/20,4058058.0,5.5,5.2,5.5,5.15
28/07/20,3657876.0,5.11,4.91,5.11,4.88
29/07/20,81150.0,5.0,5.08,5.1,5.0
30/07/20,698796.0,5.08,5.0,5.08,4.94
03/08/20,1953663.0,4.91,4.75,4.91,4.7
04/08/20,2622820.0,4.75,4.68,4.75,4.64
05/08/20,8564940.0,4.68,4.63,4.68,4.55
06/08/20,4681280.0,4.57,4.49,4.6,4.48
07/08/20,5060440.0,4.5,4.42,4.6,4.41
10/08/20,2117300.0,4.55,4.55,4.6,4.55
