Date,Value,Open,Close,High,Low
02/01/20,1990507.0,5.32,5.35,5.39,5.32
03/01/20,2962223.0,5.39,5.4,5.45,5.39
06/01/20,2364909.0,5.41,5.48,5.49,5.41
07/01/20,2474005.0,5.49,5.5,5.51,5.4
08/01/20,723867.0,5.54,5.46,5.54,5.45
09/01/20,556136.0,5.44,5.35,5.46,5.31
10/01/20,306979.0,5.45,5.45,5.5,5.45
14/01/20,500842.0,5.45,5.45,5.49,5.41
15/01/20,960306.0,5.41,5.45,5.45,5.41
16/01/20,640014.0,5.45,5.49,5.49,5.42
17/01/20,2174845.0,5.49,5.43,5.49,5.43
20/01/20,1301888.0,5.42,5.39,5.42,5.36
21/01/20,2295012.0,5.39,5.33,5.4,5.32
22/01/20,2070862.0,5.38,5.37,5.38,5.28
23/01/20,1048946.0,5.37,5.31,5.37,5.31
24/01/20,2267987.0,5.32,5.31,5.35,5.3
27/01/20,1521981.0,5.3,5.29,5.32,5.28
28/01/20,345145.0,5.28,5.32,5.32,5.28
29/01/20,338347.0,5.4,5.37,5.4,5.29
30/01/20,266375.0,5.4,5.35,5.4,5.33
31/01/20,2029469.0,5.35,5.26,5.35,5.25
03/02/20,1848130.0,5.26,5.29,5.31,5.22
04/02/20,791692.0,5.29,5.24,5.29,5.24
05/02/20,931513.0,5.29,5.23,5.29,5.23
06/02/20,135592.0,5.23,5.28,5.29,5.23
07/02/20,1120427.0,5.28,5.3,5.3,5.22
10/02/20,1525197.0,5.3,5.39,5.44,5.29
11/02/20,4836509.0,5.42,5.4,5.45,5.39
12/02/20,1653916.0,5.4,5.4,5.4,5.35
13/02/20,4371724.0,5.41,5.4,5.41,5.39
14/02/20,2422863.0,5.4,5.4,5.44,5.4
17/02/20,2884906.0,5.45,5.4,5.45,5.39
18/02/20,1299903.0,5.4,5.39,5.43,5.39
19/02/20,1405936.0,5.39,5.4,5.43,5.37
20/02/20,1957420.0,5.39,5.4,5.42,5.39
21/02/20,6827473.0,5.4,5.4,5.42,5.39
24/02/20,1524721.0,5.4,5.39,5.42,5.38
26/02/20,7308604.0,5.4,5.32,5.4,5.3
27/02/20,1328669.0,5.34,5.34,5.35,5.25
28/02/20,620323.0,5.34,5.27,5.34,5.24
02/03/20,2310616.0,5.27,5.26,5.29,5.21
03/03/20,1639792.0,5.3,5.25,5.3,5.21
04/03/20,2747241.0,5.3,5.25,5.3,5.24
05/03/20,1391877.0,5.3,5.25,5.32,5.24
06/03/20,2707324.0,5.3,5.23,5.3,5.23
09/03/20,4999929.0,5.25,5.13,5.25,5.12
10/03/20,1642453.0,5.12,5.13,5.15,5.02
11/03/20,829178.0,5.12,5.15,5.21,5.12
12/03/20,5150565.0,5.15,5.0,5.15,4.96
13/03/20,2235041.0,5.0,5.1,5.1,4.7
16/03/20,546929.0,5.25,5.1,5.25,5.05
19/03/20,1738145.0,5.05,4.65,5.05,4.55
20/03/20,1539430.0,4.65,4.73,4.73,4.35
23/03/20,644350.0,4.71,4.5,4.71,4.28
24/03/20,237400.0,4.5,4.69,4.69,4.5
25/03/20,1827050.0,4.7,5.0,5.05,4.65
26/03/20,1668495.0,5.0,5.0,5.19,4.9
27/03/20,3195241.0,4.9,5.18,5.18,4.88
30/03/20,4670649.0,5.16,5.18,5.2,5.0
31/03/20,343776.0,5.18,5.24,5.26,5.15
01/04/20,1815023.0,5.29,5.0,5.29,5.0
02/04/20,4151116.0,4.95,5.05,5.05,4.89
03/04/20,909959.0,5.1,5.1,5.15,5.1
06/04/20,1137551.0,5.09,5.1,5.15,5.08
07/04/20,2262863.0,5.1,5.0,5.15,5.0
08/04/20,1417765.0,5.0,5.09,5.1,4.97
13/04/20,1153445.0,5.0,4.99,5.0,4.97
14/04/20,1689930.0,4.99,5.0,5.1,4.98
15/04/20,1917082.0,5.0,4.97,5.1,4.95
16/04/20,1946610.0,4.97,4.94,5.0,4.9
17/04/20,573100.0,5.05,4.97,5.05,4.97
20/04/20,758030.0,4.98,4.95,4.98,4.95
