Date,Value,Open,Close,High,Low
02/01/20,22504300.0,849.0,854.5,856.0,843.0
03/01/20,90019030.0,863.0,874.0,879.0,856.0
06/01/20,38011035.0,869.0,875.0,875.0,860.5
07/01/20,49359725.0,875.0,865.0,878.0,862.0
08/01/20,75471575.0,860.0,835.0,863.5,835.0
09/01/20,121107240.0,838.0,819.0,842.5,815.5
10/01/20,294550445.0,819.0,795.0,824.5,795.0
14/01/20,161612560.0,800.0,810.0,824.0,795.5
15/01/20,85676080.0,810.0,785.0,810.0,785.0
16/01/20,112554555.0,790.0,802.0,802.0,780.0
17/01/20,102136190.0,802.0,789.0,802.0,780.0
20/01/20,76033535.0,797.0,780.0,797.0,779.5
21/01/20,80623230.0,780.5,790.0,790.0,779.0
22/01/20,79608085.0,790.0,770.0,791.0,766.5
23/01/20,59492140.0,775.0,791.5,791.5,773.0
24/01/20,47337590.0,790.5,791.0,792.0,781.0
27/01/20,15910135.0,791.0,785.0,793.5,780.5
28/01/20,41851605.0,783.0,752.5,783.5,752.5
29/01/20,59177865.0,753.0,745.0,759.5,742.0
30/01/20,71853560.0,753.0,716.5,753.0,716.5
31/01/20,208760695.0,722.5,675.0,730.0,675.0
03/02/20,92751930.0,679.0,665.0,700.5,665.0
04/02/20,133074420.0,667.5,686.0,695.0,667.5
05/02/20,297247960.0,695.0,715.0,715.0,695.0
06/02/20,234727610.0,725.0,740.0,740.0,717.5
07/02/20,129646850.0,740.0,741.0,745.0,725.0
10/02/20,147336660.0,741.0,717.0,741.0,717.0
11/02/20,122003710.0,717.0,727.0,730.0,717.0
12/02/20,193969030.0,727.5,724.0,733.0,721.5
13/02/20,113046730.0,724.0,740.0,740.0,722.5
14/02/20,46980310.0,740.0,721.5,740.0,721.5
17/02/20,39745385.0,730.0,731.0,734.0,726.0
18/02/20,51091740.0,731.0,735.0,739.5,726.0
19/02/20,79249810.0,734.0,727.0,734.0,724.5
20/02/20,69297300.0,727.5,732.0,749.5,727.5
21/02/20,71133855.0,732.0,731.0,741.0,731.0
24/02/20,47308690.0,736.0,725.0,736.0,721.0
26/02/20,187518285.0,720.0,720.0,724.0,715.0
27/02/20,59860840.0,715.0,722.5,728.0,715.0
28/02/20,121975665.0,715.0,711.0,715.5,704.0
02/03/20,70760840.0,711.0,721.5,740.0,705.0
03/03/20,37977580.0,721.5,721.0,730.0,715.0
04/03/20,43864810.0,718.0,748.5,748.5,715.0
05/03/20,52386605.0,735.0,722.0,748.0,720.5
06/03/20,149027630.0,720.0,710.0,720.0,710.0
09/03/20,163653605.0,700.0,612.0,700.0,612.0
10/03/20,64763355.0,610.0,618.0,639.5,600.0
11/03/20,54997575.0,620.0,622.0,643.0,610.5
12/03/20,171631855.0,612.0,580.0,612.0,551.5
13/03/20,94684706.0,550.0,570.0,586.0,470.0
16/03/20,32792770.0,570.0,511.5,570.0,501.0
19/03/20,71907689.0,486.0,475.8,509.0,290.0
20/03/20,79791400.0,475.8,407.0,496.4,407.0
23/03/20,74111708.0,400.0,390.0,410.0,381.0
24/03/20,45377730.0,400.2,389.0,418.0,389.0
25/03/20,60617316.0,418.0,430.0,430.0,402.2
26/03/20,90544350.0,448.0,419.0,448.0,410.2
27/03/20,128217236.0,429.0,409.0,440.0,401.2
30/03/20,133070978.0,419.8,390.0,419.8,382.0
31/03/20,94972570.0,402.6,407.0,415.4,402.0
01/04/20,79650806.0,408.2,403.0,410.0,402.0
02/04/20,51051624.0,403.0,403.2,409.0,400.2
03/04/20,82905470.0,405.2,399.0,407.6,395.2
06/04/20,106154744.0,403.0,400.0,409.8,399.0
07/04/20,134370204.0,410.0,404.0,419.8,403.4
08/04/20,84790682.0,404.0,399.0,404.0,399.0
13/04/20,54684836.0,401.0,400.0,411.0,400.0
14/04/20,117530206.0,405.2,430.0,438.8,405.2
15/04/20,168041578.0,441.0,490.0,490.0,441.0
16/04/20,197754204.0,475.0,450.0,480.0,450.0
17/04/20,109330804.0,475.0,490.0,490.0,470.0
20/04/20,69123788.0,498.0,494.0,513.0,480.0
21/04/20,96097168.0,492.8,475.0,494.0,467.0
22/04/20,155112780.0,463.0,450.8,463.0,433.0
23/04/20,134470256.0,461.0,450.8,464.0,449.8
24/04/20,94371850.0,449.0,443.4,449.0,441.2
27/04/20,83965410.0,444.0,435.6,449.8,433.0
28/04/20,99339224.0,448.0,450.0,453.6,440.0
29/04/20,59462150.0,452.0,460.0,464.0,451.0
30/04/20,78917472.0,464.0,453.0,469.0,447.0
04/05/20,47625606.0,451.8,435.2,451.8,433.4
05/05/20,33198934.0,440.0,443.0,444.2,440.0
06/05/20,129469842.0,444.8,422.0,445.0,420.0
07/05/20,79105650.0,430.0,416.0,435.0,416.0
08/05/20,70081614.0,420.4,412.2,424.0,408.0
11/05/20,73917312.0,415.6,420.0,425.0,415.0
12/05/20,15896466.0,420.4,420.0,431.8,420.0
13/05/20,44299054.0,424.0,420.0,424.6,415.2
14/05/20,107055624.0,422.8,404.0,422.8,402.0
15/05/20,87982838.0,404.0,400.4,409.0,400.2
18/05/20,87042374.0,402.0,388.4,402.0,388.2
19/05/20,127300098.0,400.0,382.0,405.0,380.4
20/05/20,96600270.0,390.0,374.0,390.0,374.0
21/05/20,90474988.0,376.0,368.0,380.0,364.0
22/05/20,70761142.0,370.0,372.2,389.6,368.4
26/05/20,52751142.0,375.0,375.4,380.0,372.8
27/05/20,90156718.0,380.0,370.0,383.0,366.0
28/05/20,133107620.0,370.0,370.0,378.8,360.0
29/05/20,253004062.0,370.0,387.0,387.0,365.0
01/06/20,520047528.0,387.0,376.0,387.0,368.0
02/06/20,317401752.0,374.8,371.0,374.8,360.2
03/06/20,638310980.0,376.0,385.0,387.0,373.0
04/06/20,950338056.0,401.0,444.0,449.0,399.6
05/06/20,852335096.0,448.2,480.0,496.0,425.0
08/06/20,718084873.0,500.0,512.5,534.0,484.8
09/06/20,306122899.0,518.0,530.0,530.0,485.0
10/06/20,401764805.0,519.0,503.0,519.0,495.0
11/06/20,277180912.0,490.0,490.0,498.0,480.0
15/06/20,246157942.0,465.0,462.0,487.0,450.0
16/06/20,154842222.0,473.4,491.0,493.0,473.0
17/06/20,162725464.0,501.0,476.0,504.5,471.0
18/06/20,91166594.0,485.0,482.0,485.0,470.0
19/06/20,178677712.0,479.6,474.0,484.0,470.0
22/06/20,99500552.0,476.0,469.0,476.0,465.0
23/06/20,252604082.0,470.4,484.0,489.0,465.2
24/06/20,55516886.0,485.0,470.4,487.6,470.4
25/06/20,148528574.0,466.0,456.0,466.0,455.0
26/06/20,65879132.0,457.0,455.0,464.0,455.0
29/06/20,81812998.0,450.0,449.0,450.2,439.0
30/06/20,64920924.0,451.0,454.2,459.0,451.0
01/07/20,162124876.0,456.0,459.0,465.0,456.0
02/07/20,187696446.0,463.0,468.0,470.0,460.0
03/07/20,106306424.0,473.0,460.0,482.0,459.0
06/07/20,77528066.0,459.8,459.6,469.0,448.0
07/07/20,179702418.0,460.2,455.0,464.4,450.4
08/07/20,74257470.0,454.0,450.0,454.0,450.0
09/07/20,86405298.0,451.0,448.0,453.0,448.0
10/07/20,56755450.0,448.0,450.0,450.0,439.4
13/07/20,47030008.0,450.0,451.0,453.0,445.0
14/07/20,46565964.0,451.0,452.0,457.0,445.6
15/07/20,77841238.0,455.0,430.0,455.0,421.0
16/07/20,47897266.0,428.2,450.0,450.0,428.2
17/07/20,49293690.0,450.0,448.0,453.8,440.2
20/07/20,23725852.0,450.0,452.0,455.0,444.0
21/07/20,37436732.0,450.0,439.8,450.0,439.8
22/07/20,26308274.0,439.8,441.8,444.8,439.8
23/07/20,60399386.0,441.8,438.0,441.8,434.8
24/07/20,35510698.0,438.0,437.8,438.8,435.0
27/07/20,117821780.0,437.0,433.4,437.6,423.0
28/07/20,49533920.0,433.0,425.0,433.0,418.0
29/07/20,43120464.0,424.6,425.0,430.0,423.0
30/07/20,40706656.0,425.4,439.0,439.0,424.0
03/08/20,77043486.0,419.0,415.0,422.0,405.0
04/08/20,31104474.0,416.0,409.0,424.0,409.0
05/08/20,84950852.0,409.0,405.2,416.0,404.0
06/08/20,77971156.0,407.0,409.6,409.6,400.2
07/08/20,65352052.0,405.4,400.6,408.0,400.4
10/08/20,27736498.0,401.0,401.6,403.8,400.6
11/08/20,123614068.0,403.0,400.0,404.0,397.0
12/08/20,65900670.0,404.0,404.0,408.0,400.0
13/08/20,116752272.0,407.0,410.0,418.0,404.0
14/08/20,98492398.0,415.0,401.0,417.8,401.0
17/08/20,103381552.0,407.0,424.0,424.0,402.0
18/08/20,93827244.0,430.0,424.0,435.0,420.0
19/08/20,142160814.0,422.0,407.0,424.0,407.0
20/08/20,81234472.0,412.0,407.0,412.0,403.0
24/08/20,160348728.0,408.0,400.0,408.8,400.0
25/08/20,95159870.0,400.0,401.0,403.0,397.0
26/08/20,76043980.0,402.2,404.0,405.0,399.6
27/08/20,57782280.0,405.0,405.0,406.8,402.0
28/08/20,104379080.0,406.0,400.0,406.0,396.0
01/09/20,160497872.0,398.0,388.0,398.2,388.0
02/09/20,100755246.0,390.0,384.6,390.0,381.2
03/09/20,142057458.0,385.0,380.0,393.8,380.0
04/09/20,91972598.0,378.8,380.0,380.0,375.4
07/09/20,145875908.0,381.0,385.0,386.4,375.2
08/09/20,107242334.0,387.0,400.0,406.6,385.0
09/09/20,68021608.0,400.0,404.8,404.8,395.2
10/09/20,105826706.0,404.8,402.8,409.0,401.0
11/09/20,79840098.0,402.0,406.0,407.4,401.0
14/09/20,107690502.0,408.0,403.0,412.0,403.0
15/09/20,53172166.0,405.0,403.0,408.4,403.0
16/09/20,39290144.0,408.0,404.8,408.0,404.0
17/09/20,65891398.0,404.2,397.0,405.0,397.0
18/09/20,70053358.0,400.0,404.8,404.8,396.2
21/09/20,39327470.0,402.6,399.2,403.0,399.2
22/09/20,33405368.0,399.0,394.4,399.2,392.0
23/09/20,95312160.0,399.0,392.0,399.0,387.2
24/09/20,41652696.0,393.0,390.0,394.0,390.0
25/09/20,52257402.0,393.6,395.0,395.0,388.8
28/09/20,26590028.0,395.8,397.0,399.0,390.6
29/09/20,64275446.0,396.0,392.0,396.2,391.0
30/09/20,79897276.0,394.4,386.4,394.6,385.2
01/10/20,65310490.0,390.0,390.0,390.0,386.2
02/10/20,69610312.0,390.0,395.0,398.0,390.0
05/10/20,88100648.0,398.8,386.0,398.8,386.0
06/10/20,57284232.0,386.2,384.0,387.0,381.0
07/10/20,129119044.0,384.0,380.0,384.6,379.8
08/10/20,28642540.0,385.0,386.2,388.0,385.0
09/10/20,45465742.0,386.6,387.0,391.6,385.0
12/10/20,81802100.0,387.0,387.2,391.2,386.4
13/10/20,106016314.0,387.2,404.0,409.8,387.2
14/10/20,114181582.0,404.0,404.0,406.0,402.0
15/10/20,144822204.0,404.2,398.0,404.8,396.4
16/10/20,59567134.0,399.0,387.4,399.0,387.4
19/10/20,336153820.0,390.0,409.0,409.4,388.0
20/10/20,484736618.0,409.0,434.0,434.6,408.0
21/10/20,724752724.0,439.0,442.6,448.4,434.0
22/10/20,194768228.0,445.0,436.2,447.8,434.6
23/10/20,268211564.0,438.0,449.8,450.0,437.6
26/10/20,183871288.0,450.0,449.0,453.6,448.6
27/10/20,128290600.0,448.0,438.8,448.0,430.2
28/10/20,78235788.0,434.0,432.0,437.0,426.2
29/10/20,90138294.0,425.0,422.8,425.0,421.0
30/10/20,78407602.0,422.8,430.0,431.8,420.0
03/11/20,77183032.0,430.0,434.0,435.8,425.0
04/11/20,200723686.0,434.0,450.0,452.4,431.0
05/11/20,504259924.0,450.4,485.0,485.0,446.8
06/11/20,511252510.0,490.0,500.0,512.5,486.0
09/11/20,210692863.0,500.0,510.0,510.0,493.0
10/11/20,420393790.0,511.0,529.5,530.0,511.0
11/11/20,403244470.0,529.5,560.0,576.0,517.0
13/11/20,319642370.0,552.0,554.0,572.0,550.0
16/11/20,238623365.0,554.0,525.0,554.0,525.0
17/11/20,195693825.0,530.0,545.0,557.0,530.0
18/11/20,130545720.0,545.0,545.0,558.0,545.0
19/11/20,159739190.0,548.0,560.0,560.0,547.5
20/11/20,298537280.0,561.0,603.0,616.0,561.0
23/11/20,199074775.0,603.0,610.0,633.5,603.0
24/11/20,304951535.0,615.5,589.0,624.0,583.5
25/11/20,326074380.0,585.0,570.0,602.0,570.0
26/11/20,190772115.0,580.0,578.0,586.0,570.0
27/11/20,334597060.0,578.0,580.0,603.0,574.0
01/12/20,210866800.0,590.0,620.0,620.0,580.5
02/12/20,248140870.0,621.5,620.0,640.0,611.0
03/12/20,176570445.0,630.0,640.0,640.0,625.0
04/12/20,161968550.0,639.5,649.0,650.0,625.0
07/12/20,209562025.0,645.0,665.5,666.5,642.0
09/12/20,196530555.0,660.0,669.0,673.5,654.5
10/12/20,205614250.0,668.0,656.5,668.0,651.0
11/12/20,111589740.0,656.5,655.0,664.5,654.5
14/12/20,240960295.0,650.0,644.0,650.0,642.5
15/12/20,167927405.0,642.0,635.0,642.0,631.0
16/12/20,140785520.0,640.0,645.0,660.0,638.0
17/12/20,86319300.0,645.0,650.0,650.0,635.0
18/12/20,77596650.0,650.0,636.0,650.0,630.0
21/12/20,363951360.0,632.0,609.5,632.5,606.0
22/12/20,393391460.0,609.0,594.0,609.5,580.5
23/12/20,171493505.0,590.0,597.0,600.5,582.5
28/12/20,102546775.0,586.0,581.0,586.0,578.5
29/12/20,149891120.0,581.0,585.0,595.0,581.0
04/01/21,183333260.0,588.0,595.0,604.0,583.0
05/01/21,301707155.0,585.0,560.0,590.0,557.5
06/01/21,539876200.0,560.0,526.0,560.5,506.0
07/01/21,352928255.0,531.0,540.0,548.0,516.5
08/01/21,350459840.0,550.0,579.0,579.0,550.0
11/01/21,272854760.0,575.0,577.0,592.0,569.0
