Date,Value,Open,Close,High,Low
02/01/20,477540.0,38.0,38.0,38.0,37.6
03/01/20,379010.0,38.3,38.4,38.4,37.5
06/01/20,817160.0,38.4,38.0,38.4,37.1
07/01/20,242555.0,38.0,38.5,38.5,37.5
08/01/20,366205.0,38.4,38.25,38.4,37.0
09/01/20,185000.0,38.0,37.9,38.0,37.5
10/01/20,476235.0,38.0,38.0,38.0,37.0
14/01/20,1324035.0,37.15,38.5,38.8,37.1
15/01/20,665605.0,38.4,38.2,38.4,37.15
17/01/20,692385.0,37.2,37.85,38.0,37.0
20/01/20,4932165.0,37.05,37.0,37.1,37.0
21/01/20,2628710.0,37.0,37.0,37.3,36.95
22/01/20,17287510.0,36.95,36.95,37.0,36.8
23/01/20,272955.0,37.25,37.7,38.0,36.95
24/01/20,5634885.0,37.05,37.25,37.25,37.0
27/01/20,778140.0,36.85,37.0,37.0,36.5
28/01/20,7365.0,36.55,37.1,37.1,36.55
29/01/20,44270.0,36.6,37.1,37.1,36.6
30/01/20,4120370.0,36.55,37.15,37.15,36.55
31/01/20,1142115.0,37.1,37.0,37.1,35.5
03/02/20,2072800.0,35.0,36.5,36.5,35.0
04/02/20,308970.0,36.5,36.5,36.5,35.05
05/02/20,532560.0,35.1,36.5,36.7,35.1
06/02/20,7295.0,36.45,36.5,36.5,36.45
07/02/20,7200.0,35.1,36.9,36.9,35.1
10/02/20,7380.0,36.9,36.9,36.9,36.9
11/02/20,7245.0,35.55,36.9,36.9,35.55
12/02/20,29200.0,36.5,36.5,36.5,36.5
13/02/20,643855.0,35.7,36.0,36.45,35.0
14/02/20,14400.0,36.0,36.0,36.0,36.0
17/02/20,866930.0,34.3,35.5,36.5,34.3
18/02/20,502000.0,35.6,35.0,35.6,35.0
19/02/20,1522500.0,35.0,35.0,35.0,35.0
20/02/20,3645.0,36.45,36.45,36.45,36.45
24/02/20,520850.0,35.0,35.5,35.5,35.0
26/02/20,7418990.0,35.5,33.5,35.5,32.0
27/02/20,725950.0,35.0,33.5,35.0,32.2
28/02/20,20540.0,33.5,34.95,35.0,33.5
03/03/20,893645.0,34.95,35.5,36.0,34.95
05/03/20,32575.0,36.25,36.0,36.25,36.0
06/03/20,188755.0,35.5,35.45,36.0,30.55
09/03/20,541480.0,32.35,35.7,35.75,32.1
10/03/20,872450.0,32.1,36.75,36.75,32.05
11/03/20,11100.0,37.0,37.0,37.0,37.0
12/03/20,2208710.0,36.5,33.9,36.5,30.0
13/03/20,304110.0,33.8,33.7,33.8,31.9
16/03/20,120970.0,29.1,33.2,33.2,29.1
19/03/20,575130.0,33.2,32.9,33.2,31.0
20/03/20,318100.0,32.8,32.8,32.9,32.0
23/03/20,1351380.0,32.8,29.95,32.8,25.0
24/03/20,190460.0,29.95,30.0,30.0,27.0
25/03/20,4934570.0,30.0,30.0,30.0,27.8
26/03/20,250605.0,28.5,30.05,31.0,28.5
27/03/20,15935.0,31.95,31.85,31.95,31.85
30/03/20,386005.0,31.95,32.0,32.0,28.8
31/03/20,2560020.0,32.2,32.0,32.5,31.9
01/04/20,44359060.0,32.0,32.2,32.2,32.0
02/04/20,12082860.0,31.5,32.0,32.0,31.1
03/04/20,3290.0,32.9,32.9,32.9,32.9
06/04/20,14455650.0,32.9,32.0,32.9,32.0
07/04/20,21380420.0,32.0,32.0,32.5,31.3
08/04/20,1152855.0,31.7,32.0,32.0,31.1
13/04/20,1646030.0,32.0,31.95,32.0,31.0
14/04/20,651990.0,31.05,32.0,32.0,31.05
15/04/20,1647550.0,32.0,32.5,32.6,32.0
16/04/20,5714175.0,34.0,33.9,36.0,32.55
17/04/20,3888280.0,33.8,32.6,33.8,32.5
20/04/20,1327400.0,33.8,32.6,33.8,32.6
21/04/20,45570.0,32.5,32.6,32.6,32.5
22/04/20,958595.0,32.6,32.5,32.6,31.05
23/04/20,90165.0,32.2,33.15,33.15,32.0
27/04/20,32350.0,32.4,32.4,32.4,32.0
