Date,Value,Open,Close,High,Low
02/01/20,15070.0,1.15,1.19,1.19,1.15
03/01/20,1200.0,1.2,1.2,1.2,1.2
07/01/20,606320.0,1.2,1.16,1.2,1.16
08/01/20,905740.0,1.15,1.14,1.2,1.14
09/01/20,7140.0,1.19,1.19,1.19,1.19
10/01/20,32760.0,1.17,1.17,1.17,1.17
14/01/20,913780.0,1.07,1.15,1.15,1.07
15/01/20,309520.0,1.17,1.12,1.17,1.09
16/01/20,248800.0,1.1,1.16,1.16,1.08
17/01/20,943300.0,1.08,1.09,1.11,1.08
20/01/20,488050.0,1.1,1.08,1.1,1.07
21/01/20,566520.0,1.07,1.07,1.07,1.06
22/01/20,241820.0,1.07,1.07,1.07,1.07
23/01/20,162040.0,1.08,1.12,1.12,1.08
24/01/20,754280.0,1.11,1.11,1.11,1.07
27/01/20,561350.0,1.09,1.09,1.09,1.09
28/01/20,1309610.0,1.1,1.07,1.1,1.07
29/01/20,43070.0,1.07,1.09,1.09,1.06
30/01/20,884380.0,1.08,1.07,1.08,1.07
31/01/20,939860.0,1.07,1.04,1.07,1.03
03/02/20,1553190.0,1.04,1.03,1.04,1.03
04/02/20,411440.0,1.05,1.04,1.1,1.04
05/02/20,264580.0,1.04,1.05,1.05,1.04
06/02/20,227900.0,1.06,1.06,1.06,1.06
07/02/20,2095430.0,1.06,1.04,1.06,1.04
10/02/20,322880.0,1.04,1.05,1.09,1.04
11/02/20,224900.0,1.05,1.05,1.06,1.05
12/02/20,622560.0,1.05,1.04,1.05,1.04
13/02/20,1767100.0,1.04,1.07,1.15,1.04
14/02/20,875920.0,1.1,1.11,1.13,1.09
17/02/20,43980.0,1.08,1.1,1.1,1.08
18/02/20,131760.0,1.08,1.08,1.08,1.08
19/02/20,2498230.0,1.05,1.04,1.05,1.03
20/02/20,612040.0,1.04,1.04,1.05,1.03
21/02/20,77060.0,1.04,1.04,1.05,1.04
24/02/20,2294760.0,1.04,1.03,1.04,1.01
26/02/20,1344590.0,1.02,0.99,1.03,0.99
27/02/20,294130.0,1.01,0.99,1.01,0.99
28/02/20,851180.0,0.99,1.03,1.03,0.96
02/03/20,28580.0,1.02,1.0,1.02,0.97
03/03/20,273610.0,0.99,0.99,1.0,0.98
04/03/20,252840.0,0.98,0.98,0.98,0.98
05/03/20,179810.0,0.98,1.0,1.0,0.97
06/03/20,90100.0,1.0,0.99,1.0,0.99
09/03/20,754920.0,0.97,0.93,0.97,0.93
10/03/20,2672260.0,0.92,0.9,0.92,0.81
11/03/20,41180.0,0.9,0.97,0.97,0.9
12/03/20,3505650.0,0.91,0.87,0.91,0.87
13/03/20,512270.0,0.86,0.85,0.86,0.8
16/03/20,954570.0,0.84,0.79,0.84,0.79
19/03/20,1456440.0,0.76,0.66,0.76,0.6
20/03/20,395440.0,0.66,0.67,0.68,0.66
23/03/20,684320.0,0.66,0.65,0.67,0.65
24/03/20,200640.0,0.66,0.66,0.66,0.66
25/03/20,280640.0,0.68,0.7,0.7,0.68
26/03/20,286000.0,0.71,0.73,0.73,0.71
27/03/20,74700.0,0.79,0.75,0.8,0.75
30/03/20,515950.0,0.7,0.75,0.75,0.7
31/03/20,219000.0,0.75,0.77,0.77,0.75
01/04/20,145190.0,0.77,0.75,0.77,0.75
02/04/20,134980.0,0.75,0.74,0.75,0.73
03/04/20,129310.0,0.75,0.75,0.75,0.74
06/04/20,202150.0,0.75,0.76,0.76,0.75
07/04/20,335680.0,0.78,0.77,0.78,0.75
08/04/20,364680.0,0.77,0.75,0.77,0.75
13/04/20,598580.0,0.75,0.81,0.83,0.75
14/04/20,1120860.0,0.82,0.84,0.87,0.82
15/04/20,188550.0,0.84,0.86,0.87,0.84
16/04/20,162060.0,0.84,0.81,0.85,0.81
17/04/20,441600.0,0.81,0.8,0.81,0.8
20/04/20,111400.0,0.84,0.8,0.84,0.8
21/04/20,346930.0,0.8,0.81,0.81,0.8
22/04/20,2309400.0,0.8,0.8,0.8,0.79
23/04/20,361010.0,0.8,0.83,0.87,0.79
24/04/20,9900.0,0.8,0.83,0.83,0.8
27/04/20,70150.0,0.81,0.85,0.85,0.8
28/04/20,19060.0,0.85,0.85,0.85,0.8
29/04/20,4950.0,0.85,0.85,0.85,0.8
30/04/20,50720.0,0.8,0.82,0.85,0.8
04/05/20,157990.0,0.81,0.81,0.85,0.81
05/05/20,1415700.0,0.81,0.8,0.81,0.8
06/05/20,73710.0,0.8,0.8,0.81,0.8
07/05/20,282520.0,0.8,0.84,0.84,0.8
08/05/20,832300.0,0.85,0.8,0.85,0.8
11/05/20,181130.0,0.79,0.8,0.8,0.79
12/05/20,1821620.0,0.83,0.79,0.83,0.79
13/05/20,431320.0,0.8,0.79,0.8,0.79
14/05/20,830360.0,0.8,0.79,0.8,0.79
15/05/20,728820.0,0.79,0.79,0.8,0.79
18/05/20,1678310.0,0.8,0.79,0.8,0.78
19/05/20,17170.0,0.78,0.79,0.79,0.78
20/05/20,18160.0,0.78,0.79,0.79,0.78
21/05/20,847170.0,0.78,0.8,0.8,0.78
22/05/20,526000.0,0.8,0.8,0.84,0.8
26/05/20,709510.0,0.81,0.78,0.81,0.78
27/05/20,182520.0,0.78,0.78,0.78,0.78
28/05/20,45350.0,0.78,0.8,0.8,0.78
29/05/20,184160.0,0.79,0.78,0.79,0.78
01/06/20,27200.0,0.8,0.8,0.8,0.8
02/06/20,20540.0,0.79,0.79,0.79,0.79
03/06/20,346370.0,0.79,0.81,0.81,0.79
04/06/20,113510.0,0.83,0.81,0.83,0.8
05/06/20,911490.0,0.81,0.79,0.82,0.79
08/06/20,203030.0,0.82,0.84,0.84,0.82
09/06/20,698240.0,0.85,0.89,0.91,0.85
10/06/20,270790.0,0.89,0.85,0.89,0.82
11/06/20,178560.0,0.83,0.83,0.83,0.81
15/06/20,232050.0,0.83,0.81,0.83,0.79
16/06/20,425650.0,0.79,0.79,0.81,0.79
17/06/20,2139490.0,0.79,0.9,0.9,0.79
18/06/20,345820.0,0.9,0.85,0.91,0.84
19/06/20,588680.0,0.85,0.9,0.91,0.85
22/06/20,1667060.0,0.85,0.91,0.95,0.85
23/06/20,466030.0,0.91,0.9,0.95,0.88
24/06/20,503180.0,0.88,0.86,0.89,0.86
25/06/20,150300.0,0.84,0.83,0.85,0.83
26/06/20,159590.0,0.83,0.85,0.85,0.83
29/06/20,12840.0,0.86,0.88,0.88,0.82
30/06/20,211400.0,0.83,0.87,0.87,0.82
01/07/20,90020.0,0.82,0.83,0.84,0.82
02/07/20,199940.0,0.83,0.88,0.88,0.83
03/07/20,82940.0,0.83,0.84,0.85,0.83
06/07/20,204950.0,0.82,0.81,0.83,0.81
07/07/20,399270.0,0.81,0.84,0.85,0.81
09/07/20,157380.0,0.81,0.81,0.82,0.8
10/07/20,124480.0,0.81,0.8,0.81,0.8
13/07/20,277030.0,0.8,0.82,0.88,0.8
14/07/20,216780.0,0.82,0.81,0.84,0.8
15/07/20,322100.0,0.81,0.81,0.81,0.8
16/07/20,191140.0,0.84,0.85,0.86,0.84
17/07/20,359330.0,0.83,0.81,0.83,0.8
20/07/20,207230.0,0.83,0.8,0.83,0.8
21/07/20,176800.0,0.8,0.8,0.8,0.8
22/07/20,3200.0,0.8,0.8,0.8,0.8
23/07/20,1209010.0,0.8,0.79,0.8,0.79
27/07/20,615380.0,0.79,0.8,0.8,0.79
28/07/20,221100.0,0.78,0.79,0.79,0.78
29/07/20,264730.0,0.79,0.79,0.8,0.79
30/07/20,63200.0,0.79,0.79,0.79,0.79
03/08/20,1247230.0,0.78,0.8,0.88,0.78
04/08/20,361970.0,0.83,0.8,0.83,0.78
05/08/20,170750.0,0.8,0.8,0.81,0.8
06/08/20,1259720.0,0.79,0.78,0.79,0.78
07/08/20,187400.0,0.78,0.8,0.8,0.78
10/08/20,38880.0,0.81,0.81,0.81,0.81
12/08/20,96770.0,0.78,0.79,0.8,0.78
13/08/20,313000.0,0.78,0.81,0.81,0.78
14/08/20,551950.0,0.78,0.79,0.81,0.78
17/08/20,1274050.0,0.79,0.78,0.79,0.78
18/08/20,105400.0,0.77,0.81,0.81,0.77
19/08/20,136160.0,0.81,0.79,0.81,0.79
20/08/20,8100.0,0.81,0.81,0.81,0.81
24/08/20,400240.0,0.8,0.77,0.81,0.77
25/08/20,486770.0,0.77,0.78,0.8,0.77
26/08/20,116280.0,0.78,0.8,0.8,0.78
27/08/20,55200.0,0.8,0.8,0.8,0.8
28/08/20,13430.0,0.79,0.79,0.79,0.79
01/09/20,227830.0,0.81,0.8,0.82,0.8
02/09/20,29230.0,0.79,0.79,0.79,0.79
03/09/20,425020.0,0.79,0.79,0.79,0.79
04/09/20,86110.0,0.79,0.79,0.79,0.79
07/09/20,237790.0,0.79,0.79,0.79,0.79
08/09/20,79000.0,0.79,0.79,0.79,0.79
09/09/20,3553640.0,0.79,0.77,0.79,0.76
10/09/20,727680.0,0.77,0.77,0.78,0.77
11/09/20,45490.0,0.77,0.79,0.79,0.77
14/09/20,1062480.0,0.79,0.76,0.79,0.76
15/09/20,892790.0,0.79,0.76,0.79,0.76
16/09/20,1616730.0,0.77,0.76,0.78,0.75
17/09/20,589350.0,0.78,0.76,0.78,0.76
18/09/20,148960.0,0.76,0.76,0.76,0.76
21/09/20,247200.0,0.76,0.75,0.76,0.75
22/09/20,1486190.0,0.75,0.75,0.75,0.74
23/09/20,846560.0,0.74,0.74,0.74,0.74
24/09/20,56950.0,0.76,0.77,0.78,0.76
25/09/20,29050.0,0.74,0.77,0.77,0.74
28/09/20,18230.0,0.76,0.75,0.76,0.75
29/09/20,3236230.0,0.74,0.76,0.76,0.74
30/09/20,53690.0,0.75,0.76,0.76,0.75
01/10/20,354800.0,0.76,0.75,0.76,0.75
02/10/20,744150.0,0.75,0.74,0.76,0.73
05/10/20,76180.0,0.74,0.75,0.75,0.74
06/10/20,154460.0,0.74,0.74,0.75,0.74
07/10/20,168230.0,0.75,0.74,0.75,0.74
08/10/20,169770.0,0.74,0.75,0.76,0.74
09/10/20,1022760.0,0.75,0.74,0.76,0.74
12/10/20,50680.0,0.74,0.76,0.76,0.74
13/10/20,101910.0,0.74,0.76,0.76,0.74
14/10/20,44080.0,0.76,0.76,0.76,0.76
15/10/20,189860.0,0.76,0.76,0.76,0.75
16/10/20,256800.0,0.74,0.76,0.76,0.74
19/10/20,668250.0,0.75,0.75,0.75,0.75
20/10/20,246730.0,0.75,0.77,0.77,0.75
21/10/20,283590.0,0.76,0.78,0.78,0.75
22/10/20,192240.0,0.78,0.76,0.79,0.76
23/10/20,435090.0,0.77,0.77,0.78,0.76
26/10/20,978270.0,0.78,0.76,0.78,0.76
27/10/20,3181450.0,0.76,0.75,0.76,0.7
28/10/20,266540.0,0.76,0.75,0.76,0.74
29/10/20,9080.0,0.76,0.75,0.76,0.75
30/10/20,1124370.0,0.75,0.75,0.76,0.75
03/11/20,174750.0,0.75,0.75,0.75,0.75
04/11/20,570570.0,0.75,0.76,0.76,0.75
05/11/20,3060670.0,0.76,0.76,0.77,0.75
06/11/20,1206600.0,0.77,0.76,0.77,0.76
09/11/20,2530660.0,0.76,0.8,0.81,0.76
10/11/20,1931890.0,0.82,0.81,0.82,0.79
11/11/20,3633310.0,0.82,0.86,0.88,0.82
13/11/20,2026610.0,0.88,0.86,0.89,0.84
16/11/20,583930.0,0.86,0.87,0.88,0.86
17/11/20,698650.0,0.87,0.88,0.89,0.87
18/11/20,1297420.0,0.88,0.88,0.9,0.87
19/11/20,832270.0,0.88,0.89,0.89,0.87
20/11/20,936100.0,0.88,0.89,0.9,0.88
23/11/20,2658810.0,0.88,0.9,0.93,0.88
24/11/20,1712430.0,0.9,0.92,0.94,0.9
25/11/20,7398010.0,0.93,0.9,0.94,0.87
26/11/20,3609980.0,0.91,0.86,0.91,0.86
27/11/20,814720.0,0.89,0.89,0.9,0.87
01/12/20,644110.0,0.9,0.9,0.9,0.89
02/12/20,125640.0,0.89,0.91,0.91,0.89
03/12/20,252920.0,0.9,0.9,0.92,0.9
04/12/20,200760.0,0.9,0.92,0.92,0.9
07/12/20,303300.0,0.92,0.91,0.92,0.91
09/12/20,1639330.0,0.91,0.95,0.95,0.91
10/12/20,283100.0,0.97,0.96,0.97,0.95
11/12/20,1165640.0,0.96,0.97,0.99,0.93
14/12/20,482230.0,0.98,0.98,1.0,0.97
15/12/20,3342500.0,0.98,0.98,0.98,0.96
16/12/20,969930.0,0.98,0.96,0.98,0.96
17/12/20,1079980.0,0.96,0.99,0.99,0.96
18/12/20,863300.0,0.99,0.98,0.99,0.97
21/12/20,2377990.0,0.97,0.99,0.99,0.95
22/12/20,2966870.0,0.98,0.94,0.98,0.92
23/12/20,870420.0,0.93,0.94,0.95,0.93
28/12/20,288500.0,0.93,0.94,0.94,0.93
29/12/20,1457520.0,0.93,0.92,0.93,0.92
04/01/21,467920.0,0.93,0.93,0.94,0.92
05/01/21,1263230.0,0.93,0.92,0.93,0.92
06/01/21,1453550.0,0.92,0.91,0.92,0.9
07/01/21,616610.0,0.9,0.91,0.91,0.89
08/01/21,654230.0,0.9,0.92,0.92,0.89
11/01/21,435520.0,0.92,0.94,0.95,0.92
