Date,Value,Open,Close,High,Low
02/01/20,249932.0,438.4,438.4,438.8,438.4
03/01/20,297084.0,438.4,438.4,438.4,422.0
06/01/20,14800684.0,423.0,425.0,449.2,422.0
07/01/20,6906956.0,425.2,440.0,449.6,425.2
08/01/20,22000.0,440.0,440.0,440.0,440.0
09/01/20,242424.0,440.0,439.8,440.0,430.0
14/01/20,14625766.0,440.0,438.2,449.0,429.2
15/01/20,20717766.0,435.0,438.6,449.0,429.2
16/01/20,749896.0,430.6,438.0,446.8,429.8
17/01/20,19986504.0,446.6,439.0,448.8,431.0
21/01/20,122214.0,439.0,437.0,448.4,435.0
22/01/20,14298894.0,430.4,438.0,449.0,430.4
23/01/20,22913580.0,433.0,437.0,449.4,430.6
24/01/20,78710.0,437.0,437.0,438.0,437.0
28/01/20,248260.0,437.0,432.2,448.0,432.2
29/01/20,934200.0,447.8,426.0,447.8,426.0
30/01/20,26355916.0,431.4,426.0,445.2,425.4
31/01/20,29953028.0,427.2,425.0,445.0,420.2
03/02/20,235082.0,424.6,435.0,435.0,424.6
04/02/20,373158.0,424.4,424.4,424.4,423.0
05/02/20,76482.0,425.0,424.4,425.0,424.4
06/02/20,1204526.0,424.0,424.0,430.0,424.0
07/02/20,72110.0,430.0,423.4,430.0,423.4
10/02/20,211214.0,423.4,421.6,423.8,421.6
11/02/20,30892492.0,420.0,422.0,437.0,415.0
12/02/20,12600.0,420.0,420.0,420.0,420.0
13/02/20,25070.0,415.8,428.0,428.0,415.8
17/02/20,180200.0,418.0,418.4,427.8,418.0
18/02/20,142754.0,418.0,420.0,423.8,418.0
19/02/20,25300.0,417.0,424.0,424.0,417.0
20/02/20,168590.0,424.0,424.0,424.0,417.0
21/02/20,12540.0,418.0,418.0,418.0,418.0
24/02/20,54340.0,418.0,418.0,418.0,418.0
26/02/20,265042.0,417.0,413.0,417.0,406.0
27/02/20,30145822.0,413.0,413.0,429.8,404.2
28/02/20,28734.0,404.4,410.0,415.0,404.4
02/03/20,32494186.0,404.2,410.0,429.6,403.2
03/03/20,12200.0,405.0,410.0,410.0,405.0
04/03/20,82000.0,410.0,410.0,410.0,410.0
05/03/20,33608020.0,404.0,414.0,429.8,403.2
09/03/20,34598352.0,404.0,403.0,429.0,390.0
10/03/20,408544.0,383.2,375.0,400.0,370.2
11/03/20,74500.0,375.0,370.0,375.0,370.0
12/03/20,154580.0,370.0,364.0,370.0,348.0
13/03/20,468202.0,300.2,355.0,355.4,270.0
16/03/20,178042.0,348.8,349.0,354.8,348.8
19/03/20,71190.0,339.0,339.0,339.0,339.0
20/03/20,37150.0,338.0,335.0,338.0,335.0
23/03/20,174180.0,334.0,335.0,335.0,334.0
24/03/20,56916.0,334.0,330.0,340.0,330.0
25/03/20,3000.0,300.0,300.0,300.0,300.0
26/03/20,669974.0,301.4,340.0,399.8,301.4
27/03/20,103580.0,341.0,371.0,371.0,341.0
31/03/20,289264.0,360.0,368.0,396.0,330.0
01/04/20,14600.0,365.0,365.0,365.0,365.0
03/04/20,38788.0,350.0,378.8,378.8,350.0
13/04/20,36890.0,369.0,369.0,369.0,368.0
14/04/20,237500.0,360.0,336.0,360.0,304.0
15/04/20,689946.0,336.0,341.0,341.0,330.0
16/04/20,77220.0,341.0,337.0,341.0,330.0
17/04/20,106610.0,323.0,330.0,340.0,323.0
20/04/20,190000.0,330.0,330.0,330.0,320.0
21/04/20,68650.0,330.0,330.0,330.0,320.0
22/04/20,135300.0,330.0,330.0,330.0,330.0
23/04/20,32000.0,320.0,320.0,320.0,320.0
24/04/20,19200.0,320.0,320.0,320.0,320.0
27/04/20,9690.0,323.0,323.0,323.0,323.0
28/04/20,44506.0,319.0,317.0,323.0,317.0
29/04/20,363740.0,320.0,310.8,329.0,310.8
30/04/20,106992.0,339.8,312.4,339.8,312.4
04/05/20,44110.0,315.0,307.0,324.0,307.0
05/05/20,70380.0,306.0,306.0,306.0,306.0
06/05/20,3346.0,334.6,334.6,334.6,334.6
07/05/20,50612.0,306.2,312.0,325.0,306.2
08/05/20,34310.0,312.0,311.8,312.0,311.8
11/05/20,284336.0,311.8,320.0,320.0,311.8
12/05/20,3200.0,320.0,320.0,320.0,320.0
15/05/20,693150.0,306.0,302.0,306.0,300.0
18/05/20,8704.0,290.0,290.2,290.2,290.0
19/05/20,123000.0,300.0,300.0,300.0,300.0
20/05/20,81000.0,300.0,300.0,300.0,300.0
21/05/20,15000.0,300.0,300.0,300.0,300.0
22/05/20,15758.0,315.0,315.4,315.4,315.0
26/05/20,20950.0,300.0,295.0,300.0,295.0
27/05/20,23594.0,294.8,295.0,295.0,294.8
28/05/20,58040.0,290.0,290.4,290.4,290.0
29/05/20,292900.0,290.0,290.0,290.0,290.0
01/06/20,20300.0,290.0,290.0,290.0,290.0
02/06/20,25730.0,285.0,286.0,286.0,285.0
03/06/20,208990.0,290.0,282.0,290.0,280.0
04/06/20,46640.0,305.0,314.8,314.8,305.0
05/06/20,1029424.0,314.0,320.0,345.0,312.0
08/06/20,3500.0,350.0,350.0,350.0,350.0
09/06/20,168220.0,337.0,336.0,337.0,334.0
10/06/20,6650.0,335.0,330.0,335.0,330.0
15/06/20,120386.0,308.0,308.0,334.6,308.0
16/06/20,15400.0,308.0,308.0,308.0,308.0
18/06/20,397492.0,290.0,292.0,315.0,251.0
19/06/20,111074.0,280.0,300.0,300.0,280.0
22/06/20,155816.0,301.0,290.0,301.0,290.0
23/06/20,2920.0,292.0,292.0,292.0,292.0
24/06/20,59294.0,310.0,290.0,310.0,290.0
25/06/20,151336.0,280.0,281.2,281.2,280.0
26/06/20,59876.0,292.0,281.2,292.0,281.2
29/06/20,134712.0,281.2,280.2,281.2,280.2
30/06/20,2810.0,281.0,281.0,281.0,281.0
01/07/20,19620.0,281.0,280.0,281.0,280.0
02/07/20,117800.0,280.0,300.0,300.0,280.0
03/07/20,8430.0,281.0,281.0,281.0,281.0
06/07/20,22550.0,282.0,281.0,282.0,281.0
09/07/20,319002.0,280.2,300.0,300.0,280.0
10/07/20,196550.0,295.0,305.0,305.0,295.0
13/07/20,111990.0,300.0,309.0,309.0,300.0
14/07/20,3080.0,308.0,308.0,308.0,308.0
16/07/20,6100.0,305.0,305.0,305.0,305.0
20/07/20,84438.0,305.0,308.0,308.0,280.2
23/07/20,79592.0,299.8,300.0,300.0,280.4
24/07/20,101310.0,307.0,307.0,307.0,307.0
27/07/20,14560.0,280.4,306.8,306.8,280.4
28/07/20,5870.0,280.4,306.6,306.6,280.4
30/07/20,15200.0,304.0,304.0,304.0,304.0
03/08/20,24320.0,304.0,304.0,304.0,304.0
04/08/20,65574.0,280.4,299.8,303.6,280.4
05/08/20,150000.0,300.0,300.0,300.0,300.0
06/08/20,3000.0,300.0,300.0,300.0,300.0
07/08/20,388536.0,281.2,299.6,299.6,280.2
10/08/20,37204.0,281.2,289.0,289.8,281.2
11/08/20,59920.0,299.6,299.6,299.6,299.6
12/08/20,26732.0,288.0,299.6,299.6,288.0
13/08/20,5992.0,299.6,299.6,299.6,299.6
20/08/20,2990.0,299.0,299.0,299.0,299.0
24/08/20,20936.0,299.2,299.0,299.2,299.0
01/09/20,68600.0,282.2,299.6,299.8,282.2
03/09/20,58600.0,284.0,299.0,299.0,284.0
04/09/20,1134300.0,285.0,310.0,310.0,285.0
07/09/20,8896.0,290.0,309.6,309.6,290.0
09/09/20,30800.0,308.0,308.0,308.0,308.0
10/09/20,14932.0,285.2,308.0,308.0,285.2
15/09/20,38760.0,299.0,299.0,299.0,288.0
16/09/20,505868.0,284.0,310.0,310.0,284.0
18/09/20,1124264.0,287.0,309.6,309.8,281.2
21/09/20,6160.0,308.0,308.0,308.0,308.0
23/09/20,6160.0,308.0,308.0,308.0,308.0
28/09/20,9234.0,307.8,307.8,307.8,307.8
29/09/20,349910.0,288.0,304.2,306.0,285.0
30/09/20,117060.0,286.0,303.8,304.0,286.0
02/10/20,201930.0,285.0,307.0,307.0,285.0
06/10/20,419270.0,288.0,304.8,305.0,288.0
07/10/20,42276.0,300.0,304.6,304.6,300.0
08/10/20,51560.0,295.0,304.4,304.4,295.0
09/10/20,71166.0,289.0,303.8,303.8,289.0
12/10/20,12120.0,303.0,303.0,303.0,303.0
14/10/20,2651292.0,300.0,328.0,328.0,291.0
15/10/20,810610.0,301.2,330.0,330.0,301.2
16/10/20,362798.0,311.0,329.8,329.8,311.0
20/10/20,136030.0,315.0,330.0,330.0,315.0
21/10/20,200256.0,330.0,350.0,350.0,330.0
22/10/20,344600.0,350.0,340.0,350.0,340.0
23/10/20,157150.0,350.0,370.0,370.0,350.0
26/10/20,48100.0,370.0,370.0,370.0,370.0
28/10/20,39700.0,350.0,370.0,370.0,350.0
29/10/20,54250.0,345.0,370.0,370.0,345.0
30/10/20,158842.0,350.0,354.0,355.0,350.0
03/11/20,102280.0,354.0,369.8,369.8,354.0
04/11/20,114642.0,370.0,369.8,370.0,369.0
05/11/20,388488.0,360.0,360.0,360.0,352.2
06/11/20,1619246.0,360.0,388.0,388.0,352.0
09/11/20,38440.0,388.0,388.0,388.0,370.0
10/11/20,689600.0,388.0,380.0,388.0,380.0
11/11/20,1077030.0,380.0,395.0,395.0,360.0
13/11/20,4009460.0,367.0,395.0,395.0,363.0
16/11/20,327610.0,393.0,395.0,395.0,375.0
17/11/20,143800.0,395.0,395.0,395.0,380.0
20/11/20,756520.0,380.0,399.0,399.0,380.0
23/11/20,663670.0,400.0,400.0,400.0,399.0
24/11/20,3352704.0,409.0,430.0,430.0,409.0
25/11/20,1052250.0,430.0,420.0,430.0,420.0
26/11/20,123482.0,411.0,430.0,430.0,410.0
27/11/20,978678250.0,425.0,448.0,449.0,425.0
01/12/20,1347556.0,430.6,441.0,448.0,430.6
02/12/20,528798.0,447.8,448.0,448.0,438.0
03/12/20,295620.0,447.0,448.0,448.0,447.0
04/12/20,2662720.0,438.0,450.0,450.0,437.2
07/12/20,85500.0,450.0,450.0,450.0,450.0
09/12/20,1435622.0,450.0,450.0,450.0,438.2
10/12/20,397836.0,439.6,450.0,450.0,439.6
11/12/20,304894.0,450.0,450.0,450.0,440.0
14/12/20,291606.0,450.0,450.0,450.0,439.6
15/12/20,1072488.0,450.0,450.0,460.0,450.0
16/12/20,112500.0,450.0,450.0,450.0,450.0
17/12/20,84800.0,450.0,450.0,450.0,440.0
18/12/20,902826.0,440.0,455.0,455.0,437.2
21/12/20,80740.0,440.2,455.0,455.0,440.2
22/12/20,628524.0,440.2,453.0,453.0,440.0
