Date,Value,Open,Close,High,Low
06/01/20,2062.0,10.0,10.62,10.62,10.0
10/01/20,46570.0,10.4,11.98,11.98,10.4
14/01/20,26278.0,11.78,11.9,12.0,9.54
22/01/20,55156.0,11.98,11.9,12.0,11.9
23/01/20,20420.0,12.0,12.5,14.5,12.0
24/01/20,14456.0,12.9,13.34,13.88,12.6
27/01/20,12038.0,9.59,13.08,13.18,9.59
28/01/20,1348.0,13.48,13.48,13.48,13.48
30/01/20,8491.0,9.61,13.36,13.36,9.61
31/01/20,1338.0,13.38,13.38,13.38,13.38
03/02/20,1346.0,13.46,13.46,13.46,13.46
04/02/20,4656.0,9.8,13.26,13.26,9.8
07/02/20,2598.0,12.5,13.48,13.48,12.5
12/02/20,4644.0,9.58,13.36,13.36,9.58
13/02/20,112392.0,13.38,13.38,13.38,13.38
17/02/20,1344.0,13.44,13.44,13.44,13.44
19/02/20,4686388.0,9.9,13.38,13.38,9.9
20/02/20,1342.0,13.42,13.42,13.42,13.42
21/02/20,50366.0,12.9,13.36,13.36,12.9
02/03/20,1346.0,13.46,13.46,13.46,13.46
06/03/20,4208.0,9.7,11.88,11.88,9.7
09/03/20,49884.0,9.9,12.64,13.5,9.9
10/03/20,2562.0,12.64,12.98,12.98,12.64
12/03/20,2576.0,12.88,12.88,12.88,12.88
13/03/20,1288.0,12.88,12.88,12.88,12.88
16/03/20,1288.0,12.88,12.88,12.88,12.88
19/03/20,1286.0,12.86,12.86,12.86,12.86
23/03/20,1280.0,12.8,12.8,12.8,12.8
30/03/20,5330.0,9.12,12.76,12.76,9.12
06/04/20,41192.0,9.17,12.58,12.58,9.12
07/04/20,1272.0,12.72,12.72,12.72,12.72
08/05/20,20613.0,9.11,12.42,12.44,9.11
11/05/20,1254.0,12.54,12.54,12.54,12.54
12/05/20,1266.0,12.66,12.66,12.66,12.66
02/06/20,148320.0,9.57,18.88,18.98,9.57
03/06/20,760998.0,17.7,13.26,17.7,13.22
04/06/20,62618.0,13.28,13.38,13.38,11.8
05/06/20,12042.0,13.38,13.38,13.38,13.38
08/06/20,20650.0,13.0,12.5,13.0,12.5
09/06/20,29000.0,12.02,13.36,13.36,12.02
10/06/20,73480.0,13.36,13.36,13.36,13.36
11/06/20,42900.0,13.0,13.0,13.0,13.0
15/06/20,6010.0,12.02,12.02,12.02,12.02
17/06/20,6900.0,13.8,13.8,13.8,13.8
19/06/20,38744.0,12.02,12.5,12.5,12.02
24/06/20,3606.0,12.02,12.02,12.02,12.02
26/06/20,2748.0,13.76,13.72,13.76,13.72
29/06/20,2572.0,13.7,12.02,13.7,12.02
30/06/20,5388.0,13.5,13.4,13.5,13.4
01/07/20,2406.0,12.02,12.04,12.04,12.02
02/07/20,18600.0,13.16,12.02,13.16,12.02
13/07/20,14410.0,12.06,12.0,12.06,12.0
15/07/20,13436.0,11.04,11.98,11.98,11.04
16/07/20,3798.0,12.66,12.66,12.66,12.66
17/07/20,10128.0,12.66,12.66,12.66,12.66
20/07/20,1296.0,12.96,12.96,12.96,12.96
28/07/20,5780.0,11.26,12.76,12.76,11.26
04/08/20,54584.0,11.08,11.84,12.02,11.0
05/08/20,43158.0,11.02,11.92,11.92,11.02
07/08/20,2344.0,11.72,11.72,11.72,11.72
13/08/20,8960.0,11.2,11.2,11.2,11.2
17/08/20,3226.0,10.26,11.74,11.74,10.26
25/08/20,2116.0,10.58,10.58,10.58,10.58
26/08/20,2330.0,11.64,11.66,11.66,11.64
04/09/20,18056.0,10.36,10.72,10.72,10.36
09/09/20,10368.0,11.52,11.52,11.52,11.52
11/09/20,1060.0,10.6,10.6,10.6,10.6
21/09/20,5320.0,10.64,10.64,10.64,10.64
28/09/20,11660.0,10.6,10.6,10.6,10.6
29/09/20,115976.0,10.64,10.64,10.64,10.64
01/10/20,31902.0,10.58,10.64,10.64,10.58
05/10/20,4244.0,10.64,10.58,10.64,10.58
09/10/20,11530.0,10.5,10.48,10.5,10.48
16/10/20,1008.0,10.08,10.08,10.08,10.08
19/10/20,27780.0,10.1,10.62,10.62,10.1
20/10/20,35094.0,10.62,10.64,10.64,10.6
21/10/20,3108.0,10.36,10.36,10.36,10.36
23/10/20,3150.0,10.5,10.5,10.5,10.5
26/10/20,61124.0,10.36,10.36,10.36,10.36
27/10/20,11480.0,11.5,11.44,11.5,11.44
28/10/20,2288.0,11.44,11.44,11.44,11.44
29/10/20,4576.0,11.44,11.44,11.44,11.44
30/10/20,64312.0,11.68,11.98,11.98,11.68
13/11/20,1024.0,10.24,10.24,10.24,10.24
16/11/20,93184.0,11.0,11.82,11.84,11.0
17/11/20,11140.0,11.14,11.14,11.14,11.14
18/11/20,42186.0,11.88,11.2,12.7,11.2
19/11/20,24532.0,11.18,11.14,11.18,11.14
20/11/20,3216.0,10.72,10.72,10.72,10.72
23/11/20,0.0,0.0,0.0,0.0,0.0
07/12/20,11200.0,11.2,11.2,11.2,11.2
21/12/20,2240.0,11.2,11.2,11.2,11.2
22/12/20,3150.0,10.5,10.5,10.5,10.5
23/12/20,3288.0,10.96,10.96,10.96,10.96
04/01/21,7350.0,10.5,10.5,10.5,10.5
08/01/21,3150.0,10.5,10.5,10.5,10.5
