Date,Value,Open,Close,High,Low
02/01/20,7327550.0,1.86,1.87,1.87,1.81
03/01/20,29796550.0,1.87,2.01,2.01,1.85
06/01/20,5911390.0,2.01,1.99,2.02,1.93
07/01/20,21859450.0,2.0,1.94,2.0,1.93
08/01/20,6488870.0,1.95,1.95,1.96,1.88
09/01/20,7025810.0,1.95,1.95,1.98,1.91
10/01/20,46036990.0,1.93,2.02,2.03,1.93
14/01/20,14260610.0,2.04,2.07,2.07,2.01
15/01/20,14002890.0,2.07,2.11,2.12,2.03
16/01/20,13236920.0,2.12,2.12,2.13,2.05
17/01/20,15642130.0,2.12,2.15,2.17,2.07
20/01/20,27727510.0,2.15,2.09,2.16,2.07
21/01/20,15180120.0,2.07,2.0,2.07,1.98
22/01/20,8792790.0,2.0,2.0,2.02,1.98
23/01/20,13534390.0,2.0,2.0,2.01,1.94
24/01/20,5717370.0,2.0,1.99,2.0,1.95
27/01/20,3817630.0,1.95,2.0,2.0,1.95
28/01/20,16705170.0,2.0,2.01,2.02,1.96
29/01/20,9897210.0,2.02,2.02,2.04,1.99
30/01/20,6900210.0,2.0,2.0,2.03,1.94
31/01/20,9653730.0,2.0,1.94,2.0,1.88
03/02/20,4379370.0,1.89,1.86,1.94,1.78
04/02/20,13468770.0,1.86,1.89,1.9,1.84
05/02/20,2927490.0,1.86,1.9,1.92,1.85
06/02/20,12218010.0,1.91,1.8,1.91,1.79
07/02/20,11222700.0,1.79,1.67,1.83,1.67
10/02/20,4360920.0,1.68,1.65,1.68,1.6
11/02/20,7515850.0,1.66,1.58,1.66,1.55
12/02/20,16286120.0,1.55,1.68,1.68,1.55
13/02/20,4670820.0,1.7,1.55,1.7,1.55
14/02/20,2471980.0,1.55,1.59,1.61,1.52
17/02/20,9724560.0,1.59,1.52,1.6,1.51
18/02/20,10268960.0,1.51,1.48,1.51,1.46
19/02/20,1319200.0,1.49,1.53,1.53,1.46
20/02/20,3027770.0,1.53,1.53,1.56,1.49
21/02/20,6278980.0,1.54,1.57,1.58,1.51
24/02/20,10633520.0,1.58,1.56,1.58,1.54
26/02/20,4499800.0,1.55,1.36,1.56,1.32
27/02/20,1359120.0,1.36,1.4,1.44,1.36
28/02/20,8952410.0,1.36,1.3,1.36,1.3
