Date,Value,Open,Close,High,Low
02/01/20,1117660.0,1.09,1.05,1.09,1.02
03/01/20,877100.0,1.04,1.08,1.08,1.03
06/01/20,8395070.0,1.08,1.2,1.24,1.08
07/01/20,4265900.0,1.21,1.23,1.23,1.17
08/01/20,2414540.0,1.24,1.19,1.24,1.19
09/01/20,8050170.0,1.19,1.34,1.34,1.16
10/01/20,5179140.0,1.35,1.34,1.4,1.33
14/01/20,2672580.0,1.35,1.31,1.35,1.24
15/01/20,6250880.0,1.31,1.42,1.45,1.31
16/01/20,5012390.0,1.42,1.34,1.43,1.31
17/01/20,3304220.0,1.36,1.4,1.42,1.33
20/01/20,12680870.0,1.4,1.52,1.53,1.4
21/01/20,8336160.0,1.53,1.51,1.58,1.48
22/01/20,5323220.0,1.51,1.48,1.53,1.43
23/01/20,3233170.0,1.5,1.49,1.53,1.46
24/01/20,12592840.0,1.49,1.35,1.49,1.31
27/01/20,4831250.0,1.35,1.3,1.35,1.25
28/01/20,5050110.0,1.3,1.38,1.39,1.28
29/01/20,3241050.0,1.38,1.33,1.41,1.31
30/01/20,5260110.0,1.33,1.25,1.33,1.22
31/01/20,4804970.0,1.24,1.16,1.24,1.14
03/02/20,4730680.0,1.16,1.18,1.24,1.04
04/02/20,3083360.0,1.18,1.2,1.23,1.14
05/02/20,1410930.0,1.23,1.18,1.23,1.14
06/02/20,1480220.0,1.18,1.23,1.24,1.16
07/02/20,1157980.0,1.23,1.19,1.27,1.19
10/02/20,733780.0,1.19,1.18,1.19,1.13
11/02/20,544260.0,1.17,1.18,1.19,1.13
12/02/20,372390.0,1.18,1.16,1.18,1.14
13/02/20,1035050.0,1.15,1.12,1.16,1.1
14/02/20,252180.0,1.12,1.15,1.16,1.1
17/02/20,571380.0,1.12,1.16,1.17,1.1
18/02/20,259370.0,1.15,1.16,1.17,1.12
19/02/20,201790.0,1.16,1.16,1.17,1.13
20/02/20,527220.0,1.14,1.16,1.17,1.14
21/02/20,377340.0,1.16,1.14,1.17,1.14
24/02/20,1981790.0,1.13,1.09,1.14,1.05
26/02/20,1803610.0,1.07,1.07,1.08,1.0
27/02/20,946410.0,1.03,1.05,1.05,1.01
28/02/20,2001720.0,1.01,1.03,1.04,0.99
02/03/20,1785820.0,1.02,1.0,1.02,0.95
03/03/20,374020.0,1.0,1.01,1.03,1.0
04/03/20,431310.0,1.02,1.0,1.02,0.99
05/03/20,330290.0,0.99,1.02,1.02,0.98
06/03/20,364310.0,1.03,1.01,1.04,1.01
09/03/20,1173170.0,1.0,0.86,1.0,0.85
10/03/20,911260.0,0.82,0.81,0.83,0.71
11/03/20,234210.0,0.87,0.84,0.87,0.82
12/03/20,840840.0,0.84,0.79,0.84,0.7
13/03/20,1477860.0,0.71,0.72,0.75,0.56
16/03/20,578010.0,0.71,0.61,0.71,0.6
19/03/20,245870.0,0.59,0.55,0.61,0.51
20/03/20,378990.0,0.56,0.62,0.62,0.56
23/03/20,185470.0,0.61,0.61,0.61,0.58
24/03/20,303360.0,0.58,0.64,0.66,0.57
25/03/20,368490.0,0.68,0.68,0.7,0.65
26/03/20,287820.0,0.76,0.73,0.76,0.71
27/03/20,507890.0,0.82,0.76,0.82,0.7
30/03/20,369160.0,0.72,0.7,0.73,0.7
31/03/20,217450.0,0.74,0.75,0.76,0.65
01/04/20,358930.0,0.75,0.77,0.77,0.73
02/04/20,310550.0,0.76,0.74,0.78,0.74
03/04/20,194920.0,0.74,0.75,0.77,0.74
06/04/20,377520.0,0.75,0.78,0.8,0.74
07/04/20,147240.0,0.78,0.76,0.78,0.76
08/04/20,428050.0,0.76,0.74,0.77,0.71
13/04/20,176820.0,0.73,0.76,0.77,0.73
14/04/20,608520.0,0.77,0.78,0.78,0.74
15/04/20,604360.0,0.76,0.78,0.8,0.76
16/04/20,771180.0,0.8,0.8,0.8,0.78
17/04/20,2869180.0,0.82,0.92,0.94,0.82
20/04/20,2546190.0,0.98,0.92,0.99,0.87
21/04/20,1162590.0,0.92,0.85,0.92,0.85
22/04/20,428360.0,0.85,0.88,0.88,0.83
23/04/20,1564460.0,0.89,0.92,0.96,0.88
24/04/20,1131670.0,0.93,0.91,0.95,0.89
27/04/20,496040.0,0.91,0.9,0.91,0.86
28/04/20,652110.0,0.91,0.89,0.91,0.87
29/04/20,327000.0,0.9,0.89,0.91,0.88
30/04/20,325160.0,0.89,0.89,0.91,0.88
04/05/20,235950.0,0.91,0.87,0.91,0.87
05/05/20,558510.0,0.87,0.89,0.89,0.85
06/05/20,116870.0,0.88,0.88,0.88,0.85
07/05/20,184920.0,0.86,0.88,0.89,0.85
08/05/20,436180.0,0.9,0.87,0.9,0.87
11/05/20,312670.0,0.89,0.86,0.89,0.85
12/05/20,64970.0,0.86,0.85,0.89,0.85
13/05/20,169190.0,0.85,0.85,0.87,0.83
14/05/20,147990.0,0.87,0.85,0.87,0.83
15/05/20,113170.0,0.89,0.85,0.89,0.84
18/05/20,287740.0,0.85,0.83,0.85,0.81
19/05/20,141520.0,0.83,0.83,0.86,0.8
20/05/20,92940.0,0.83,0.8,0.84,0.8
21/05/20,404260.0,0.8,0.8,0.82,0.8
22/05/20,116510.0,0.79,0.79,0.82,0.79
26/05/20,328270.0,0.79,0.7,0.79,0.7
27/05/20,245430.0,0.71,0.73,0.76,0.71
28/05/20,475310.0,0.76,0.78,0.87,0.76
29/05/20,102270.0,0.85,0.78,0.85,0.77
01/06/20,187590.0,0.78,0.8,0.83,0.78
02/06/20,486440.0,0.8,0.82,0.82,0.8
03/06/20,325070.0,0.84,0.84,0.84,0.81
04/06/20,1013220.0,0.84,0.85,0.9,0.82
05/06/20,275980.0,0.86,0.86,0.88,0.85
08/06/20,778600.0,0.9,0.89,0.9,0.88
09/06/20,591510.0,0.89,0.91,0.93,0.89
10/06/20,786100.0,0.9,0.89,0.94,0.89
11/06/20,650420.0,0.9,0.88,0.9,0.85
15/06/20,414930.0,0.89,0.85,0.89,0.85
16/06/20,282580.0,0.82,0.88,0.88,0.81
17/06/20,222570.0,0.84,0.86,0.88,0.84
18/06/20,180710.0,0.88,0.86,0.88,0.84
19/06/20,215000.0,0.86,0.87,0.87,0.85
22/06/20,261900.0,0.87,0.83,0.87,0.83
23/06/20,618130.0,0.83,0.85,0.85,0.81
24/06/20,425240.0,0.84,0.83,0.86,0.83
25/06/20,139120.0,0.82,0.84,0.84,0.8
26/06/20,532190.0,0.84,0.81,0.85,0.81
29/06/20,494100.0,0.81,0.8,0.81,0.8
30/06/20,52750.0,0.81,0.81,0.82,0.81
01/07/20,319480.0,0.81,0.79,0.84,0.75
02/07/20,362000.0,0.79,0.82,0.82,0.77
03/07/20,251460.0,0.82,0.8,0.82,0.78
06/07/20,1135160.0,0.87,0.85,0.87,0.8
07/07/20,432160.0,0.87,0.84,0.87,0.82
08/07/20,135740.0,0.85,0.82,0.85,0.81
09/07/20,206120.0,0.82,0.81,0.82,0.81
10/07/20,448280.0,0.81,0.85,0.86,0.81
13/07/20,103930.0,0.85,0.82,0.85,0.82
14/07/20,2895700.0,0.84,0.9,0.92,0.83
15/07/20,2095420.0,0.9,0.81,0.9,0.8
16/07/20,1007350.0,0.81,0.8,0.83,0.77
17/07/20,270970.0,0.79,0.79,0.79,0.79
20/07/20,146040.0,0.8,0.81,0.81,0.8
21/07/20,283490.0,0.8,0.8,0.81,0.79
22/07/20,213320.0,0.82,0.8,0.82,0.79
23/07/20,243030.0,0.81,0.78,0.81,0.78
24/07/20,76240.0,0.76,0.79,0.79,0.76
27/07/20,163710.0,0.79,0.77,0.79,0.77
28/07/20,348340.0,0.76,0.78,0.81,0.75
29/07/20,214140.0,0.78,0.77,0.78,0.77
30/07/20,167680.0,0.76,0.76,0.79,0.75
03/08/20,175700.0,0.77,0.77,0.77,0.75
04/08/20,189480.0,0.79,0.77,0.79,0.75
05/08/20,115750.0,0.76,0.77,0.79,0.75
06/08/20,249970.0,0.76,0.76,0.79,0.76
07/08/20,241970.0,0.76,0.77,0.77,0.75
10/08/20,27000.0,0.77,0.77,0.77,0.74
11/08/20,373520.0,0.77,0.76,0.79,0.75
12/08/20,213730.0,0.76,0.78,0.79,0.76
13/08/20,124800.0,0.78,0.78,0.78,0.78
14/08/20,79540.0,0.78,0.77,0.78,0.76
17/08/20,400040.0,0.77,0.8,0.8,0.77
18/08/20,1894480.0,0.8,0.85,0.87,0.8
19/08/20,3711330.0,0.88,0.92,0.93,0.87
20/08/20,1516710.0,0.93,0.89,0.93,0.85
24/08/20,553300.0,0.92,0.86,0.92,0.86
25/08/20,756250.0,0.87,0.86,0.87,0.82
26/08/20,470450.0,0.89,0.88,0.89,0.86
27/08/20,970400.0,0.88,0.9,0.9,0.88
28/08/20,473810.0,0.91,0.87,0.92,0.87
01/09/20,3558660.0,0.9,0.93,0.96,0.86
02/09/20,11287960.0,0.93,1.04,1.04,0.92
03/09/20,8247480.0,1.04,1.07,1.12,1.02
04/09/20,3052430.0,1.05,1.05,1.09,1.0
07/09/20,5002610.0,1.07,1.1,1.13,1.06
08/09/20,3516110.0,1.1,1.06,1.1,1.06
09/09/20,3004210.0,1.06,1.04,1.06,1.03
10/09/20,3804800.0,1.04,1.11,1.11,1.04
11/09/20,6322010.0,1.13,1.15,1.17,1.13
14/09/20,4385260.0,1.15,1.14,1.18,1.11
15/09/20,4533040.0,1.14,1.18,1.19,1.14
16/09/20,3512840.0,1.18,1.15,1.18,1.12
