Date,Value,Open,Close,High,Low
02/01/20,2010468.0,13.5,13.56,13.56,13.4
03/01/20,2911042.0,13.5,13.7,13.74,13.48
06/01/20,964778.0,13.62,13.62,13.64,13.58
07/01/20,2907540.0,13.62,13.84,13.9,13.6
08/01/20,20303420.0,13.9,13.88,13.9,13.64
09/01/20,6509776.0,13.88,13.9,13.9,13.8
10/01/20,485880.0,13.8,13.9,13.9,13.8
14/01/20,757844.0,13.92,13.9,13.92,13.78
15/01/20,1768412.0,13.78,13.6,13.78,13.6
16/01/20,4544740.0,13.6,13.48,13.6,13.4
17/01/20,3301782.0,13.38,13.36,13.4,13.36
20/01/20,8799344.0,13.34,12.98,13.34,12.1
21/01/20,3473754.0,12.98,12.86,12.98,12.58
22/01/20,7114758.0,12.86,12.86,12.9,12.8
23/01/20,24172130.0,12.9,12.9,12.98,12.84
24/01/20,2159820.0,12.84,12.9,12.9,12.84
27/01/20,1612492.0,12.84,12.9,12.9,12.84
28/01/20,6741136.0,12.84,12.9,12.9,12.7
29/01/20,1424080.0,12.9,12.5,12.9,12.4
30/01/20,307936.0,12.3,12.76,12.9,12.3
31/01/20,1150104.0,12.76,12.7,12.76,12.3
03/02/20,19730578.0,12.0,10.16,12.0,10.16
04/02/20,7738275.0,10.14,9.98,10.14,9.68
05/02/20,5851837.0,10.0,10.0,10.16,9.95
06/02/20,18046540.0,10.1,10.0,10.44,9.96
07/02/20,46455196.0,10.0,10.14,10.4,10.0
10/02/20,24237602.0,10.14,10.24,10.4,10.14
11/02/20,9526642.0,10.38,10.46,10.48,10.3
12/02/20,3127204.0,10.6,10.38,10.6,10.08
13/02/20,4716510.0,10.38,10.38,10.38,10.08
14/02/20,7102504.0,10.38,11.54,11.54,10.38
17/02/20,37312146.0,11.6,12.1,12.22,11.0
18/02/20,7479698.0,12.1,12.06,12.14,11.94
19/02/20,9569572.0,12.02,12.04,12.08,11.9
20/02/20,18234290.0,12.06,13.4,13.5,12.06
21/02/20,15211700.0,13.48,13.58,13.8,13.06
24/02/20,26946790.0,13.56,13.38,13.56,12.84
26/02/20,6109400.0,13.2,13.0,13.2,12.0
27/02/20,3685690.0,12.9,13.48,13.48,12.5
28/02/20,9254880.0,13.46,13.18,13.46,12.7
02/03/20,15827232.0,13.2,13.2,13.36,13.0
03/03/20,18614908.0,13.1,13.2,13.4,13.04
