Date,Value,Open,Close,High,Low
02/01/20,44200.0,5.2,5.2,5.2,5.2
03/01/20,343066.0,5.43,5.2,5.43,5.17
06/01/20,1200930.0,5.5,5.17,5.5,5.17
07/01/20,717830.0,5.16,5.11,5.18,5.1
09/01/20,218468.0,5.2,5.16,5.2,5.16
10/01/20,4923.0,5.47,5.47,5.47,5.47
15/01/20,21648600.0,5.4,5.4,5.4,5.4
17/01/20,10820.0,5.41,5.41,5.41,5.41
21/01/20,143425.0,5.3,5.15,5.3,5.15
22/01/20,230150.0,5.1,5.15,5.15,5.1
24/01/20,541.0,5.41,5.41,5.41,5.41
29/01/20,1022.0,5.11,5.11,5.11,5.11
30/01/20,168483.0,5.11,5.15,5.15,5.11
31/01/20,706660.0,5.4,4.95,5.4,4.95
03/02/20,10200.0,5.1,5.1,5.1,5.1
04/02/20,28420.0,4.61,4.99,4.99,4.61
07/02/20,85020.0,5.01,5.0,5.01,5.0
11/02/20,23834.0,6.24,4.9,6.24,4.9
12/02/20,280070.0,4.95,4.91,4.95,4.91
19/02/20,14730.0,4.91,4.91,4.91,4.91
20/02/20,18840.0,4.71,4.71,4.71,4.71
21/02/20,481900.0,4.86,4.71,4.87,4.62
28/02/20,534230.0,4.71,4.6,4.71,4.6
02/03/20,18360.0,4.59,4.59,4.59,4.59
05/03/20,22950.0,4.59,4.59,4.59,4.59
09/03/20,51990.0,4.31,4.31,4.58,4.31
10/03/20,55900.0,4.3,4.3,4.3,4.3
11/03/20,109260.0,4.02,4.08,4.08,4.02
12/03/20,508660.0,4.08,4.0,4.08,4.0
13/03/20,1004400.0,3.6,3.6,3.6,3.6
19/03/20,18000.0,3.6,3.6,3.6,3.6
24/03/20,36000.0,3.6,3.6,3.6,3.6
25/03/20,14400.0,3.6,3.6,3.6,3.6
26/03/20,360000.0,3.6,3.6,3.6,3.6
27/03/20,873500.0,3.6,3.6,3.8,3.6
30/03/20,428600.0,3.65,3.6,3.65,3.6
31/03/20,1064300.0,3.6,3.7,3.7,3.6
01/04/20,252200.0,3.6,3.61,3.61,3.6
02/04/20,54240.0,3.61,3.61,3.7,3.61
03/04/20,3700.0,3.7,3.7,3.7,3.7
06/04/20,432110.0,3.8,3.71,3.8,3.6
07/04/20,564920.0,3.71,3.79,3.79,3.6
08/04/20,41800.0,3.8,3.8,3.8,3.8
13/04/20,292860.0,3.8,3.82,3.82,3.8
14/04/20,588290.0,3.61,3.82,3.9,3.61
15/04/20,779360.0,3.82,3.88,3.88,3.82
16/04/20,3880.0,3.88,3.88,3.88,3.88
17/04/20,42870.0,3.9,3.89,3.9,3.89
20/04/20,35480.0,3.95,3.95,3.95,3.94
21/04/20,7900.0,3.95,3.95,3.95,3.95
22/04/20,63040.0,3.94,3.94,3.94,3.94
23/04/20,3940.0,3.94,3.94,3.94,3.94
28/04/20,241500.0,3.61,3.7,3.92,3.6
29/04/20,551310.0,3.71,3.7,3.71,3.7
04/05/20,83400.0,3.63,3.69,3.69,3.62
06/05/20,10930.0,3.65,3.64,3.65,3.64
07/05/20,7380.0,3.69,3.69,3.69,3.69
08/05/20,140640.0,3.69,3.6,3.69,3.6
11/05/20,98740.0,3.8,3.8,3.8,3.79
13/05/20,76000.0,3.8,3.8,3.8,3.8
