Date,Value,Open,Close,High,Low
02/01/20,1150.0,1.15,1.15,1.15,1.15
07/01/20,1160.0,1.16,1.16,1.16,1.16
09/01/20,1190.0,1.19,1.19,1.19,1.19
10/01/20,50310.0,1.18,1.2,1.2,1.18
14/01/20,21970.0,1.16,1.2,1.2,1.15
16/01/20,35570.0,1.16,1.14,1.16,1.14
20/01/20,27630.0,1.2,1.21,1.21,1.2
21/01/20,12850.0,1.15,1.2,1.2,1.15
22/01/20,132760.0,1.15,1.18,1.18,1.12
27/01/20,7140.0,1.19,1.19,1.19,1.19
28/01/20,4640.0,1.19,1.15,1.19,1.15
31/01/20,16340.0,1.15,1.19,1.19,1.15
04/02/20,14890.0,1.15,1.14,1.15,1.14
07/02/20,5750.0,1.15,1.15,1.15,1.15
10/02/20,6840.0,1.14,1.14,1.14,1.14
11/02/20,19550.0,1.15,1.15,1.15,1.15
17/02/20,14530.0,1.15,1.1,1.15,1.1
19/02/20,10800.0,1.08,1.08,1.08,1.08
24/02/20,10600.0,1.06,1.06,1.06,1.06
28/02/20,16460.0,1.14,1.06,1.14,1.06
02/03/20,5100.0,1.02,1.02,1.02,1.02
03/03/20,13400.0,1.04,1.03,1.04,1.03
09/03/20,136420.0,1.02,1.0,1.02,1.0
10/03/20,5000.0,1.0,1.0,1.0,1.0
11/03/20,1000.0,1.0,1.0,1.0,1.0
12/03/20,11000.0,1.0,1.0,1.0,1.0
13/03/20,7210.0,1.03,1.03,1.03,1.03
16/03/20,24030.0,0.9,0.85,0.9,0.83
19/03/20,41170.0,1.09,1.09,1.09,1.0
24/03/20,3640.0,0.91,0.91,0.91,0.91
25/03/20,10020.0,0.92,0.91,0.92,0.91
27/03/20,44470.0,0.93,0.93,0.93,0.92
01/04/20,1880.0,0.94,0.94,0.94,0.94
02/04/20,860.0,0.86,0.86,0.86,0.86
07/04/20,191990.0,0.86,0.86,0.87,0.86
08/04/20,940.0,0.94,0.94,0.94,0.94
13/04/20,1890.0,0.95,0.94,0.95,0.94
14/04/20,9500.0,0.95,0.95,0.95,0.95
15/04/20,4850.0,0.97,0.97,0.97,0.97
16/04/20,2810.0,0.87,0.97,0.97,0.87
20/04/20,11640.0,0.97,0.97,0.97,0.97
23/04/20,5400.0,0.89,0.95,0.95,0.89
24/04/20,2780.0,0.94,0.9,0.94,0.9
27/04/20,5460.0,0.91,0.91,0.91,0.91
29/04/20,960.0,0.96,0.96,0.96,0.96
30/04/20,3800.0,0.95,0.95,0.95,0.95
04/05/20,8220.0,0.95,0.91,0.95,0.87
06/05/20,20070.0,0.91,0.92,0.92,0.9
08/05/20,2850.0,0.95,0.95,0.95,0.95
11/05/20,1900.0,0.95,0.95,0.95,0.95
14/05/20,2820.0,0.94,0.94,0.94,0.94
15/05/20,10340.0,0.94,0.94,0.94,0.94
18/05/20,11420.0,0.95,0.87,0.95,0.87
