Date,Value,Open,Close,High,Low
02/01/20,20385.0,7.0,7.0,7.05,7.0
03/01/20,37800.0,7.0,7.0,7.0,7.0
06/01/20,76798.0,6.8,7.01,7.94,6.5
08/01/20,69712.0,7.0,6.9,7.0,6.9
09/01/20,29341.0,6.8,7.01,7.01,6.8
10/01/20,30200.0,7.8,7.3,7.8,7.3
14/01/20,159897.0,8.0,8.0,8.0,7.95
15/01/20,780.0,7.8,7.8,7.8,7.8
16/01/20,104880.0,7.95,7.5,7.95,7.5
17/01/20,7491.0,7.49,7.5,7.5,7.49
20/01/20,2235.0,7.45,7.45,7.45,7.45
24/01/20,15000.0,7.5,7.5,7.5,7.5
30/01/20,7340.0,7.3,7.5,7.5,7.3
31/01/20,6036.0,5.03,5.03,5.03,5.03
03/02/20,14190.0,5.05,5.1,5.1,5.05
06/02/20,8437.0,6.49,6.49,6.49,6.49
11/02/20,14950.0,6.7,6.8,7.0,6.7
18/02/20,9100.0,6.5,6.5,6.5,6.5
26/02/20,541.0,5.41,5.41,5.41,5.41
03/03/20,54980.0,5.51,5.41,5.51,5.41
09/03/20,92020.0,5.4,5.05,5.4,5.05
12/03/20,55100.0,5.02,5.0,5.02,5.0
30/04/20,10750.0,4.5,5.0,5.0,4.5
06/05/20,2500.0,5.0,5.0,5.0,5.0
03/06/20,2105.0,4.21,4.21,4.21,4.21
11/06/20,8420.0,4.21,4.21,4.21,4.21
18/06/20,56780.0,4.5,5.5,5.7,4.5
19/06/20,44820.0,5.5,5.5,5.8,5.5
24/06/20,75780.0,4.5,5.08,5.1,4.5
25/06/20,2950.0,5.0,4.9,5.0,4.9
30/06/20,41230.0,5.89,5.89,5.89,5.89
01/07/20,2900.0,5.8,5.8,5.8,5.8
03/07/20,54315.0,4.18,4.8,4.8,4.17
06/07/20,44930.0,4.51,4.41,4.51,4.41
07/07/20,4510.0,4.51,4.51,4.51,4.51
10/07/20,45000.0,4.5,4.5,4.5,4.5
13/07/20,36640.0,3.3,4.35,4.35,3.3
14/07/20,7130.0,3.57,3.56,3.57,3.56
22/07/20,63960.0,5.33,5.33,5.33,5.33
23/07/20,55683.0,5.3,4.2,5.3,3.75
29/07/20,12610.0,4.3,4.01,4.3,4.01
04/08/20,49790.0,4.79,4.5,4.79,4.5
05/08/20,13440.0,4.48,4.48,4.48,4.48
06/08/20,40340.0,4.1,4.0,4.1,4.0
07/08/20,8680.0,4.34,4.34,4.34,4.34
10/08/20,4500.0,4.5,4.5,4.5,4.5
19/08/20,54860.0,4.15,4.2,4.26,4.15
20/08/20,4200.0,4.2,4.2,4.2,4.2
08/09/20,4010.0,4.01,4.01,4.01,4.01
09/09/20,8040.0,4.02,4.02,4.02,4.02
14/09/20,4000.0,4.0,4.0,4.0,4.0
02/10/20,10010.0,2.81,4.39,4.39,2.81
06/10/20,836380.0,3.1,3.28,3.28,3.08
07/10/20,103390.0,3.3,3.13,3.3,3.13
08/10/20,37720.0,3.15,3.13,3.15,3.13
09/10/20,6260.0,3.13,3.13,3.13,3.13
13/10/20,9360.0,3.12,3.12,3.12,3.12
16/10/20,15600.0,3.12,3.12,3.12,3.12
21/10/20,3000.0,3.0,3.0,3.0,3.0
22/10/20,154590.0,3.17,3.79,3.79,3.17
23/10/20,142340.0,3.79,3.5,3.79,3.5
26/10/20,48850.0,3.75,3.77,3.77,3.73
27/10/20,63260.0,3.77,3.7,3.77,3.68
03/11/20,43440.0,3.7,3.22,3.7,3.22
04/11/20,26560.0,3.25,3.44,3.44,3.25
09/11/20,41400.0,3.5,3.5,3.5,3.3
13/11/20,73490.0,3.5,3.5,3.5,3.49
17/11/20,20990.0,3.25,3.61,3.77,3.25
18/11/20,18350.0,3.61,3.76,3.76,3.61
19/11/20,47890.0,3.52,3.56,3.76,3.52
20/11/20,26250.0,3.75,3.75,3.75,3.75
23/11/20,26490.0,3.75,3.79,3.79,3.75
24/11/20,41660.0,3.78,3.78,3.79,3.78
25/11/20,13050.0,4.35,4.35,4.35,4.35
26/11/20,130050.0,4.25,4.85,5.0,4.25
27/11/20,88450.0,4.5,4.35,4.5,4.35
01/12/20,154330.0,4.41,4.41,4.41,4.4
02/12/20,257940.0,5.0,5.0,5.49,5.0
03/12/20,139636.0,5.0,5.0,5.04,4.61
04/12/20,134080.0,4.7,4.8,4.99,4.65
07/12/20,131120.0,4.7,4.51,4.99,4.36
09/12/20,112960.0,4.51,4.52,4.52,4.51
10/12/20,29160.0,4.94,4.85,4.94,4.84
15/12/20,4840.0,4.84,4.84,4.84,4.84
16/12/20,19370.0,4.8,4.89,4.89,4.8
17/12/20,38680.0,4.88,4.88,4.88,4.76
18/12/20,201860.0,4.9,5.9,5.9,4.8
21/12/20,102131.0,5.9,5.51,5.9,5.3
22/12/20,2755.0,5.51,5.51,5.51,5.51
28/12/20,269177.0,4.5,5.8,5.8,4.5
29/12/20,1546760.0,5.89,7.95,8.0,5.89
04/01/21,200032.0,7.95,7.0,7.95,6.01
05/01/21,18487.0,6.0,6.79,7.4,6.0
06/01/21,41369.0,6.79,6.74,6.79,6.2
07/01/21,46359.0,6.3,6.56,6.58,6.02
08/01/21,18218.0,6.02,6.51,6.54,6.02
11/01/21,25268.0,6.51,6.5,6.51,6.04
