Date,Value,Open,Close,High,Low
02/01/20,1009450.0,1.25,1.26,1.26,1.2
03/01/20,3211790.0,1.21,1.22,1.27,1.21
06/01/20,3706910.0,1.24,1.2,1.24,1.18
07/01/20,3475420.0,1.19,1.17,1.21,1.17
08/01/20,2683890.0,1.17,1.2,1.2,1.15
09/01/20,872170.0,1.19,1.18,1.2,1.17
10/01/20,1819950.0,1.17,1.2,1.2,1.16
14/01/20,2793190.0,1.2,1.19,1.23,1.19
15/01/20,661390.0,1.21,1.18,1.21,1.18
16/01/20,1823200.0,1.18,1.19,1.21,1.18
17/01/20,5522370.0,1.19,1.26,1.27,1.17
20/01/20,5320840.0,1.27,1.23,1.29,1.2
21/01/20,1895930.0,1.24,1.21,1.25,1.2
22/01/20,1911650.0,1.21,1.18,1.22,1.18
23/01/20,1894860.0,1.18,1.21,1.21,1.17
24/01/20,1291590.0,1.2,1.2,1.23,1.19
27/01/20,1697450.0,1.2,1.22,1.23,1.19
28/01/20,2925610.0,1.23,1.24,1.24,1.22
29/01/20,1143180.0,1.25,1.24,1.26,1.22
30/01/20,2445180.0,1.24,1.2,1.24,1.18
31/01/20,3781820.0,1.18,1.13,1.2,1.1
03/02/20,1537320.0,1.12,1.07,1.12,1.05
04/02/20,1079340.0,1.07,1.11,1.14,1.07
05/02/20,2521120.0,1.11,1.09,1.13,1.07
06/02/20,1278670.0,1.09,1.11,1.14,1.08
07/02/20,1566240.0,1.12,1.1,1.13,1.02
10/02/20,2670760.0,1.09,1.03,1.09,1.01
11/02/20,2885760.0,1.02,1.0,1.04,0.99
12/02/20,1251000.0,1.02,1.0,1.03,1.0
13/02/20,2285220.0,1.0,0.97,1.03,0.96
14/02/20,3256890.0,0.97,1.02,1.02,0.93
17/02/20,1738880.0,1.01,1.02,1.03,1.0
18/02/20,3844250.0,1.02,1.05,1.08,1.0
19/02/20,1070860.0,1.06,1.06,1.08,1.03
20/02/20,12934910.0,1.1,1.11,1.18,1.1
21/02/20,3906620.0,1.12,1.08,1.16,1.07
24/02/20,2275320.0,1.08,1.04,1.1,1.0
26/02/20,1052720.0,1.03,0.98,1.03,0.95
27/02/20,942470.0,0.98,0.99,1.01,0.97
28/02/20,4012380.0,0.98,0.97,0.99,0.9
02/03/20,1204720.0,0.96,0.94,0.96,0.9
03/03/20,961690.0,0.95,0.95,0.96,0.93
04/03/20,318100.0,0.94,0.95,0.95,0.93
05/03/20,810140.0,0.93,0.95,0.95,0.92
06/03/20,780790.0,0.95,0.91,0.95,0.91
09/03/20,4787060.0,0.9,0.75,0.9,0.71
10/03/20,1090070.0,0.76,0.77,0.81,0.68
11/03/20,1286630.0,0.8,0.8,0.85,0.75
12/03/20,977260.0,0.8,0.69,0.8,0.69
13/03/20,2319860.0,0.68,0.7,0.7,0.55
16/03/20,864120.0,0.65,0.68,0.7,0.65
19/03/20,384920.0,0.66,0.59,0.66,0.54
20/03/20,344710.0,0.59,0.63,0.68,0.59
23/03/20,536150.0,0.63,0.6,0.63,0.55
24/03/20,361640.0,0.6,0.6,0.66,0.6
25/03/20,425500.0,0.67,0.63,0.67,0.63
26/03/20,794980.0,0.67,0.69,0.69,0.66
27/03/20,1117890.0,0.69,0.67,0.71,0.67
30/03/20,4713960.0,0.64,0.65,0.67,0.62
31/03/20,477460.0,0.7,0.68,0.7,0.68
01/04/20,294460.0,0.68,0.7,0.72,0.68
02/04/20,81070.0,0.69,0.7,0.7,0.68
03/04/20,288730.0,0.74,0.74,0.74,0.69
