Date,Value,Open,Close,High,Low
02/01/20,49670570.0,3.52,3.88,4.01,3.52
03/01/20,19181230.0,4.0,3.78,4.0,3.76
06/01/20,12387120.0,3.75,3.63,3.75,3.53
07/01/20,13880690.0,3.63,3.7,3.7,3.49
08/01/20,8037800.0,3.7,3.64,3.74,3.58
09/01/20,5029710.0,3.64,3.68,3.71,3.6
10/01/20,6269160.0,3.75,3.73,3.78,3.7
14/01/20,49446250.0,3.75,4.0,4.03,3.75
15/01/20,27665250.0,4.0,4.1,4.1,3.92
16/01/20,55680470.0,4.15,3.8,4.2,3.8
17/01/20,19247140.0,3.81,3.92,3.92,3.66
20/01/20,11136310.0,3.95,3.84,4.0,3.84
21/01/20,7288300.0,3.88,3.8,3.91,3.77
22/01/20,6972540.0,3.79,3.75,3.8,3.68
23/01/20,4972060.0,3.72,3.81,3.82,3.69
24/01/20,6557470.0,3.82,3.88,3.93,3.8
27/01/20,6550350.0,3.92,3.77,3.92,3.7
28/01/20,9667250.0,3.76,3.62,3.76,3.6
29/01/20,12585960.0,3.62,3.8,3.88,3.53
30/01/20,90863430.0,4.01,3.62,4.14,3.5
31/01/20,30285140.0,3.61,3.36,3.61,3.2
03/02/20,11019030.0,3.21,3.3,3.35,3.17
04/02/20,39951100.0,3.3,3.06,3.42,3.05
05/02/20,129690000.0,3.06,3.02,3.17,2.79
06/02/20,135835960.0,3.05,2.74,3.05,2.73
07/02/20,298169700.0,2.74,2.43,2.74,2.24
10/02/20,224425360.0,2.42,2.11,2.55,2.05
11/02/20,247451340.0,2.07,2.23,2.3,2.07
12/02/20,366792920.0,2.31,1.98,2.37,1.94
13/02/20,172554180.0,2.0,1.84,2.07,1.79
14/02/20,80856660.0,1.8,1.9,1.93,1.76
17/02/20,158026450.0,1.96,2.0,2.06,1.87
18/02/20,192306310.0,2.04,1.82,2.07,1.8
19/02/20,51291020.0,1.84,1.86,1.91,1.82
20/02/20,77305250.0,1.87,1.82,1.93,1.76
21/02/20,169476400.0,1.8,1.68,1.8,1.65
24/02/20,31648280.0,1.66,1.59,1.68,1.56
26/02/20,381418690.0,1.54,1.7,1.72,1.51
27/02/20,38690910.0,1.73,1.69,1.74,1.64
28/02/20,31941280.0,1.68,1.63,1.71,1.6
02/03/20,29865950.0,1.6,1.54,1.63,1.51
03/03/20,28628370.0,1.58,1.52,1.63,1.52
04/03/20,87217660.0,1.54,1.72,1.72,1.53
05/03/20,45247510.0,1.75,1.71,1.77,1.67
06/03/20,66412140.0,1.69,1.58,1.69,1.55
09/03/20,50675490.0,1.52,1.41,1.53,1.38
10/03/20,21946780.0,1.3,1.39,1.41,1.28
11/03/20,14054610.0,1.43,1.42,1.49,1.38
12/03/20,63183700.0,1.34,1.11,1.35,1.11
13/03/20,42245450.0,1.04,1.18,1.2,1.0
16/03/20,20013470.0,1.16,1.15,1.22,1.06
19/03/20,25053860.0,1.08,1.06,1.09,1.0
20/03/20,18511120.0,1.04,1.14,1.14,1.03
23/03/20,12534950.0,1.1,1.11,1.14,1.05
24/03/20,16483770.0,1.12,1.19,1.21,1.12
25/03/20,31885190.0,1.25,1.29,1.32,1.21
26/03/20,55673520.0,1.34,1.44,1.45,1.32
27/03/20,113298290.0,1.49,1.53,1.67,1.33
30/03/20,55335120.0,1.55,1.53,1.59,1.44
31/03/20,99727820.0,1.6,1.7,1.7,1.56
01/04/20,168551260.0,1.75,1.6,1.78,1.57
02/04/20,56803280.0,1.52,1.58,1.62,1.5
03/04/20,27046450.0,1.59,1.58,1.63,1.55
06/04/20,37485250.0,1.6,1.68,1.68,1.6
07/04/20,79755840.0,1.72,1.66,1.78,1.65
08/04/20,29697930.0,1.67,1.7,1.7,1.63
13/04/20,125817170.0,1.72,1.85,1.87,1.7
14/04/20,170199380.0,1.88,1.97,2.01,1.87
15/04/20,105375020.0,2.04,1.94,2.06,1.91
16/04/20,72852170.0,1.89,1.9,1.93,1.83
17/04/20,130287990.0,1.92,2.09,2.1,1.92
20/04/20,238511890.0,2.13,2.33,2.35,2.13
21/04/20,228322910.0,2.35,2.32,2.37,2.16
22/04/20,139007280.0,2.22,2.29,2.32,2.17
23/04/20,239574580.0,2.34,2.28,2.45,2.26
24/04/20,92115680.0,2.27,2.28,2.33,2.22
27/04/20,137068360.0,2.31,2.09,2.33,2.09
28/04/20,202317070.0,2.07,2.03,2.1,1.98
29/04/20,116735810.0,2.05,2.18,2.18,2.0
30/04/20,98054670.0,2.24,2.2,2.27,2.18
04/05/20,40062810.0,2.12,2.14,2.18,2.1
05/05/20,31581740.0,2.14,2.19,2.22,2.12
06/05/20,41126970.0,2.23,2.18,2.26,2.15
07/05/20,27424290.0,2.17,2.17,2.22,2.16
08/05/20,80073990.0,2.2,2.1,2.2,2.05
11/05/20,38276590.0,2.1,2.09,2.1,2.03
12/05/20,26939790.0,2.09,2.15,2.15,2.08
13/05/20,22104720.0,2.15,2.14,2.17,2.1
14/05/20,19636710.0,2.15,2.11,2.15,2.09
15/05/20,20852560.0,2.13,2.14,2.15,2.1
18/05/20,57676980.0,2.15,2.2,2.25,2.15
19/05/20,27805070.0,2.24,2.19,2.25,2.17
20/05/20,25692030.0,2.19,2.16,2.2,2.13
21/05/20,64888060.0,2.17,2.27,2.27,2.15
22/05/20,138815740.0,2.28,2.21,2.32,2.21
26/05/20,63217440.0,2.23,2.17,2.25,2.12
27/05/20,32176320.0,2.17,2.21,2.22,2.13
28/05/20,35708040.0,2.22,2.2,2.25,2.19
29/05/20,48938070.0,2.21,2.25,2.26,2.18
01/06/20,94871630.0,2.27,2.32,2.34,2.27
02/06/20,120411080.0,2.34,2.42,2.42,2.34
03/06/20,196841740.0,2.45,2.61,2.62,2.45
04/06/20,151434240.0,2.65,2.54,2.66,2.5
05/06/20,120451670.0,2.54,2.6,2.61,2.45
08/06/20,170942620.0,2.64,2.81,2.84,2.63
