Date,Value,Open,Close,High,Low
02/01/20,16600.0,1.66,1.66,1.66,1.66
03/01/20,6650.0,1.67,1.66,1.67,1.66
09/01/20,12540.0,1.8,1.77,1.8,1.77
14/01/20,19920.0,1.66,1.66,1.66,1.66
15/01/20,13620.0,1.77,1.66,1.77,1.66
16/01/20,8300.0,1.66,1.66,1.66,1.66
17/01/20,8300.0,1.66,1.66,1.66,1.66
20/01/20,9960.0,1.66,1.66,1.66,1.66
22/01/20,9960.0,1.66,1.66,1.66,1.66
23/01/20,3300.0,1.65,1.65,1.65,1.65
24/01/20,6160.0,1.54,1.54,1.54,1.54
27/01/20,46040.0,1.56,1.6,1.6,1.56
28/01/20,11040.0,1.56,1.62,1.62,1.56
31/01/20,3240.0,1.62,1.62,1.62,1.62
06/02/20,37140.0,1.56,1.62,1.62,1.56
07/02/20,4680.0,1.56,1.56,1.56,1.56
10/02/20,1560.0,1.56,1.56,1.56,1.56
13/02/20,18720.0,1.56,1.56,1.56,1.56
18/02/20,9180.0,1.53,1.53,1.53,1.53
19/02/20,1530.0,1.53,1.53,1.53,1.53
02/03/20,1530.0,1.53,1.53,1.53,1.53
03/03/20,39190.0,1.09,1.24,1.24,1.09
04/03/20,7200.0,1.2,1.2,1.2,1.2
05/03/20,13000.0,1.3,1.3,1.3,1.3
10/03/20,13000.0,1.18,1.18,1.2,1.18
11/03/20,20770.0,1.4,1.49,1.49,1.4
13/03/20,50880.0,1.1,1.1,1.14,1.1
16/03/20,5500.0,1.1,1.1,1.1,1.1
19/03/20,7630.0,1.09,1.09,1.09,1.09
20/03/20,26460.0,1.09,1.0,1.09,1.0
23/03/20,15000.0,1.0,1.0,1.0,1.0
15/04/20,14700.0,1.47,1.47,1.47,1.47
16/04/20,14700.0,1.47,1.47,1.47,1.47
20/04/20,50060.0,1.12,1.45,1.45,1.12
21/04/20,18850.0,1.45,1.45,1.45,1.45
23/04/20,21750.0,1.45,1.45,1.45,1.45
08/05/20,64480.0,1.12,1.25,1.26,1.12
13/05/20,12500.0,1.25,1.25,1.25,1.25
18/05/20,73520.0,1.8,1.6,1.8,1.6
