Date,Value,Open,Close,High,Low
02/01/20,91730.0,7.92,7.9,7.92,7.72
03/01/20,2726207.0,7.9,8.14,8.19,7.75
06/01/20,3992430.0,8.05,7.63,8.1,7.52
07/01/20,1450038.0,7.55,7.66,7.85,7.54
08/01/20,2848080.0,7.66,7.81,7.81,7.5
09/01/20,14848322.0,7.98,7.92,8.46,7.85
10/01/20,3590321.0,8.0,8.1,8.25,8.0
14/01/20,2225860.0,8.1,7.84,8.25,7.84
15/01/20,5759203.0,7.84,7.8,7.95,7.7
16/01/20,7521775.0,7.8,7.85,7.95,7.71
17/01/20,2405351.0,7.95,7.85,8.11,7.85
20/01/20,3456050.0,7.8,7.8,7.95,7.76
21/01/20,2292662.0,7.79,7.8,7.89,7.75
22/01/20,3841408.0,7.83,7.88,8.29,7.8
23/01/20,2341815.0,8.0,7.78,8.05,7.78
24/01/20,1501619.0,8.05,7.74,8.05,7.68
27/01/20,823335.0,7.8,7.78,7.8,7.68
28/01/20,586902.0,7.74,7.65,7.89,7.65
29/01/20,123250.0,7.65,7.7,7.7,7.65
30/01/20,8216871.0,7.69,7.29,7.69,7.2
31/01/20,3500663.0,7.33,7.01,7.33,7.0
03/02/20,9798050.0,6.9,6.82,7.19,6.52
04/02/20,3013230.0,6.8,6.61,7.19,6.61
05/02/20,4481954.0,6.62,6.77,6.83,6.61
06/02/20,1740171.0,6.81,6.77,6.95,6.66
07/02/20,591718.0,6.89,6.7,6.89,6.66
10/02/20,10037236.0,6.7,6.5,6.7,6.36
11/02/20,273927.0,6.55,6.6,6.6,6.5
12/02/20,328573.0,6.5,6.6,6.65,6.5
13/02/20,2257335.0,6.55,6.21,6.55,6.13
14/02/20,998301.0,6.18,6.12,6.2,6.1
17/02/20,6416599.0,6.11,5.96,6.11,5.96
18/02/20,29325144.0,5.98,6.2,6.5,5.98
19/02/20,14136840.0,6.25,5.54,6.25,5.5
20/02/20,9102978.0,5.51,5.34,5.56,5.28
21/02/20,13427291.0,5.41,5.2,5.49,5.05
24/02/20,6239924.0,5.27,4.96,5.27,4.9
26/02/20,20227890.0,4.9,4.56,4.9,4.0
27/02/20,8052470.0,4.57,4.73,4.79,4.57
28/02/20,45756470.0,4.68,4.9,5.1,4.51
02/03/20,2794650.0,4.92,4.69,4.96,4.53
03/03/20,4100920.0,4.75,4.61,4.8,4.57
04/03/20,3550600.0,4.61,4.54,4.61,4.5
05/03/20,3162940.0,4.61,4.72,4.74,4.48
06/03/20,4875750.0,4.74,4.65,4.8,4.51
09/03/20,2236570.0,4.48,4.29,4.48,4.28
10/03/20,832300.0,4.28,4.39,4.52,4.27
11/03/20,3203480.0,4.4,4.68,4.85,4.4
12/03/20,3625730.0,4.55,4.31,4.79,4.3
13/03/20,3876440.0,4.25,4.16,4.35,4.0
16/03/20,454540.0,4.0,4.2,4.2,4.0
19/03/20,3329090.0,4.08,3.38,4.08,3.2
20/03/20,131050.0,3.42,3.52,3.52,3.38
23/03/20,281840.0,3.52,3.31,3.54,3.3
24/03/20,1685910.0,3.54,3.6,3.7,3.33
25/03/20,929210.0,3.71,3.84,3.99,3.71
26/03/20,1165150.0,3.99,4.27,4.33,3.99
27/03/20,2308600.0,4.5,4.55,4.57,4.4
30/03/20,1227840.0,4.32,4.57,4.6,4.3
31/03/20,279030.0,4.64,4.53,4.64,4.53
01/04/20,305440.0,4.5,4.52,4.69,4.5
02/04/20,1240400.0,4.51,4.52,4.52,4.49
03/04/20,3675900.0,4.45,4.45,4.51,4.45
06/04/20,9490600.0,4.5,4.45,4.5,4.43
07/04/20,1022500.0,4.6,4.59,4.6,4.51
08/04/20,31330.0,4.59,4.46,4.59,4.45
13/04/20,233240.0,4.47,4.47,4.6,4.47
14/04/20,1233920.0,4.6,4.6,4.69,4.55
15/04/20,2989910.0,4.73,4.8,4.9,4.7
16/04/20,10399720.0,5.0,5.6,5.61,4.9
17/04/20,33412179.0,5.82,6.5,7.2,5.82
20/04/20,11911344.0,6.78,6.37,6.78,5.63
21/04/20,5306426.0,6.36,6.0,6.36,5.8
22/04/20,4505575.0,5.78,6.03,6.3,5.75
23/04/20,5000636.0,6.23,5.95,6.23,5.83
24/04/20,3605959.0,5.91,5.8,6.0,5.7
27/04/20,3774059.0,5.7,5.82,6.15,5.7
28/04/20,6242840.0,5.85,6.0,6.0,5.81
29/04/20,3616171.0,6.07,5.85,6.1,5.8
30/04/20,964713.0,5.85,5.91,5.92,5.78
04/05/20,5112643.0,5.89,5.56,5.89,5.46
