Date,Value,Open,Close,High,Low
02/01/20,256390042.0,128.0,130.0,131.9,128.0
03/01/20,286850160.0,128.6,135.5,136.2,128.6
06/01/20,121561709.0,134.0,135.0,135.0,131.5
07/01/20,335988656.0,133.3,132.5,134.9,130.3
08/01/20,237843571.0,130.1,131.8,132.1,128.1
09/01/20,179572951.0,130.2,134.0,134.0,130.0
10/01/20,182883342.0,135.0,132.5,135.0,131.3
14/01/20,282759810.0,134.0,135.0,135.0,130.6
15/01/20,200705687.0,131.9,131.5,132.8,130.5
16/01/20,145968545.0,131.3,132.1,132.9,130.8
17/01/20,223430843.0,132.1,132.7,132.9,131.0
20/01/20,246820334.0,131.2,132.9,132.9,130.4
21/01/20,102103032.0,132.5,132.6,132.8,131.3
22/01/20,115717639.0,131.2,131.8,132.6,131.1
23/01/20,129121018.0,131.9,132.5,132.6,130.3
24/01/20,82353259.0,132.5,132.5,132.5,131.5
27/01/20,71773732.0,132.5,132.5,134.7,131.4
28/01/20,117436609.0,131.5,131.9,133.3,131.5
29/01/20,160161253.0,132.5,132.0,132.8,131.0
30/01/20,154780558.0,131.5,131.5,131.9,131.0
31/01/20,318589780.0,132.0,130.0,132.0,130.0
03/02/20,49203578.0,130.0,128.0,130.0,126.0
04/02/20,197728172.0,127.0,127.4,131.0,127.0
05/02/20,222086794.0,129.9,127.2,129.9,127.0
06/02/20,141425344.0,128.7,127.6,129.4,127.0
07/02/20,145010375.0,127.1,128.0,128.5,127.1
10/02/20,117373892.0,127.5,126.0,128.0,126.0
11/02/20,76501328.0,127.3,126.0,127.3,126.0
12/02/20,82744241.0,125.4,121.6,126.7,121.6
13/02/20,81628883.0,121.6,123.4,124.7,121.4
14/02/20,168536438.0,121.4,119.0,124.7,119.0
17/02/20,121944773.0,119.3,116.0,122.0,116.0
18/02/20,321393742.0,116.0,119.6,121.8,116.0
19/02/20,212140885.0,119.0,124.2,124.7,119.0
20/02/20,175255992.0,126.0,125.4,126.2,125.0
21/02/20,164242722.0,125.1,118.0,125.9,117.9
24/02/20,110445355.0,117.3,115.0,117.3,115.0
26/02/20,291753826.5,113.4,102.0,113.4,94.85
27/02/20,239028380.0,103.6,106.0,107.8,103.6
28/02/20,255335434.0,102.0,106.0,107.0,101.8
02/03/20,195666637.0,104.5,106.0,108.9,104.4
03/03/20,175729614.0,108.4,106.0,108.4,106.0
04/03/20,302848701.0,105.9,105.7,106.5,104.1
05/03/20,259522021.0,107.0,105.1,109.0,104.1
06/03/20,314408027.5,104.0,102.0,104.0,98.6
09/03/20,210236202.5,97.0,89.0,98.0,87.3
10/03/20,557429717.5,86.7,92.0,92.95,84.35
11/03/20,371934004.5,92.2,90.05,100.0,89.95
12/03/20,361136431.5,87.0,80.05,87.0,80.0
13/03/20,373548400.5,80.05,85.0,88.0,72.0
16/03/20,172813230.0,80.75,85.0,86.5,75.0
19/03/20,335784967.5,75.95,71.5,76.0,61.85
20/03/20,255917415.0,71.65,76.0,77.0,71.65
23/03/20,108757830.5,72.5,69.5,73.0,66.1
24/03/20,200883892.5,68.5,66.05,71.0,66.05
