Date,Value,Open,Close,High,Low
02/01/20,51850.0,1.29,1.25,1.29,1.25
03/01/20,22170.0,1.23,1.23,1.26,1.23
06/01/20,238250.0,1.23,1.21,1.23,1.19
07/01/20,441390.0,1.19,1.2,1.2,1.17
08/01/20,3041730.0,1.22,1.3,1.44,1.22
09/01/20,1098970.0,1.33,1.27,1.33,1.24
10/01/20,361430.0,1.28,1.3,1.3,1.25
14/01/20,55500.0,1.29,1.25,1.29,1.25
15/01/20,151910.0,1.25,1.27,1.28,1.23
16/01/20,1376350.0,1.26,1.39,1.39,1.26
17/01/20,1965160.0,1.42,1.37,1.44,1.36
20/01/20,964960.0,1.39,1.29,1.4,1.29
21/01/20,1139350.0,1.31,1.37,1.37,1.3
22/01/20,1507690.0,1.38,1.38,1.41,1.37
23/01/20,936640.0,1.4,1.36,1.41,1.3
24/01/20,669320.0,1.35,1.3,1.36,1.29
27/01/20,628010.0,1.3,1.3,1.36,1.3
28/01/20,292680.0,1.31,1.33,1.34,1.27
29/01/20,257130.0,1.33,1.33,1.33,1.29
30/01/20,656260.0,1.3,1.25,1.33,1.12
31/01/20,388450.0,1.2,1.18,1.21,1.12
03/02/20,10900410.0,1.15,1.68,1.77,1.08
04/02/20,9560600.0,1.53,1.36,1.59,1.28
05/02/20,2382150.0,1.31,1.33,1.42,1.29
06/02/20,1461640.0,1.3,1.31,1.42,1.3
07/02/20,317960.0,1.31,1.34,1.35,1.28
10/02/20,350110.0,1.3,1.33,1.34,1.25
11/02/20,750310.0,1.3,1.27,1.3,1.24
12/02/20,207310.0,1.27,1.27,1.29,1.21
13/02/20,294790.0,1.25,1.17,1.27,1.17
14/02/20,208700.0,1.17,1.25,1.25,1.16
17/02/20,539460.0,1.24,1.26,1.28,1.17
18/02/20,274410.0,1.26,1.17,1.26,1.17
19/02/20,98220.0,1.22,1.2,1.22,1.18
20/02/20,363460.0,1.2,1.22,1.33,1.2
21/02/20,304360.0,1.29,1.22,1.3,1.22
24/02/20,525790.0,1.22,1.25,1.31,1.18
26/02/20,124720.0,1.23,1.18,1.23,1.11
