Date,Value,Open,Close,High,Low
02/01/20,838080.0,0.1,0.103,0.103,0.099
06/01/20,1185180.0,0.1,0.102,0.108,0.1
07/01/20,223740.0,0.102,0.102,0.104,0.101
08/01/20,35500.0,0.101,0.102,0.102,0.101
09/01/20,84720.0,0.101,0.1,0.103,0.1
10/01/20,29770.0,0.103,0.102,0.103,0.102
14/01/20,53270.0,0.1,0.102,0.102,0.1
15/01/20,474810.0,0.102,0.106,0.11,0.102
16/01/20,139120.0,0.106,0.106,0.108,0.106
17/01/20,316910.0,0.106,0.103,0.106,0.1
20/01/20,97370.0,0.104,0.102,0.104,0.102
21/01/20,151130.0,0.104,0.101,0.104,0.101
22/01/20,2693030.0,0.103,0.105,0.113,0.103
23/01/20,385840.0,0.105,0.109,0.112,0.103
24/01/20,385040.0,0.109,0.107,0.111,0.105
27/01/20,130290.0,0.104,0.106,0.107,0.104
28/01/20,134280.0,0.107,0.104,0.107,0.104
29/01/20,82800.0,0.106,0.104,0.106,0.103
30/01/20,354980.0,0.104,0.101,0.104,0.101
31/01/20,279500.0,0.1,0.099,0.1,0.099
03/02/20,45090.0,0.099,0.098,0.099,0.098
04/02/20,20580.0,0.098,0.098,0.098,0.098
05/02/20,8050.0,0.1,0.101,0.101,0.1
06/02/20,103530.0,0.101,0.103,0.103,0.101
10/02/20,981830.0,0.103,0.106,0.111,0.101
11/02/20,601630.0,0.106,0.107,0.111,0.106
12/02/20,110780.0,0.107,0.105,0.107,0.104
13/02/20,67540.0,0.106,0.102,0.106,0.102
14/02/20,178010.0,0.102,0.1,0.103,0.1
17/02/20,442850.0,0.099,0.104,0.106,0.093
18/02/20,65390.0,0.105,0.102,0.105,0.1
19/02/20,64900.0,0.1,0.099,0.1,0.099
20/02/20,6930.0,0.099,0.099,0.099,0.099
21/02/20,14770.0,0.099,0.098,0.099,0.098
24/02/20,220640.0,0.098,0.1,0.103,0.095
26/02/20,23450.0,0.102,0.097,0.102,0.097
27/02/20,55750.0,0.096,0.1,0.102,0.096
28/02/20,73600.0,0.096,0.096,0.102,0.096
02/03/20,960.0,0.096,0.096,0.096,0.096
03/03/20,10450.0,0.095,0.095,0.095,0.095
04/03/20,90040.0,0.094,0.094,0.094,0.093
05/03/20,107150.0,0.094,0.09,0.095,0.09
06/03/20,2910.0,0.099,0.099,0.099,0.093
09/03/20,194200.0,0.092,0.087,0.092,0.087
10/03/20,135750.0,0.087,0.087,0.09,0.087
11/03/20,566010.0,0.097,0.082,0.097,0.08
12/03/20,33840.0,0.082,0.082,0.082,0.08
13/03/20,40120.0,0.078,0.078,0.079,0.078
16/03/20,63840.0,0.066,0.068,0.072,0.066
19/03/20,55090.0,0.066,0.057,0.066,0.053
20/03/20,52880.0,0.057,0.058,0.062,0.057
24/03/20,141000.0,0.07,0.063,0.07,0.058
25/03/20,66230.0,0.067,0.068,0.069,0.066
26/03/20,17610.0,0.073,0.073,0.073,0.07
27/03/20,32080.0,0.08,0.078,0.08,0.078
