Date,Value,Open,Close,High,Low
02/01/20,828910.0,3.79,3.61,3.79,3.6
03/01/20,939870.0,3.59,3.68,3.77,3.59
06/01/20,1115890.0,3.7,3.66,3.75,3.65
07/01/20,2944620.0,3.75,3.93,4.06,3.65
08/01/20,1942710.0,3.93,4.06,4.08,3.85
09/01/20,1859040.0,4.17,4.05,4.21,4.0
10/01/20,1362430.0,4.06,4.02,4.2,4.0
14/01/20,1333090.0,4.0,4.15,4.15,3.86
15/01/20,603420.0,4.0,4.05,4.12,3.92
16/01/20,1115770.0,3.91,3.88,4.0,3.88
17/01/20,795030.0,3.88,3.89,3.95,3.85
20/01/20,707980.0,3.96,3.9,3.96,3.9
21/01/20,1993630.0,3.89,3.67,3.9,3.65
22/01/20,2675340.0,3.67,3.99,4.01,3.65
23/01/20,677620.0,3.88,3.81,3.9,3.72
24/01/20,295110.0,3.81,3.88,3.94,3.75
27/01/20,1628620.0,3.88,4.02,4.1,3.88
28/01/20,1286480.0,4.07,3.93,4.08,3.93
29/01/20,797960.0,4.01,3.85,4.01,3.85
30/01/20,1482250.0,3.85,3.77,3.99,3.77
31/01/20,3437670.0,3.75,3.5,3.75,3.48
03/02/20,1708750.0,3.4,3.48,3.51,3.32
04/02/20,498860.0,3.36,3.39,3.6,3.35
05/02/20,1444220.0,3.44,3.54,3.64,3.39
06/02/20,500540.0,3.54,3.61,3.68,3.51
07/02/20,1023910.0,3.51,3.43,3.64,3.43
10/02/20,1666690.0,3.55,3.49,3.55,3.32
11/02/20,1814460.0,3.63,3.39,3.64,3.35
12/02/20,1970950.0,3.36,3.2,3.36,3.2
13/02/20,214600.0,3.2,3.19,3.29,3.19
14/02/20,115710.0,3.18,3.26,3.26,3.18
17/02/20,326720.0,3.26,3.26,3.26,3.16
18/02/20,117000.0,3.26,3.21,3.26,3.21
19/02/20,203160.0,3.22,3.29,3.29,3.21
20/02/20,788190.0,3.18,3.17,3.27,3.17
21/02/20,934760.0,3.24,3.2,3.38,3.2
24/02/20,957580.0,3.2,3.01,3.35,2.9
26/02/20,505540.0,2.9,2.85,2.9,2.76
27/02/20,604090.0,2.82,2.76,2.88,2.7
28/02/20,1307570.0,2.7,2.59,2.71,2.5
02/03/20,817900.0,2.5,2.5,2.55,2.35
03/03/20,1326180.0,2.67,2.61,2.87,2.56
04/03/20,599790.0,2.6,2.51,2.65,2.45
05/03/20,333570.0,2.52,2.55,2.6,2.52
06/03/20,300440.0,2.52,2.52,2.64,2.49
09/03/20,1528700.0,2.4,2.1,2.4,2.08
10/03/20,1036020.0,2.08,2.1,2.15,2.0
11/03/20,1162080.0,2.14,1.98,2.2,1.98
12/03/20,850370.0,1.98,1.8,1.98,1.8
13/03/20,1112340.0,1.56,1.9,1.9,1.5
16/03/20,542390.0,1.89,1.9,1.98,1.79
19/03/20,429800.0,1.89,1.6,1.89,1.5
20/03/20,226690.0,1.8,1.71,1.9,1.6
23/03/20,142740.0,1.65,1.72,1.72,1.65
24/03/20,198240.0,1.72,1.71,1.85,1.7
25/03/20,705620.0,1.75,1.83,1.9,1.75
26/03/20,1002300.0,1.88,2.0,2.08,1.86
27/03/20,942430.0,2.07,2.04,2.08,1.86
30/03/20,767570.0,2.0,2.0,2.0,1.89
31/03/20,1113180.0,1.98,2.09,2.27,1.98
01/04/20,605620.0,2.08,2.02,2.09,2.01
02/04/20,1288430.0,1.96,1.96,1.98,1.9
03/04/20,256620.0,1.91,1.9,1.98,1.88
06/04/20,328390.0,1.9,1.85,1.91,1.84
07/04/20,1257160.0,1.93,1.8,1.93,1.8
08/04/20,5229060.0,1.8,1.61,1.87,1.61
13/04/20,19399920.0,1.65,1.53,1.65,1.4
14/04/20,16406130.0,1.53,1.59,1.63,1.45
15/04/20,17944700.0,1.64,1.73,1.75,1.6
16/04/20,19134850.0,1.76,1.59,1.76,1.56
17/04/20,9571790.0,1.57,1.64,1.66,1.57
20/04/20,52818790.0,1.68,2.05,2.05,1.63
21/04/20,88771150.0,2.09,1.99,2.28,1.8
22/04/20,54005060.0,1.9,2.35,2.35,1.88
23/04/20,49609450.0,2.35,2.27,2.45,2.22
24/04/20,19911690.0,2.25,2.18,2.33,2.13
27/04/20,20187960.0,2.18,2.06,2.3,2.05
28/04/20,28031870.0,2.12,2.24,2.35,2.06
29/04/20,36331770.0,2.3,2.24,2.43,2.2
30/04/20,21132500.0,2.29,2.15,2.32,2.11
04/05/20,14551990.0,2.13,2.14,2.19,2.03
05/05/20,7733680.0,2.14,2.17,2.19,2.1
06/05/20,6987080.0,2.17,2.11,2.17,2.08
07/05/20,6979390.0,2.12,2.05,2.15,2.01
08/05/20,15888310.0,2.05,1.93,2.08,1.9
11/05/20,7686880.0,1.97,1.92,1.97,1.83
12/05/20,3941060.0,1.89,1.93,1.94,1.84
13/05/20,9858400.0,1.95,2.04,2.06,1.88
14/05/20,5415010.0,2.06,1.96,2.07,1.94
15/05/20,3227860.0,1.95,1.95,2.0,1.89
18/05/20,4554690.0,1.97,1.92,2.03,1.88
19/05/20,2423040.0,1.93,1.9,1.97,1.88
20/05/20,1796940.0,1.91,1.92,1.94,1.88
21/05/20,1205070.0,1.9,1.89,1.94,1.89
22/05/20,4159960.0,1.89,1.79,1.93,1.72
26/05/20,3788150.0,1.72,1.67,1.8,1.66
27/05/20,1663130.0,1.67,1.74,1.75,1.66
28/05/20,1018190.0,1.74,1.72,1.75,1.72
29/05/20,2363700.0,1.72,1.81,1.84,1.68
01/06/20,3866500.0,1.84,1.91,1.91,1.76
02/06/20,4902700.0,1.95,1.91,1.98,1.89
03/06/20,2666080.0,1.95,1.91,1.95,1.87
04/06/20,14461710.0,1.94,2.06,2.09,1.92
05/06/20,5698690.0,2.08,2.02,2.1,1.97
08/06/20,7989060.0,2.05,2.14,2.14,2.05
09/06/20,7800370.0,2.16,2.14,2.19,2.06
10/06/20,8270510.0,2.16,2.01,2.16,1.96
11/06/20,3349470.0,2.02,1.97,2.02,1.93
15/06/20,7432030.0,1.93,1.86,1.93,1.86
