Date,Value,Open,Close,High,Low
02/01/20,93654455.0,79.05,78.0,80.5,75.9
03/01/20,160886798.0,79.55,82.0,82.4,78.3
06/01/20,76491092.5,81.8,81.9,81.9,79.5
07/01/20,72016003.5,81.9,81.8,81.95,80.8
08/01/20,100467890.0,80.1,79.5,81.4,78.4
09/01/20,96438734.5,78.7,79.25,80.4,78.4
10/01/20,173330200.0,79.05,77.05,79.05,76.95
14/01/20,243439284.5,78.0,76.5,79.0,75.85
15/01/20,273169355.5,78.1,73.5,78.3,73.5
16/01/20,260326157.0,73.65,72.5,74.5,72.4
17/01/20,200344933.5,73.45,72.0,73.45,72.0
20/01/20,73890783.5,72.95,74.0,74.0,71.85
21/01/20,16377422.5,74.3,73.95,74.3,72.6
22/01/20,26044359.5,73.9,73.95,73.95,72.05
23/01/20,90413428.5,73.55,76.0,76.0,73.1
24/01/20,55349428.0,76.0,77.0,77.0,74.65
27/01/20,24188561.5,75.25,76.1,76.85,75.25
28/01/20,50901964.0,75.45,74.25,75.45,73.15
29/01/20,98807657.5,73.65,75.0,75.0,72.5
30/01/20,60627397.5,74.95,73.05,74.95,72.8
31/01/20,254870132.0,73.0,70.1,73.0,70.1
03/02/20,89100057.0,70.15,69.5,71.0,68.5
04/02/20,79388706.5,71.9,70.3,71.9,70.0
05/02/20,91841871.5,71.9,72.7,72.7,70.8
06/02/20,66872553.5,72.7,74.75,74.75,72.55
07/02/20,89098878.5,73.1,73.9,74.0,72.05
10/02/20,96513205.0,73.9,71.5,74.0,70.5
11/02/20,42096335.5,71.8,71.9,72.0,70.5
12/02/20,39736517.5,71.9,71.0,71.9,71.0
13/02/20,59481307.5,71.45,74.0,74.0,71.0
14/02/20,137355403.5,73.75,74.5,74.7,72.2
17/02/20,125832417.5,74.5,74.5,74.9,73.35
18/02/20,103545020.5,74.9,75.0,75.0,73.65
19/02/20,36413222.5,75.0,75.5,75.5,73.95
20/02/20,120509595.5,75.5,75.0,76.15,75.0
21/02/20,52868500.0,75.0,75.6,76.0,75.0
24/02/20,45589644.5,73.35,73.5,74.15,72.85
26/02/20,281555580.5,72.9,69.0,72.9,68.9
27/02/20,149198508.0,69.4,69.9,71.0,69.05
28/02/20,224998518.5,69.0,67.5,69.0,66.0
02/03/20,200511060.5,66.4,66.5,68.5,66.0
03/03/20,124446961.5,67.9,68.2,69.1,67.1
04/03/20,131652954.5,67.05,71.0,71.0,65.6
05/03/20,55158684.5,69.95,71.25,71.25,69.1
06/03/20,82683572.0,71.25,70.65,71.25,69.25
09/03/20,137692781.5,66.1,63.2,68.0,63.0
10/03/20,166942422.0,62.4,61.0,62.4,59.3
11/03/20,129477873.5,62.0,62.85,63.2,61.95
12/03/20,128512912.0,61.6,53.65,61.6,52.4
13/03/20,314185324.0,50.45,54.2,54.7,42.0
16/03/20,88824611.5,48.0,50.6,54.2,46.2
19/03/20,150393250.5,44.0,44.45,45.0,28.0
20/03/20,99715140.0,46.0,43.35,48.9,43.0
23/03/20,98268560.0,42.0,45.0,45.0,38.5
24/03/20,101093105.0,45.0,45.7,47.9,43.05
25/03/20,113438260.0,48.2,49.0,51.0,46.05
26/03/20,101380385.0,51.0,53.75,54.0,49.55
27/03/20,87937625.5,53.8,51.2,57.9,50.3
30/03/20,95560523.0,51.0,49.5,52.7,46.15
