Date,Value,Open,Close,High,Low
08/01/20,148800.0,2.0,1.9,2.0,1.9
09/01/20,57000.0,1.9,1.9,1.9,1.9
14/01/20,1900.0,1.9,1.9,1.9,1.9
20/01/20,286590.0,1.9,1.83,1.9,1.83
21/01/20,49300.0,1.77,1.9,2.0,1.77
22/01/20,18800.0,1.88,1.88,1.88,1.88
23/01/20,285190.0,1.77,1.94,1.94,1.77
31/01/20,167690.0,1.78,1.76,1.94,1.76
03/02/20,300100.0,2.1,2.0,2.1,2.0
04/02/20,13220.0,2.2,2.14,2.22,2.14
10/02/20,1760.0,1.76,1.76,1.76,1.76
11/02/20,17610.0,1.77,1.76,1.77,1.75
13/02/20,5610.0,1.87,1.87,1.87,1.87
19/02/20,7000.0,1.75,1.75,1.75,1.75
21/02/20,4050.0,2.0,2.05,2.05,2.0
09/03/20,8820.0,1.73,1.9,1.9,1.73
13/03/20,18590.0,1.43,1.97,1.97,1.43
06/04/20,16290.0,1.41,1.78,1.78,1.4
07/04/20,8900.0,1.78,1.78,1.78,1.78
24/04/20,5340.0,1.78,1.78,1.78,1.78
05/05/20,22480.0,1.98,1.78,1.98,1.78
28/05/20,25200.0,1.68,1.68,1.68,1.68
29/05/20,3720.0,1.86,1.86,1.86,1.86
10/06/20,51560.0,1.36,1.79,1.79,1.36
11/06/20,5350.0,1.75,1.85,1.85,1.75
15/06/20,26100.0,1.74,1.74,1.74,1.74
18/06/20,19390.0,1.45,1.65,1.65,1.45
26/06/20,1750.0,1.75,1.75,1.75,1.75
30/06/20,56020.0,1.74,1.6,1.74,1.6
02/07/20,425280.0,1.73,2.4,2.4,1.73
03/07/20,49844900.0,2.65,2.3,3.57,2.2
06/07/20,4470390.0,2.3,2.04,2.54,1.93
07/07/20,2257070.0,2.06,1.9,2.07,1.9
08/07/20,1641450.0,1.9,1.75,1.9,1.73
09/07/20,501210.0,1.78,1.8,1.92,1.78
10/07/20,700030.0,1.79,1.74,1.9,1.74
13/07/20,357680.0,1.71,1.66,1.71,1.65
14/07/20,497220.0,1.78,1.62,1.78,1.61
15/07/20,127220.0,1.6,1.57,1.6,1.57
16/07/20,201040.0,1.55,1.56,1.56,1.5
17/07/20,141500.0,1.59,1.62,1.64,1.59
20/07/20,70530.0,1.54,1.54,1.54,1.52
21/07/20,115090.0,1.53,1.54,1.6,1.53
22/07/20,2028190.0,1.54,1.8,1.98,1.52
23/07/20,534010.0,1.8,1.62,1.8,1.58
24/07/20,202850.0,1.62,1.66,1.78,1.62
27/07/20,174390.0,1.56,1.58,1.79,1.56
28/07/20,133240.0,1.58,1.72,1.73,1.57
29/07/20,7940.0,1.6,1.58,1.6,1.58
30/07/20,137820.0,1.65,1.72,1.72,1.61
03/08/20,147800.0,1.6,1.59,1.68,1.58
04/08/20,101860.0,1.59,1.66,1.69,1.59
05/08/20,78420.0,1.66,1.61,1.69,1.61
06/08/20,6440.0,1.61,1.61,1.61,1.61
07/08/20,63120.0,1.61,1.61,1.64,1.6
10/08/20,74040.0,1.62,1.6,1.65,1.59
11/08/20,19460.0,1.6,1.64,1.65,1.6
12/08/20,184000.0,1.6,1.59,1.72,1.59
13/08/20,40670.0,1.72,1.62,1.72,1.62
14/08/20,211850.0,1.62,1.6,1.63,1.56
17/08/20,87690.0,1.6,1.61,1.68,1.6
18/08/20,4920.0,1.68,1.6,1.68,1.6
19/08/20,27270.0,1.6,1.6,1.66,1.6
20/08/20,17930.0,1.61,1.66,1.66,1.61
24/08/20,33600.0,1.6,1.6,1.6,1.6
25/08/20,88200.0,1.6,1.64,1.64,1.6
26/08/20,116860.0,1.61,1.6,1.61,1.6
27/08/20,25650.0,1.61,1.6,1.61,1.6
28/08/20,39640.0,1.59,1.59,1.59,1.58
01/09/20,155360.0,1.58,1.55,1.58,1.51
02/09/20,10970.0,1.57,1.56,1.57,1.56
03/09/20,16970.0,1.51,1.56,1.56,1.51
04/09/20,37320.0,1.63,1.61,1.63,1.58
07/09/20,60820.0,1.54,1.62,1.62,1.54
08/09/20,78220.0,1.62,1.55,1.63,1.53
09/09/20,158960.0,1.55,1.57,1.57,1.5
10/09/20,23640.0,1.57,1.58,1.58,1.57
14/09/20,122030.0,1.58,1.6,1.6,1.57
15/09/20,97540.0,1.61,1.58,1.63,1.58
16/09/20,345890.0,1.58,1.66,1.76,1.58
17/09/20,119830.0,1.66,1.63,1.7,1.63
18/09/20,20790.0,1.59,1.62,1.62,1.59
21/09/20,81520.0,1.58,1.64,1.64,1.55
22/09/20,47020.0,1.64,1.6,1.64,1.55
23/09/20,136730.0,1.6,1.67,1.69,1.6
24/09/20,73100.0,1.7,1.7,1.73,1.68
25/09/20,148630.0,1.68,1.66,1.7,1.56
28/09/20,49500.0,1.66,1.59,1.66,1.58
29/09/20,67940.0,1.58,1.58,1.58,1.58
30/09/20,136330.0,1.57,1.54,1.57,1.54
01/10/20,165260.0,1.55,1.55,1.55,1.52
02/10/20,99450.0,1.55,1.52,1.55,1.52
05/10/20,220090.0,1.51,1.51,1.55,1.51
06/10/20,140180.0,1.51,1.51,1.53,1.5
07/10/20,91220.0,1.51,1.58,1.59,1.51
08/10/20,57520.0,1.56,1.56,1.56,1.51
09/10/20,288230.0,1.56,1.56,1.61,1.56
12/10/20,101360.0,1.56,1.53,1.59,1.53
13/10/20,172010.0,1.53,1.52,1.53,1.52
14/10/20,49590.0,1.53,1.56,1.56,1.53
15/10/20,71500.0,1.52,1.52,1.56,1.52
16/10/20,73340.0,1.53,1.58,1.59,1.52
19/10/20,268230.0,1.6,1.61,1.62,1.51
20/10/20,108550.0,1.55,1.62,1.62,1.55
21/10/20,69630.0,1.58,1.61,1.61,1.56
22/10/20,95490.0,1.57,1.63,1.63,1.57
23/10/20,58230.0,1.59,1.61,1.65,1.58
26/10/20,54210.0,1.61,1.57,1.61,1.57
27/10/20,74760.0,1.61,1.62,1.65,1.58
28/10/20,23640.0,1.61,1.6,1.61,1.56
29/10/20,192080.0,1.6,1.69,1.69,1.6
