Date,Value,Open,Close,High,Low
02/01/20,80506314.0,216.0,213.0,216.6,210.4
03/01/20,301408846.0,215.0,214.8,218.0,213.8
06/01/20,93468576.0,213.8,213.0,213.8,205.8
07/01/20,166509560.0,213.0,217.0,217.0,213.0
08/01/20,88064150.0,214.4,210.2,214.4,210.2
09/01/20,96917998.0,210.4,207.0,211.8,207.0
10/01/20,62671880.0,208.0,206.6,211.0,203.8
14/01/20,93380790.0,207.6,212.0,212.0,206.6
15/01/20,63980130.0,211.0,206.0,212.0,206.0
16/01/20,143083208.0,208.0,201.0,208.0,200.2
17/01/20,101069560.0,202.0,213.6,213.6,202.0
20/01/20,65952208.0,214.0,212.8,214.4,210.0
21/01/20,47225664.0,212.6,209.4,212.6,207.4
22/01/20,77005604.0,209.4,209.0,215.0,207.8
23/01/20,58557858.0,209.0,211.6,212.0,208.0
24/01/20,127502338.0,211.6,217.0,217.0,211.0
27/01/20,46923360.0,216.0,213.2,216.0,211.0
28/01/20,163332396.0,213.2,205.0,213.2,204.4
29/01/20,64742474.0,205.4,203.6,207.0,201.0
30/01/20,116564008.0,202.2,200.2,203.0,200.0
31/01/20,170886960.0,200.2,191.2,201.0,191.2
03/02/20,83288099.0,191.9,196.0,197.2,190.0
04/02/20,253329863.0,197.5,195.0,200.0,195.0
05/02/20,265250108.0,195.1,190.6,196.8,190.5
06/02/20,283107244.0,190.8,191.9,194.3,190.8
07/02/20,54687761.0,193.0,192.5,194.0,192.3
10/02/20,98102618.0,193.0,190.0,194.0,190.0
11/02/20,155720996.0,191.0,192.0,193.9,191.0
12/02/20,97534196.0,192.0,192.0,194.0,191.0
13/02/20,53091504.0,192.0,195.0,195.0,191.0
14/02/20,136821335.0,194.9,185.2,194.9,185.2
17/02/20,53169856.0,187.2,188.8,190.0,187.1
18/02/20,94163351.0,189.6,185.2,189.7,185.2
19/02/20,331463000.0,184.6,184.0,185.4,181.5
20/02/20,206293028.0,184.0,188.0,194.0,184.0
21/02/20,215162162.0,190.8,189.0,191.8,188.9
24/02/20,232575932.0,190.2,185.6,190.2,185.2
26/02/20,406968820.0,180.0,175.1,181.3,170.2
27/02/20,114402846.0,175.4,174.5,180.0,174.5
28/02/20,298816073.0,173.6,170.0,173.6,170.0
02/03/20,166602985.0,169.9,167.1,172.0,165.0
03/03/20,195781742.0,168.1,168.0,172.0,168.0
04/03/20,148264727.0,168.7,174.6,174.6,167.2
05/03/20,207505372.0,175.0,184.0,184.0,171.3
06/03/20,112852248.0,183.0,176.5,183.0,173.4
09/03/20,186996783.0,170.0,163.0,170.1,161.5
10/03/20,198022833.0,160.0,158.0,160.9,153.0
11/03/20,149809107.0,159.0,166.3,166.3,159.0
12/03/20,184133107.0,162.0,153.0,162.0,150.0
13/03/20,305207512.0,145.0,140.5,145.0,124.5
16/03/20,280545474.0,133.0,121.0,134.0,120.5
19/03/20,330014709.5,105.0,91.1,106.2,91.1
20/03/20,198180334.5,97.5,100.0,103.7,95.65
23/03/20,247233692.0,98.0,95.0,99.9,91.5
24/03/20,155368275.0,98.95,95.0,99.85,95.0
25/03/20,399879070.5,101.8,98.45,101.8,98.0
26/03/20,329083270.5,100.0,102.2,104.5,99.0
27/03/20,384761090.0,107.4,107.0,111.0,103.0
30/03/20,82543465.0,106.9,103.0,106.9,100.1
31/03/20,166562737.0,105.0,106.4,109.5,105.0
01/04/20,267016685.0,107.0,103.2,109.6,103.0
02/04/20,131839911.0,102.9,102.0,103.2,102.0
03/04/20,87392308.0,102.3,102.0,105.0,102.0
06/04/20,196347114.0,104.6,106.0,106.4,103.5
07/04/20,304363805.0,110.2,110.5,112.5,109.0
08/04/20,337149716.0,111.0,120.0,120.0,108.1
13/04/20,338845204.0,121.0,135.0,136.1,121.0
14/04/20,512847946.0,139.9,146.5,148.0,139.8
15/04/20,586506672.0,150.0,148.6,152.1,143.5
16/04/20,329576249.0,147.0,141.5,147.0,137.4
17/04/20,705905471.0,142.0,145.0,147.0,141.4
20/04/20,230578052.0,148.5,143.0,149.9,143.0
21/04/20,430326061.0,142.5,136.1,142.5,133.0
22/04/20,775857960.0,135.0,134.0,135.0,131.0
23/04/20,349137851.0,137.0,136.0,140.0,135.5
24/04/20,140113927.0,137.8,134.3,137.8,133.7
27/04/20,215981572.0,135.0,134.5,136.5,134.3
28/04/20,321709005.0,136.0,141.2,141.4,135.6
29/04/20,212998092.0,141.2,147.0,147.0,139.1
30/04/20,278959709.0,148.0,143.1,149.0,143.0
04/05/20,174687308.0,143.1,138.2,143.1,137.0
05/05/20,76191848.0,141.0,139.6,141.0,139.3
06/05/20,70536338.0,141.0,138.5,141.8,138.5
07/05/20,127306921.0,138.9,136.5,140.9,136.0
08/05/20,85801443.0,138.5,136.0,139.5,135.2
11/05/20,61500628.0,137.2,140.5,141.0,136.5
12/05/20,132428379.0,141.2,139.4,141.8,138.6
13/05/20,55039424.0,140.6,138.0,141.0,137.1
14/05/20,81869327.0,139.0,136.6,139.6,135.9
15/05/20,84786970.0,139.0,137.2,140.0,136.2
18/05/20,122554585.0,139.0,136.4,139.0,135.9
19/05/20,108122324.0,138.0,140.0,140.0,137.4
20/05/20,66076362.0,140.0,137.2,140.0,137.2
21/05/20,90036903.0,138.0,136.5,139.0,136.3
22/05/20,183927657.0,138.0,133.0,138.0,133.0
26/05/20,571921056.0,133.0,119.0,134.0,117.0
27/05/20,127911460.0,120.1,122.0,123.0,120.0
28/05/20,358527160.0,120.0,116.1,120.0,115.2
29/05/20,1504297030.0,116.5,108.7,118.8,108.7
