Date,Value,Open,Close,High,Low
02/01/20,50585.0,6.18,6.64,6.65,6.18
03/01/20,228861.0,6.5,6.08,6.64,6.08
06/01/20,1691682.0,6.63,6.56,6.64,6.17
07/01/20,478350.0,6.55,6.59,6.59,6.55
10/01/20,140185.0,6.07,6.64,6.64,6.07
14/01/20,12280.0,6.14,6.14,6.14,6.14
15/01/20,677800.0,6.51,6.62,6.62,6.51
17/01/20,39862.0,6.6,6.67,6.67,6.6
20/01/20,1998.0,6.66,6.66,6.66,6.66
21/01/20,41895.0,6.65,6.65,6.65,6.65
23/01/20,1330.0,6.65,6.65,6.65,6.65
24/01/20,130005.0,5.95,6.72,6.72,5.95
28/01/20,870847.0,6.72,6.77,6.77,6.72
29/01/20,678.0,6.78,6.78,6.78,6.78
05/02/20,13560.0,6.78,6.78,6.78,6.78
10/02/20,35774.0,5.06,5.84,5.85,5.06
12/02/20,2534048.0,6.6,6.05,6.83,6.04
13/02/20,1092362.0,6.15,6.73,6.82,6.1
14/02/20,45525.0,6.72,6.69,6.72,6.16
17/02/20,410422.0,6.11,6.61,6.62,6.11
18/02/20,37848.0,6.64,6.64,6.64,6.64
19/02/20,13909.0,6.15,6.66,6.66,6.15
20/02/20,1403575.0,6.65,6.64,6.65,6.63
24/02/20,62000.0,6.2,6.2,6.2,6.2
26/02/20,1360539.0,6.2,6.01,6.52,6.01
27/02/20,919743.0,5.8,6.51,6.52,5.8
03/03/20,2453220.0,6.49,6.49,6.49,6.49
04/03/20,2271500.0,6.49,6.49,6.49,6.49
05/03/20,639.0,6.39,6.39,6.39,6.39
06/03/20,178640.0,6.38,6.38,6.38,6.38
09/03/20,2233000.0,6.38,6.38,6.38,6.38
10/03/20,2259961.0,6.37,6.36,6.37,6.36
13/03/20,2098800.0,6.36,6.36,6.36,6.36
19/03/20,659360.0,6.34,6.34,6.34,6.34
14/04/20,629.0,6.29,6.29,6.29,6.29
20/04/20,33628.0,5.5,6.28,6.28,5.5
21/04/20,8151.0,6.27,6.27,6.27,6.27
28/04/20,77185.0,6.27,6.28,6.28,6.27
29/04/20,15240.0,4.51,6.22,6.22,4.51
30/04/20,6240.0,6.24,6.24,6.24,6.24
06/05/20,53550.0,4.51,4.86,4.86,4.5
07/05/20,14270.0,7.28,6.99,7.28,6.99
08/05/20,424210.0,6.68,5.6,6.75,5.28
11/05/20,105885.0,5.5,6.0,6.0,5.3
12/05/20,14036.0,5.29,5.96,5.96,5.29
14/05/20,6329.0,5.29,5.8,5.8,5.29
18/05/20,19240.0,5.29,5.75,5.75,5.29
21/05/20,2135.0,5.21,5.72,5.72,5.21
22/05/20,11040.0,5.21,5.72,5.72,5.2
27/05/20,5782.0,5.21,5.72,5.72,5.21
02/06/20,9673.0,5.69,5.69,5.69,5.69
03/06/20,50919.0,5.03,5.68,5.68,5.03
10/06/20,39953.0,5.64,5.63,5.64,4.91
11/06/20,217136.0,5.64,5.64,5.64,5.63
15/06/20,7884.0,5.63,5.64,5.64,5.63
16/06/20,1128.0,5.64,5.64,5.64,5.64
17/06/20,41084.0,5.6,5.64,5.64,5.6
19/06/20,186357.0,4.86,5.25,5.48,4.86
22/06/20,93106.0,4.95,4.9,5.45,4.87
23/06/20,27600.0,5.48,5.58,5.58,5.48
