Date,Value,Open,Close,High,Low
07/01/20,14560.0,5.2,5.2,5.2,5.2
09/01/20,7500.0,5.0,5.0,5.0,5.0
21/01/20,11040.0,5.0,5.2,5.2,5.0
22/01/20,31720.0,5.2,5.2,5.2,5.2
23/01/20,2080.0,5.2,5.2,5.2,5.2
31/01/20,217360.0,5.2,5.2,5.2,5.2
05/02/20,7815.0,5.21,5.21,5.21,5.21
10/02/20,29120.0,5.2,5.2,5.2,5.2
12/02/20,1042.0,5.21,5.21,5.21,5.21
17/02/20,5731.0,5.21,5.21,5.21,5.21
27/02/20,50016.0,5.21,5.21,5.21,5.21
09/03/20,3661.0,5.23,5.23,5.23,5.23
12/03/20,132334.0,5.21,5.21,5.21,5.21
13/03/20,100032.0,5.21,5.21,5.21,5.21
16/03/20,102030.0,5.21,5.5,5.5,5.21
19/03/20,484091.0,5.21,5.2,5.21,5.2
20/03/20,56000.0,5.0,5.0,5.0,5.0
23/03/20,800.0,4.0,4.0,4.0,4.0
08/04/20,5000.0,5.0,5.0,5.0,5.0
16/04/20,500.0,5.0,5.0,5.0,5.0
20/04/20,6513.0,5.01,5.01,5.01,5.01
21/04/20,10120.0,5.06,5.06,5.06,5.06
27/04/20,24814.0,5.07,5.06,5.07,5.06
05/05/20,508.0,5.08,5.08,5.08,5.08
06/05/20,772620.0,5.08,5.12,5.12,5.08
07/05/20,256000.0,5.12,5.12,5.12,5.12
12/05/20,10280.0,5.14,5.14,5.14,5.14
13/05/20,1094720.0,5.14,5.2,5.2,5.14
15/05/20,260000.0,5.2,5.2,5.2,5.2
18/05/20,27348.0,5.16,5.16,5.16,5.16
19/05/20,258000.0,5.16,5.16,5.16,5.16
21/05/20,941.0,4.68,4.73,4.73,4.68
01/06/20,525000.0,5.2,5.3,5.3,5.2
03/06/20,1028.0,5.14,5.14,5.14,5.14
05/06/20,4000.0,5.0,5.0,5.0,5.0
18/06/20,633324.0,5.14,5.5,5.5,5.14
19/06/20,105000.0,5.5,5.0,5.5,5.0
22/06/20,189325.0,5.5,5.05,5.5,5.0
23/06/20,2028.0,5.07,5.07,5.07,5.07
29/06/20,510.0,5.1,5.1,5.1,5.1
01/07/20,510.0,5.1,5.1,5.1,5.1
02/07/20,3577.0,5.11,5.11,5.11,5.11
03/07/20,25500.0,5.1,5.1,5.1,5.1
06/07/20,511.0,5.11,5.11,5.11,5.11
10/07/20,15330.0,5.11,5.11,5.11,5.11
14/07/20,10500.0,5.0,5.0,5.0,5.0
16/07/20,1004.0,5.02,5.02,5.02,5.02
28/07/20,500.0,5.0,5.0,5.0,5.0
11/08/20,8000.0,5.0,5.0,5.0,5.0
01/09/20,482.0,4.82,4.82,4.82,4.82
23/10/20,33005580.0,4.71,5.11,7.21,4.71
26/10/20,88880.0,5.11,5.02,5.11,5.02
27/10/20,29200.0,4.87,4.86,4.87,4.86
28/10/20,72280.0,4.81,4.82,4.82,4.81
29/10/20,9600.0,4.8,4.8,4.8,4.8
03/11/20,10000.0,5.0,5.0,5.0,5.0
13/11/20,29000.0,4.8,5.0,5.0,4.8
18/11/20,5371.0,4.88,4.91,4.91,4.88
19/11/20,15000.0,5.0,5.0,5.0,5.0
20/11/20,33050877.0,3.51,5.17,5.8,3.51
23/11/20,87262.0,4.92,4.96,4.98,4.92
24/11/20,24900.0,4.98,4.98,4.98,4.98
27/11/20,26057860.0,3.51,5.05,5.72,3.51
01/12/20,129985.0,5.69,5.0,5.69,5.0
02/12/20,46000.0,5.0,5.0,5.0,5.0
04/12/20,8000.0,5.0,5.0,5.0,5.0
07/12/20,29632.0,4.31,4.94,5.0,4.31
10/12/20,4940.0,4.94,4.94,4.94,4.94
11/12/20,32850340.0,3.74,5.04,5.73,3.58
14/12/20,13672.0,4.6,5.04,5.04,4.6
15/12/20,4726.0,4.67,4.95,4.95,4.67
16/12/20,835990.0,5.25,5.5,7.0,5.03
17/12/20,114675.0,5.05,5.29,5.69,5.04
18/12/20,44729.0,5.2,5.29,5.29,5.2
21/12/20,11440.0,5.2,5.2,5.2,5.2
23/12/20,23589.0,4.62,5.19,5.19,4.61
28/12/20,527.0,5.27,5.27,5.27,5.27
29/12/20,32036.0,5.0,5.19,5.19,4.76
04/01/21,44308.0,5.28,5.28,5.28,4.87
06/01/21,2034.0,4.9,5.26,5.28,4.9
11/01/21,36750.0,5.25,5.25,5.25,5.25
