Date,Value,Open,Close,High,Low
13/02/20,112760.0,4.0,3.8,4.0,3.8
02/03/20,126650.0,3.66,3.6,3.66,3.6
31/03/20,28840.0,3.61,3.6,3.61,3.6
07/04/20,14000.0,3.5,3.5,3.5,3.5
16/04/20,15560.0,3.89,3.89,3.89,3.89
17/04/20,7980.0,3.99,3.99,3.99,3.99
22/04/20,15960.0,3.99,3.99,3.99,3.99
06/05/20,4000.0,4.0,4.0,4.0,4.0
21/05/20,690750.0,3.05,3.5,3.7,3.05
22/05/20,13850.0,3.4,3.65,3.65,3.4
26/05/20,38950.0,3.7,3.45,3.7,3.45
27/05/20,264180.0,3.02,3.27,3.32,3.02
28/05/20,17900.0,3.99,3.69,3.99,3.26
29/05/20,7160.0,3.5,3.66,3.66,3.5
01/06/20,14090.0,3.65,3.58,3.65,3.21
05/06/20,14040.0,3.35,3.69,3.69,3.35
08/06/20,9000.0,3.0,3.0,3.0,3.0
09/06/20,201870.0,3.64,4.27,4.38,3.59
10/06/20,170570.0,3.87,3.75,3.92,3.42
16/06/20,11400.0,3.8,3.8,3.8,3.8
17/06/20,9540.0,3.18,3.18,3.18,3.18
18/06/20,27170.0,3.4,3.39,3.4,3.39
24/06/20,128950.0,3.4,3.35,3.4,3.35
25/06/20,20860.0,2.39,3.43,3.43,2.39
14/07/20,9040.0,3.0,3.02,3.02,3.0
22/07/20,3160.0,3.16,3.16,3.16,3.16
23/07/20,102750.0,3.12,3.1,3.12,3.1
24/07/20,3100.0,3.1,3.1,3.1,3.1
28/07/20,18810.0,3.14,3.13,3.14,3.13
18/08/20,2950.0,2.95,2.95,2.95,2.95
16/10/20,8430.0,2.81,2.81,2.81,2.81
19/10/20,27140.0,3.34,3.49,3.58,3.34
20/10/20,6600.0,3.34,3.26,3.34,3.26
22/10/20,3450.0,3.45,3.45,3.45,3.45
26/10/20,3070.0,3.07,3.07,3.07,3.07
27/10/20,110630.0,3.11,2.99,3.11,2.99
29/10/20,5840.0,2.92,2.92,2.92,2.92
05/11/20,20890.0,2.94,3.28,3.28,2.93
17/11/20,8760.0,2.92,2.92,2.92,2.92
18/11/20,6500.0,3.25,3.25,3.25,3.25
19/11/20,3240.0,3.24,3.24,3.24,3.24
20/11/20,13000.0,3.25,3.25,3.25,3.25
23/11/20,0.0,0.0,0.0,0.0,0.0
03/12/20,2910.0,2.91,2.91,2.91,2.91
04/12/20,42860.0,3.25,3.3,3.34,3.25
09/12/20,3330.0,3.33,3.33,3.33,3.33
14/12/20,10070.0,3.36,3.35,3.36,3.35
15/12/20,3060.0,3.06,3.06,3.06,3.06
16/12/20,1476040.0,3.48,3.98,4.59,3.48
17/12/20,432310.0,4.45,3.93,4.45,3.66
18/12/20,60240.0,3.8,3.69,3.8,3.3
21/12/20,177030.0,3.72,3.46,3.75,3.36
22/12/20,639400.0,3.6,3.4,3.6,3.4
23/12/20,111540.0,3.38,3.38,3.38,3.38
28/12/20,37230.0,3.39,3.38,3.39,3.38
04/01/21,24580.0,3.36,3.53,3.55,3.36
06/01/21,568460.0,3.03,3.28,3.29,3.03
07/01/21,98220.0,3.2,3.18,3.28,3.11
08/01/21,128290.0,3.25,3.19,3.25,3.19
11/01/21,162370.0,3.14,3.38,3.38,3.04
