Date,Value,Open,Close,High,Low
02/01/20,2548.0,12.74,12.74,12.74,12.74
03/01/20,56392.0,12.74,11.0,12.74,11.0
06/01/20,13380.0,12.0,12.2,12.2,12.0
07/01/20,1230.0,12.3,12.3,12.3,12.3
08/01/20,1230.0,12.3,12.3,12.3,12.3
10/01/20,46110.0,13.96,13.94,13.98,13.92
14/01/20,2788.0,13.94,13.94,13.94,13.94
15/01/20,9758.0,13.94,13.94,13.94,13.94
16/01/20,1232.0,12.32,12.32,12.32,12.32
20/01/20,12940.0,12.94,12.94,12.94,12.94
22/01/20,25920.0,12.96,12.96,12.96,12.96
24/01/20,5544.0,13.86,13.86,13.86,13.86
27/01/20,6840.0,13.68,13.68,13.68,13.68
28/01/20,85252.0,12.92,12.92,12.92,12.9
29/01/20,1366.0,13.66,13.66,13.66,13.66
30/01/20,1366.0,13.66,13.66,13.66,13.66
31/01/20,13680.0,13.68,13.68,13.68,13.68
04/02/20,1368.0,13.68,13.68,13.68,13.68
05/02/20,26358.0,11.7,13.68,13.68,11.7
07/02/20,2424.0,12.12,12.12,12.12,12.12
10/02/20,34426.0,12.14,12.9,12.98,12.12
11/02/20,1290.0,12.9,12.9,12.9,12.9
12/02/20,4964.0,12.14,12.68,12.68,12.14
13/02/20,1214.0,12.14,12.14,12.14,12.14
14/02/20,19450.0,12.14,12.4,12.4,12.14
19/02/20,81244.0,12.14,12.12,12.14,12.12
20/02/20,12380.0,12.38,12.38,12.38,12.38
21/02/20,29144.0,12.16,12.14,12.16,12.14
24/02/20,55748.0,12.14,12.14,12.14,12.1
26/02/20,4856.0,12.14,12.14,12.14,12.14
27/02/20,1290.0,12.9,12.9,12.9,12.9
28/02/20,2518.0,12.6,12.58,12.6,12.58
02/03/20,1260.0,12.6,12.6,12.6,12.6
04/03/20,2476.0,12.38,12.38,12.38,12.38
05/03/20,226738.0,12.38,12.4,12.4,12.36
06/03/20,69410.0,12.0,11.54,12.0,11.54
09/03/20,127970.0,12.5,12.8,12.8,12.48
10/03/20,12840.0,13.0,11.54,13.0,11.54
11/03/20,93606.0,11.54,13.1,13.1,11.5
12/03/20,1310.0,13.1,13.1,13.1,13.1
13/03/20,1451764.0,11.32,11.0,11.32,11.0
16/03/20,11130.0,11.1,11.1,11.2,11.1
19/03/20,2200.0,11.0,11.0,11.0,11.0
20/03/20,39265.0,7.51,11.08,12.74,7.51
23/03/20,29374.0,12.48,11.9,12.48,11.9
24/03/20,20246.0,11.96,11.86,11.96,11.86
25/03/20,1176.0,11.76,11.76,11.76,11.76
26/03/20,28070.0,11.78,11.64,11.78,11.64
27/03/20,168396.0,11.64,11.5,11.64,11.0
30/03/20,18668.0,11.64,11.64,11.98,11.5
31/03/20,37120.0,11.6,11.6,11.6,11.6
01/04/20,14920.0,11.6,10.5,11.6,10.5
