Date,Value,Open,Close,High,Low
02/01/20,236400.0,4.6,4.8,4.8,4.5
14/01/20,46500.0,4.65,4.65,4.65,4.65
17/01/20,95920.0,4.79,4.8,4.8,4.79
20/01/20,241000.0,4.82,4.82,4.82,4.82
21/01/20,9740.0,4.87,4.87,4.87,4.87
22/01/20,88140.0,4.88,4.9,4.9,4.88
27/01/20,9700.0,4.85,4.85,4.85,4.85
28/01/20,9800.0,4.9,4.9,4.9,4.9
29/01/20,49150.0,4.91,4.92,4.92,4.91
31/01/20,49310.0,4.9,4.94,4.94,4.9
05/02/20,38800.0,4.85,4.85,4.85,4.85
06/02/20,144530.0,4.85,4.5,4.85,4.5
07/02/20,103210.0,4.5,4.12,4.5,4.09
11/02/20,26590.0,4.5,4.09,4.5,4.09
12/02/20,45650.0,4.15,4.15,4.15,4.15
19/02/20,1964760.0,4.41,4.8,4.97,4.4
20/02/20,1412210.0,4.75,4.98,5.44,4.69
21/02/20,67200.0,4.8,4.8,4.8,4.8
24/02/20,267590.0,4.7,4.9,4.9,4.68
27/02/20,14480.0,4.68,4.9,4.9,4.68
28/02/20,11056100.0,4.99,5.0,5.24,4.9
02/03/20,1204635.0,5.0,4.8,5.3,4.8
03/03/20,275020.0,4.81,4.95,5.03,4.55
04/03/20,74870.0,4.97,5.0,5.0,4.97
05/03/20,367966.0,4.94,5.0,5.0,4.71
06/03/20,94620.0,4.97,4.71,4.97,4.71
09/03/20,50980.0,4.6,4.98,4.98,4.6
10/03/20,94700.0,4.6,4.9,4.9,4.45
12/03/20,187010.0,4.5,4.4,4.81,4.4
13/03/20,326000.0,4.3,4.8,4.8,3.8
30/03/20,7300.0,3.5,3.8,3.8,3.5
31/03/20,46000.0,4.8,4.4,4.8,4.4
02/04/20,9200.0,4.6,4.6,4.6,4.6
07/04/20,23200.0,4.6,4.7,4.7,4.6
14/04/20,36800.0,4.6,4.6,4.6,4.6
17/04/20,4700.0,4.7,4.7,4.7,4.7
20/04/20,4700.0,4.7,4.7,4.7,4.7
21/04/20,40600.0,4.6,4.6,4.6,4.45
22/04/20,4700.0,4.7,4.7,4.7,4.7
24/04/20,4600.0,4.6,4.6,4.6,4.6
13/05/20,9090.0,4.5,4.59,4.59,4.5
27/05/20,4450.0,4.45,4.45,4.45,4.45
28/05/20,4590.0,4.59,4.59,4.59,4.59
08/06/20,97890.0,4.5,4.59,4.59,4.3
15/06/20,17890.0,4.45,4.59,4.59,4.4
23/06/20,9090.0,4.5,4.59,4.59,4.5
26/06/20,53880.0,4.5,4.59,4.59,4.35
29/06/20,183200.0,4.58,4.58,4.58,4.58
07/07/20,13580.0,4.5,4.58,4.58,4.5
15/07/20,107090.0,4.45,4.54,4.54,4.1
21/07/20,9040.0,4.5,4.54,4.54,4.5
30/07/20,4500.0,4.5,4.5,4.5,4.5
10/08/20,1176520.0,4.54,4.98,5.02,4.54
11/08/20,204720.0,4.75,4.61,4.75,4.61
12/08/20,58070.0,4.53,4.97,4.97,4.53
13/08/20,22620.0,4.53,4.52,4.53,4.52
14/08/20,63300.0,4.54,4.52,4.54,4.52
24/08/20,45120.0,4.52,4.51,4.52,4.51
28/08/20,54000.0,4.5,4.5,4.5,4.5
01/09/20,22500.0,4.5,4.5,4.5,4.5
04/09/20,31050.0,4.45,4.5,4.5,4.4
07/09/20,89640.0,4.5,4.49,4.5,4.4
08/09/20,35740.0,4.45,4.45,4.5,4.4
09/09/20,13250.0,4.4,4.4,4.45,4.4
10/09/20,4400.0,4.4,4.4,4.4,4.4
14/09/20,241450.0,4.35,4.45,4.45,4.2
15/09/20,4400.0,4.4,4.4,4.4,4.4
16/09/20,63560.0,4.35,4.21,4.45,4.2
17/09/20,16601940.0,4.93,4.5,4.93,4.15
18/09/20,4220.0,4.22,4.22,4.22,4.22
21/09/20,6525760.0,4.35,4.21,4.35,4.2
23/09/20,6683700.0,4.96,4.5,4.96,4.5
28/09/20,22569830.0,4.21,4.22,4.22,4.21
29/09/20,19808000.0,4.85,4.88,4.93,4.85
30/09/20,11007000.0,4.23,4.5,4.5,4.23
01/10/20,8720.0,4.35,4.37,4.37,4.35
05/10/20,8720.0,4.36,4.36,4.36,4.36
07/10/20,17410.0,4.36,4.33,4.36,4.33
08/10/20,4330.0,4.33,4.33,4.33,4.33
09/10/20,8660.0,4.33,4.33,4.33,4.33
15/10/20,8640.0,4.32,4.32,4.32,4.32
16/10/20,9340.0,4.67,4.67,4.67,4.67
19/10/20,138730.0,4.33,4.4,4.4,4.3
21/10/20,358510.0,4.33,4.41,4.41,4.01
22/10/20,48300.0,4.22,4.4,4.63,4.21
26/10/20,8800.0,4.4,4.4,4.4,4.4
03/11/20,47310.0,4.27,4.48,4.48,4.27
04/11/20,8600.0,4.3,4.3,4.3,4.3
05/11/20,26080.0,4.4,4.49,4.49,4.26
10/11/20,13260.0,4.42,4.42,4.42,4.42
23/11/20,0.0,0.0,0.0,0.0,0.0
24/11/20,44500.0,4.45,4.45,4.45,4.45
02/12/20,93270.0,4.47,4.4,4.5,4.4
03/12/20,17550.0,4.38,4.39,4.39,4.38
04/12/20,732100.0,4.41,4.43,4.5,4.4
07/12/20,31030.0,4.44,4.43,4.44,4.43
09/12/20,17690.0,4.43,4.42,4.43,4.42
10/12/20,4450.0,4.45,4.45,4.45,4.45
11/12/20,9050.0,4.46,4.59,4.59,4.46
14/12/20,32140.0,4.59,4.59,4.6,4.59
16/12/20,40109860.0,4.59,4.59,4.71,4.5
17/12/20,18360.0,4.6,4.58,4.6,4.58
18/12/20,223660.0,4.6,4.65,4.9,4.6
21/12/20,163880.0,4.59,4.55,4.59,4.53
22/12/20,9120.0,4.56,4.56,4.56,4.56
23/12/20,679500.0,4.53,4.53,4.53,4.53
29/12/20,1155890.0,4.52,4.45,4.52,4.45
04/01/21,362250.0,4.45,4.4,4.45,4.4
05/01/21,88000.0,4.4,4.4,4.4,4.4
07/01/21,760710.0,4.41,4.38,4.41,4.38
08/01/21,977320.0,4.4,4.35,4.4,4.35
11/01/21,259810.0,4.34,4.32,4.34,4.32
