Date,Value,Open,Close,High,Low
02/01/20,6357368.0,11.98,12.0,12.0,11.52
03/01/20,63781794.0,12.02,12.0,12.04,11.88
06/01/20,5379334.0,12.0,12.18,12.18,11.9
07/01/20,25325182.0,12.18,11.92,12.24,11.86
08/01/20,7953224.0,12.0,11.78,12.0,11.5
09/01/20,4377814.0,11.6,11.84,11.84,11.6
10/01/20,18094714.0,11.96,11.4,11.96,11.4
14/01/20,12647072.0,11.92,11.38,11.92,11.38
15/01/20,10693692.0,11.4,11.3,11.6,11.26
16/01/20,10520706.0,11.28,11.2,11.48,11.12
17/01/20,12069552.0,11.16,11.0,11.16,10.98
20/01/20,7504974.0,11.02,10.9,11.02,10.88
21/01/20,6882864.0,11.0,10.5,11.0,10.42
22/01/20,43252594.0,10.5,9.9,10.5,9.9
23/01/20,117573848.0,10.0,10.0,10.36,9.94
24/01/20,79647490.0,10.12,10.2,10.58,10.02
27/01/20,25068244.0,10.3,10.5,10.54,10.28
28/01/20,36880716.0,10.56,10.46,10.56,10.42
29/01/20,19575094.0,10.46,10.4,10.54,10.2
30/01/20,20307754.0,10.38,10.3,10.4,10.18
31/01/20,22373578.0,10.12,9.8,10.12,9.45
03/02/20,46461390.0,9.8,9.73,9.9,9.65
04/02/20,18148219.0,9.76,9.9,10.08,9.76
05/02/20,124145351.0,10.0,10.04,10.24,9.93
06/02/20,47315548.0,10.2,10.48,10.56,10.2
07/02/20,39533480.0,10.5,10.48,10.54,10.36
10/02/20,16533896.0,10.48,10.5,10.64,10.46
11/02/20,112012690.0,10.5,10.54,10.64,10.48
12/02/20,35316430.0,10.6,10.54,10.64,10.54
13/02/20,33985980.0,10.58,10.56,10.62,10.52
14/02/20,13087970.0,10.54,10.4,10.54,10.4
17/02/20,13488486.0,10.44,10.06,10.44,9.99
18/02/20,11152955.0,10.2,9.98,10.3,9.93
19/02/20,9108703.0,10.0,9.8,10.0,9.75
20/02/20,13893494.0,9.8,9.67,9.8,9.67
21/02/20,8947715.0,9.67,9.5,10.0,9.5
24/02/20,27435180.0,9.5,9.09,9.5,9.01
26/02/20,29445815.0,9.0,8.7,9.0,8.62
27/02/20,21041321.0,8.7,8.7,8.7,8.6
28/02/20,31937586.0,8.7,8.95,9.15,8.7
02/03/20,16684575.0,8.8,9.25,9.33,8.8
03/03/20,15725686.0,9.35,9.2,9.4,9.1
04/03/20,15090575.0,9.3,9.34,9.34,9.05
