Date,Value,Open,Close,High,Low
02/01/20,355030.0,2.42,2.4,2.42,2.37
03/01/20,1997070.0,2.38,2.37,2.38,2.36
06/01/20,596840.0,2.38,2.4,2.4,2.37
07/01/20,643690.0,2.4,2.41,2.45,2.37
08/01/20,661100.0,2.46,2.47,2.51,2.38
09/01/20,1309800.0,2.51,2.59,2.63,2.51
10/01/20,353530.0,2.58,2.47,2.58,2.42
14/01/20,135230.0,2.54,2.45,2.54,2.43
15/01/20,247660.0,2.45,2.45,2.52,2.45
16/01/20,90200.0,2.45,2.5,2.5,2.42
17/01/20,211330.0,2.42,2.49,2.5,2.4
20/01/20,81410.0,2.47,2.47,2.47,2.46
21/01/20,1329220.0,2.46,2.44,2.46,2.41
22/01/20,170640.0,2.4,2.43,2.43,2.4
23/01/20,228530.0,2.46,2.5,2.57,2.46
24/01/20,15079100.0,2.43,2.75,3.1,2.43
27/01/20,2846160.0,2.75,2.58,2.85,2.57
28/01/20,870340.0,2.59,2.52,2.64,2.52
29/01/20,813650.0,2.5,2.5,2.62,2.42
30/01/20,736790.0,2.5,2.37,2.5,2.37
31/01/20,1048940.0,2.37,2.28,2.48,2.21
03/02/20,496510.0,2.28,2.22,2.28,2.2
04/02/20,519750.0,2.2,2.25,2.39,2.15
05/02/20,1892730.0,2.2,2.18,2.22,2.15
06/02/20,1034020.0,2.2,2.16,2.2,2.16
07/02/20,598200.0,2.16,2.16,2.17,2.14
10/02/20,932940.0,2.15,2.11,2.15,2.11
11/02/20,137440.0,2.1,2.1,2.16,2.1
12/02/20,796440.0,2.1,2.16,2.21,2.1
13/02/20,557230.0,2.16,2.08,2.16,2.07
14/02/20,116480.0,2.08,2.08,2.08,2.08
17/02/20,264840.0,2.07,2.08,2.08,2.06
18/02/20,854230.0,2.06,2.1,2.1,2.05
19/02/20,73390.0,2.1,2.1,2.14,2.07
20/02/20,776780.0,2.06,1.93,2.06,1.92
21/02/20,128360.0,1.95,2.03,2.03,1.93
24/02/20,291110.0,1.96,1.93,1.96,1.93
26/02/20,678420.0,1.91,1.89,1.92,1.88
27/02/20,307020.0,1.89,1.96,1.96,1.85
28/02/20,44150.0,1.85,1.95,1.95,1.85
02/03/20,130690.0,1.9,1.92,1.95,1.9
03/03/20,121600.0,1.9,1.9,1.9,1.9
04/03/20,587300.0,1.9,1.87,1.9,1.85
05/03/20,108820.0,1.95,1.88,1.95,1.87
06/03/20,606010.0,1.86,1.8,1.9,1.8
09/03/20,520360.0,1.78,1.53,1.78,1.53
10/03/20,347870.0,1.51,1.62,1.65,1.5
11/03/20,523830.0,1.64,1.53,1.64,1.53
12/03/20,201980.0,1.53,1.4,1.53,1.4
13/03/20,24963750.0,1.33,1.25,1.33,1.13
16/03/20,242540.0,1.27,1.25,1.31,1.18
19/03/20,145100.0,1.15,1.15,1.15,1.02
20/03/20,37050.0,1.15,1.15,1.2,1.15
23/03/20,219090.0,1.19,1.3,1.3,1.15
24/03/20,210970.0,1.29,1.29,1.29,1.27
25/03/20,1001050.0,1.31,1.3,1.4,1.3
26/03/20,433680.0,1.38,1.37,1.38,1.3
27/03/20,1746580.0,1.37,1.38,1.5,1.28
30/03/20,13466860.0,1.3,1.34,1.5,1.3
31/03/20,157930.0,1.41,1.41,1.42,1.41
01/04/20,47110.0,1.43,1.43,1.43,1.35
02/04/20,32400.0,1.35,1.35,1.35,1.35
03/04/20,744900.0,1.3,1.3,1.3,1.3
06/04/20,188470.0,1.33,1.33,1.33,1.3
07/04/20,597300.0,1.33,1.35,1.4,1.31
08/04/20,769120.0,1.38,1.39,1.49,1.36
13/04/20,431680.0,1.39,1.37,1.39,1.37
14/04/20,460540.0,1.39,1.42,1.44,1.36
15/04/20,879980.0,1.42,1.43,1.55,1.42
16/04/20,218340.0,1.46,1.39,1.47,1.38
17/04/20,150740.0,1.45,1.41,1.45,1.41
20/04/20,397960.0,1.42,1.42,1.44,1.4
21/04/20,1763570.0,1.44,1.53,1.63,1.44
22/04/20,406390.0,1.55,1.49,1.55,1.44
23/04/20,325960.0,1.48,1.51,1.53,1.48
24/04/20,183260.0,1.51,1.5,1.51,1.5
27/04/20,202730.0,1.51,1.46,1.51,1.44
28/04/20,213340.0,1.47,1.48,1.49,1.44
29/04/20,139290.0,1.45,1.44,1.48,1.44
30/04/20,651010.0,1.44,1.54,1.55,1.44
04/05/20,538770.0,1.58,1.52,1.63,1.5
05/05/20,95420.0,1.51,1.52,1.61,1.46
06/05/20,119330.0,1.57,1.52,1.57,1.44
07/05/20,63580.0,1.52,1.52,1.52,1.47
08/05/20,516980.0,1.47,1.51,1.51,1.47
11/05/20,34150.0,1.47,1.5,1.5,1.47
12/05/20,21950.0,1.46,1.51,1.51,1.46
13/05/20,49600.0,1.47,1.51,1.51,1.45
14/05/20,400290.0,1.45,1.41,1.5,1.4
15/05/20,510850.0,1.41,1.51,1.53,1.41
18/05/20,43940.0,1.53,1.52,1.53,1.41
19/05/20,94360.0,1.42,1.43,1.43,1.42
20/05/20,4430.0,1.43,1.5,1.5,1.43
21/05/20,699690.0,1.5,1.44,1.5,1.44
22/05/20,1440.0,1.44,1.44,1.44,1.44
26/05/20,191520.0,1.44,1.44,1.44,1.44
27/05/20,28480.0,1.46,1.42,1.46,1.42
28/05/20,28400.0,1.42,1.42,1.42,1.42
29/05/20,152650.0,1.42,1.41,1.42,1.41
01/06/20,221150.0,1.44,1.46,1.46,1.44
02/06/20,117600.0,1.48,1.48,1.5,1.48
03/06/20,769130.0,1.49,1.49,1.49,1.4
04/06/20,301940.0,1.5,1.51,1.51,1.5
05/06/20,3314980.0,1.45,1.64,1.64,1.45
08/06/20,1774200.0,1.65,1.78,1.79,1.65
09/06/20,647690.0,1.79,1.82,1.82,1.74
10/06/20,4246220.0,1.8,1.75,1.8,1.64
