Date,Value,Open,Close,High,Low
02/01/20,12220.0,0.094,0.094,0.094,0.094
03/01/20,10180.0,0.092,0.095,0.095,0.092
06/01/20,1339190.0,0.097,0.104,0.106,0.097
07/01/20,186880.0,0.104,0.102,0.104,0.1
08/01/20,881320.0,0.106,0.103,0.109,0.103
09/01/20,656580.0,0.102,0.098,0.102,0.097
10/01/20,178280.0,0.099,0.1,0.101,0.098
14/01/20,24060.0,0.101,0.101,0.101,0.1
15/01/20,31920.0,0.101,0.099,0.101,0.099
16/01/20,51060.0,0.099,0.1,0.1,0.098
17/01/20,198960.0,0.098,0.098,0.098,0.096
20/01/20,17780.0,0.098,0.099,0.099,0.098
21/01/20,175320.0,0.098,0.098,0.098,0.093
22/01/20,96030.0,0.099,0.099,0.099,0.094
23/01/20,39120.0,0.093,0.098,0.098,0.092
24/01/20,288720.0,0.094,0.095,0.098,0.094
27/01/20,146430.0,0.097,0.097,0.099,0.096
28/01/20,950.0,0.095,0.095,0.095,0.095
29/01/20,42850.0,0.095,0.096,0.096,0.095
30/01/20,1940.0,0.097,0.097,0.097,0.097
31/01/20,65010.0,0.096,0.098,0.098,0.095
03/02/20,558210.0,0.094,0.098,0.102,0.094
04/02/20,962150.0,0.095,0.095,0.098,0.095
05/02/20,117080.0,0.095,0.095,0.095,0.094
06/02/20,282000.0,0.094,0.094,0.094,0.094
07/02/20,33250.0,0.095,0.095,0.095,0.095
10/02/20,10350.0,0.094,0.095,0.095,0.094
11/02/20,238520.0,0.093,0.095,0.095,0.092
12/02/20,34760.0,0.095,0.096,0.096,0.091
13/02/20,27020.0,0.091,0.095,0.095,0.091
14/02/20,347810.0,0.095,0.095,0.095,0.093
17/02/20,195590.0,0.093,0.094,0.094,0.093
18/02/20,63970.0,0.096,0.094,0.097,0.093
19/02/20,101560.0,0.094,0.095,0.096,0.094
20/02/20,109350.0,0.093,0.095,0.095,0.093
21/02/20,164170.0,0.095,0.095,0.095,0.094
24/02/20,33850.0,0.094,0.095,0.095,0.094
26/02/20,517660.0,0.096,0.095,0.098,0.091
27/02/20,83250.0,0.096,0.09,0.096,0.09
28/02/20,72460.0,0.095,0.09,0.095,0.09
02/03/20,920.0,0.092,0.092,0.092,0.092
03/03/20,940.0,0.094,0.094,0.094,0.094
04/03/20,63900.0,0.09,0.09,0.09,0.09
05/03/20,46800.0,0.09,0.09,0.09,0.09
06/03/20,28800.0,0.089,0.093,0.093,0.089
09/03/20,362130.0,0.088,0.085,0.089,0.085
10/03/20,60890.0,0.086,0.091,0.091,0.08
11/03/20,2380.0,0.07,0.088,0.088,0.07
12/03/20,14080.0,0.088,0.085,0.091,0.085
13/03/20,451590.0,0.09,0.085,0.09,0.07
16/03/20,64750.0,0.073,0.083,0.083,0.073
19/03/20,35620.0,0.07,0.08,0.08,0.063
20/03/20,190640.0,0.066,0.066,0.068,0.066
23/03/20,286650.0,0.066,0.07,0.07,0.06
24/03/20,91260.0,0.07,0.067,0.07,0.061
25/03/20,177580.0,0.068,0.066,0.071,0.065
26/03/20,41960.0,0.066,0.064,0.068,0.063
27/03/20,88440.0,0.07,0.074,0.074,0.068
30/03/20,72140.0,0.074,0.069,0.074,0.068
31/03/20,9230.0,0.071,0.071,0.071,0.071
01/04/20,385930.0,0.074,0.075,0.075,0.072
02/04/20,321480.0,0.076,0.076,0.076,0.076
03/04/20,96570.0,0.076,0.074,0.078,0.074
06/04/20,331370.0,0.074,0.071,0.074,0.07
07/04/20,190430.0,0.072,0.071,0.076,0.07
08/04/20,259820.0,0.071,0.077,0.077,0.071
13/04/20,61080.0,0.073,0.074,0.075,0.073
14/04/20,674100.0,0.076,0.078,0.08,0.076
15/04/20,268240.0,0.08,0.079,0.082,0.079
16/04/20,605680.0,0.078,0.079,0.082,0.078
20/04/20,404360.0,0.08,0.08,0.08,0.079
21/04/20,362420.0,0.08,0.08,0.08,0.079
22/04/20,57850.0,0.081,0.08,0.081,0.08
23/04/20,502450.0,0.081,0.077,0.081,0.077
24/04/20,1259720.0,0.079,0.083,0.085,0.079
27/04/20,319150.0,0.085,0.084,0.085,0.083
28/04/20,251220.0,0.081,0.082,0.084,0.081
29/04/20,139310.0,0.081,0.084,0.084,0.081
30/04/20,781230.0,0.082,0.081,0.083,0.081
04/05/20,282200.0,0.081,0.081,0.083,0.08
