Date,Value,Open,Close,High,Low
07/01/20,78925.0,41.55,44.95,45.0,41.55
20/01/20,4210.0,42.1,42.1,42.1,42.1
22/01/20,4250.0,42.5,42.5,42.5,42.5
23/01/20,326130.0,43.0,41.5,45.0,41.45
24/01/20,4200.0,42.0,42.0,42.0,42.0
27/01/20,12450.0,41.5,41.5,41.5,41.5
29/01/20,210000.0,42.0,42.0,42.0,42.0
03/02/20,428390.0,41.95,42.0,42.0,41.95
06/02/20,2705.0,27.05,27.05,27.05,27.05
17/02/20,3405.0,34.05,34.05,34.05,34.05
24/02/20,27825.0,35.05,34.05,35.05,34.05
10/03/20,2805.0,28.05,28.05,28.05,28.05
13/03/20,2800.0,28.0,28.0,28.0,28.0
26/03/20,46145.0,41.95,41.95,41.95,41.95
27/03/20,24200.0,41.0,40.0,41.0,40.0
01/04/20,2995.0,29.95,29.95,29.95,29.95
02/04/20,18200.0,30.3,30.35,30.35,30.3
06/04/20,3700.0,37.0,37.0,37.0,37.0
07/04/20,31200.0,39.0,39.0,39.0,39.0
14/04/20,3500.0,35.0,35.0,35.0,35.0
15/04/20,3505.0,35.05,35.05,35.05,35.05
12/05/20,3900.0,39.0,39.0,39.0,39.0
27/05/20,16000.0,40.0,40.0,40.0,40.0
28/05/20,144000.0,40.0,40.0,40.0,40.0
29/05/20,16000.0,40.0,40.0,40.0,40.0
04/06/20,40000.0,40.0,40.0,40.0,40.0
17/06/20,4000.0,40.0,40.0,40.0,40.0
19/06/20,16000.0,40.0,40.0,40.0,40.0
25/06/20,8400.0,43.0,41.0,43.0,41.0
03/07/20,17200.0,43.0,43.0,43.0,43.0
06/07/20,21500.0,43.0,43.0,43.0,43.0
07/07/20,25800.0,43.0,43.0,43.0,43.0
08/07/20,17200.0,43.0,43.0,43.0,43.0
24/08/20,4300.0,43.0,43.0,43.0,43.0
03/09/20,8600.0,43.0,43.0,43.0,43.0
18/09/20,11700.0,39.0,39.0,39.0,39.0
23/09/20,3950.0,39.5,39.5,39.5,39.5
05/10/20,3505.0,35.05,35.05,35.05,35.05
21/10/20,35200.0,35.2,35.2,35.2,35.2
27/10/20,2424780.0,35.45,35.45,35.45,35.45
29/10/20,3565.0,35.65,35.65,35.65,35.65
09/11/20,3570.0,35.7,35.7,35.7,35.7
10/11/20,58850.0,36.05,38.0,38.0,36.05
11/11/20,13410.0,44.7,44.7,44.7,44.7
13/11/20,26895.0,44.95,44.7,44.95,44.7
16/11/20,149800.0,49.0,50.0,51.0,49.0
17/11/20,275755.0,50.0,62.0,67.0,50.0
18/11/20,111131.0,64.5,62.5,64.5,62.5
19/11/20,185344.0,52.15,59.5,60.0,52.15
20/11/20,70792.5,52.1,55.45,55.6,52.0
23/11/20,74812.0,55.0,52.0,55.5,52.0
24/11/20,25000.0,52.0,50.0,52.0,50.0
25/11/20,3500.0,50.0,50.0,50.0,50.0
26/11/20,1714496.0,46.0,67.9,72.0,46.0
27/11/20,1232861.5,70.05,65.2,75.0,61.65
01/12/20,292330.0,65.2,66.5,66.5,65.2
02/12/20,760147.0,66.55,59.5,70.5,59.5
03/12/20,97534.0,63.0,63.0,63.0,60.0
04/12/20,923822.0,59.0,58.1,59.9,58.0
07/12/20,540143.0,58.9,59.2,59.7,55.0
09/12/20,2732796.5,59.2,55.0,59.9,55.0
10/12/20,5573551.5,57.0,54.5,57.0,52.0
11/12/20,43161856.0,52.5,50.0,53.85,50.0
14/12/20,7731265.0,50.2,50.0,51.0,49.0
15/12/20,9099715.5,45.75,46.45,48.5,45.0
16/12/20,1186075.0,46.1,46.0,46.2,45.1
17/12/20,840590.0,46.95,45.9,46.95,45.0
18/12/20,511810.0,45.8,45.1,45.8,45.0
21/12/20,1079790.0,45.2,43.0,45.2,42.25
22/12/20,987160.0,42.3,40.2,42.3,40.0
23/12/20,329385.0,40.2,41.5,41.9,40.0
28/12/20,578185.0,40.25,40.0,40.25,38.65
29/12/20,455910.0,40.0,38.6,40.0,38.0
04/01/21,179200.0,39.8,39.0,39.8,38.0
05/01/21,102425.0,39.65,39.65,39.65,38.15
06/01/21,289305.0,39.9,39.0,40.5,39.0
07/01/21,539420.0,39.0,39.0,39.6,37.05
08/01/21,230190.0,39.0,39.0,39.35,38.95
11/01/21,255700.0,38.05,38.95,39.0,37.85
