Date,Value,Open,Close,High,Low
02/01/20,985.0,0.485,0.5,0.5,0.485
03/01/20,13860.0,0.485,0.5,0.5,0.485
06/01/20,52415.0,0.485,0.495,0.5,0.48
07/01/20,20600.0,0.51,0.5,0.53,0.5
08/01/20,2030.0,0.52,0.5,0.52,0.5
09/01/20,1980.0,0.5,0.5,0.5,0.49
10/01/20,14765.0,0.5,0.5,0.5,0.49
14/01/20,62335.0,0.5,0.5,0.5,0.49
15/01/20,16200.0,0.5,0.5,0.5,0.49
16/01/20,159970.0,0.49,0.49,0.5,0.485
17/01/20,88900.0,0.495,0.495,0.495,0.485
20/01/20,9950.0,0.5,0.495,0.5,0.495
21/01/20,183400.0,0.5,0.5,0.5,0.49
22/01/20,2985.0,0.5,0.5,0.5,0.49
23/01/20,29905.0,0.5,0.5,0.5,0.485
24/01/20,104175.0,0.5,0.5,0.5,0.485
27/01/20,553515.0,0.5,0.52,0.53,0.495
28/01/20,65620.0,0.52,0.52,0.52,0.5
29/01/20,60380.0,0.51,0.5,0.51,0.485
30/01/20,123305.0,0.5,0.5,0.5,0.485
31/01/20,195055.0,0.5,0.5,0.5,0.48
03/02/20,79495.0,0.48,0.5,0.5,0.475
04/02/20,1485.0,0.5,0.5,0.5,0.485
05/02/20,1490.0,0.5,0.5,0.5,0.49
06/02/20,33945.0,0.5,0.5,0.5,0.485
07/02/20,74235.0,0.5,0.5,0.5,0.48
10/02/20,44970.0,0.5,0.5,0.5,0.48
11/02/20,55900.0,0.5,0.5,0.5,0.49
12/02/20,17645.0,0.49,0.49,0.495,0.49
13/02/20,19550.0,0.495,0.49,0.495,0.485
14/02/20,14700.0,0.495,0.49,0.495,0.485
17/02/20,24550.0,0.495,0.49,0.495,0.49
18/02/20,14650.0,0.49,0.49,0.49,0.485
19/02/20,825850.0,0.49,0.49,0.49,0.48
20/02/20,14650.0,0.49,0.49,0.49,0.485
21/02/20,9750.0,0.49,0.485,0.49,0.485
24/02/20,53800.0,0.485,0.49,0.495,0.485
26/02/20,9750.0,0.49,0.485,0.49,0.485
27/02/20,67900.0,0.49,0.485,0.49,0.48
28/02/20,251400.0,0.49,0.47,0.49,0.47
02/03/20,83900.0,0.47,0.46,0.47,0.46
03/03/20,422700.0,0.47,0.455,0.47,0.455
04/03/20,532300.0,0.455,0.455,0.455,0.45
05/03/20,18300.0,0.455,0.465,0.465,0.45
06/03/20,83500.0,0.465,0.465,0.465,0.455
09/03/20,60100.0,0.46,0.465,0.47,0.46
10/03/20,194450.0,0.455,0.455,0.46,0.45
11/03/20,150100.0,0.455,0.45,0.455,0.45
12/03/20,198450.0,0.45,0.43,0.45,0.43
13/03/20,164350.0,0.43,0.415,0.43,0.415
16/03/20,86550.0,0.455,0.41,0.455,0.41
19/03/20,337250.0,0.405,0.38,0.405,0.38
20/03/20,251300.0,0.38,0.375,0.38,0.375
23/03/20,11350.0,0.39,0.375,0.39,0.37
24/03/20,38150.0,0.38,0.4,0.4,0.37
25/03/20,50950.0,0.4,0.405,0.455,0.395
26/03/20,21450.0,0.4,0.42,0.45,0.4
27/03/20,25500.0,0.455,0.415,0.455,0.415
30/03/20,12450.0,0.41,0.41,0.425,0.41
31/03/20,28350.0,0.4,0.405,0.415,0.4
02/04/20,122000.0,0.405,0.41,0.41,0.405
03/04/20,8150.0,0.41,0.405,0.41,0.405
06/04/20,8250.0,0.4,0.425,0.425,0.4
07/04/20,12800.0,0.425,0.42,0.435,0.42
08/04/20,128000.0,0.425,0.43,0.43,0.425
13/04/20,64200.0,0.43,0.455,0.49,0.43
14/04/20,33850.0,0.455,0.465,0.52,0.455
15/04/20,227950.0,0.47,0.455,0.47,0.45
16/04/20,150350.0,0.455,0.435,0.465,0.435
17/04/20,17850.0,0.45,0.45,0.45,0.435
20/04/20,17800.0,0.445,0.45,0.45,0.435
21/04/20,31650.0,0.455,0.45,0.46,0.45
22/04/20,31600.0,0.45,0.45,0.46,0.45
23/04/20,36300.0,0.455,0.46,0.465,0.45
24/04/20,71200.0,0.46,0.47,0.5,0.46
27/04/20,73400.0,0.475,0.485,0.52,0.475
28/04/20,88500.0,0.485,0.48,0.5,0.48
29/04/20,14650.0,0.495,0.485,0.495,0.485
30/04/20,19500.0,0.49,0.48,0.495,0.48
04/05/20,38400.0,0.48,0.485,0.485,0.475
05/05/20,67100.0,0.485,0.5,0.55,0.485
06/05/20,41305.0,0.54,0.51,0.61,0.495
07/05/20,37760.0,0.53,0.52,0.55,0.51
08/05/20,35980.0,0.51,0.53,0.55,0.51
11/05/20,38700.0,0.52,0.52,0.55,0.52
12/05/20,168200.0,0.52,0.54,0.57,0.52
13/05/20,117270.0,0.54,0.55,0.56,0.53
14/05/20,43260.0,0.56,0.53,0.56,0.52
15/05/20,4800.0,0.53,0.53,0.55,0.53
18/05/20,566780.0,0.53,0.5,0.55,0.5
19/05/20,36230.0,0.5,0.52,0.55,0.5
20/05/20,51800.0,0.52,0.52,0.55,0.51
21/05/20,15950.0,0.52,0.54,0.54,0.51
22/05/20,25620.0,0.52,0.53,0.54,0.52
26/05/20,2090.0,0.53,0.53,0.53,0.51
27/05/20,66600.0,0.53,0.52,0.53,0.51
28/05/20,22460.0,0.51,0.52,0.55,0.51
29/05/20,41870.0,0.52,0.53,0.56,0.52
01/06/20,32270.0,0.55,0.52,0.55,0.52
02/06/20,22390.0,0.52,0.52,0.54,0.52
03/06/20,17730.0,0.51,0.52,0.56,0.51
04/06/20,212970.0,0.52,0.51,0.54,0.51
05/06/20,8430.0,0.51,0.52,0.54,0.51
08/06/20,26740.0,0.52,0.52,0.55,0.52
09/06/20,97250.0,0.52,0.52,0.54,0.52
10/06/20,19270.0,0.52,0.52,0.54,0.52
11/06/20,120210.0,0.52,0.52,0.55,0.52
15/06/20,393380.0,0.53,0.53,0.55,0.51
16/06/20,15576840.0,0.54,0.57,0.61,0.53
17/06/20,21761520.0,0.6,0.65,0.72,0.57
18/06/20,13190150.0,0.66,0.65,0.69,0.62
19/06/20,1281090.0,0.65,0.61,0.68,0.6
22/06/20,9065940.0,0.61,0.61,0.65,0.6
23/06/20,8822020.0,0.62,0.67,0.69,0.61
24/06/20,904050.0,0.67,0.63,0.67,0.62
25/06/20,484470.0,0.63,0.64,0.64,0.61
26/06/20,15487530.0,0.63,0.67,0.69,0.63
29/06/20,7516970.0,0.67,0.76,0.76,0.65
30/06/20,6184830.0,0.78,0.73,0.81,0.71
01/07/20,3200470.0,0.75,0.7,0.75,0.67
02/07/20,1616650.0,0.7,0.7,0.74,0.67
03/07/20,4006390.0,0.7,0.65,0.72,0.64
06/07/20,1597630.0,0.65,0.66,0.69,0.64
07/07/20,1004570.0,0.67,0.67,0.69,0.66
08/07/20,1548260.0,0.67,0.69,0.71,0.65
09/07/20,2566070.0,0.7,0.73,0.75,0.69
10/07/20,7291970.0,0.74,0.76,0.79,0.73
13/07/20,2579040.0,0.78,0.69,0.78,0.68
14/07/20,16990250.0,0.67,0.56,0.71,0.56
15/07/20,3150320.0,0.6,0.58,0.63,0.57
