Date,Value,Open,Close,High,Low
02/01/20,2654680.0,3.71,3.7,3.72,3.7
03/01/20,389440.0,3.7,3.72,3.75,3.7
06/01/20,1268760.0,3.75,3.82,3.84,3.75
07/01/20,2781320.0,3.84,3.88,3.89,3.83
08/01/20,2588230.0,3.92,3.85,3.95,3.85
09/01/20,2450820.0,3.85,3.84,3.87,3.82
10/01/20,4204070.0,3.86,3.83,3.86,3.82
14/01/20,2008910.0,3.78,3.76,3.9,3.75
15/01/20,265830.0,3.76,3.72,3.76,3.72
16/01/20,1295250.0,3.71,3.71,3.71,3.69
17/01/20,2387970.0,3.71,3.71,3.77,3.7
20/01/20,447600.0,3.69,3.71,3.72,3.69
21/01/20,1000800.0,3.67,3.69,3.77,3.67
22/01/20,653670.0,3.69,3.71,3.72,3.69
23/01/20,25930.0,3.69,3.71,3.71,3.69
24/01/20,2359670.0,3.69,3.71,3.75,3.69
27/01/20,1515340.0,3.71,3.74,3.76,3.71
28/01/20,1614990.0,3.76,3.78,3.78,3.74
29/01/20,8502850.0,3.78,3.73,3.78,3.72
30/01/20,834200.0,3.72,3.72,3.74,3.72
31/01/20,4158560.0,3.72,3.72,3.72,3.71
03/02/20,10226350.0,3.72,3.69,3.78,3.69
04/02/20,1369270.0,3.69,3.7,3.71,3.69
05/02/20,8745940.0,3.7,3.71,3.8,3.7
06/02/20,67080.0,3.72,3.72,3.84,3.72
07/02/20,119560.0,3.73,3.78,3.78,3.73
10/02/20,27546700.0,3.73,3.75,3.8,3.7
11/02/20,1108860.0,3.88,3.77,3.88,3.7
12/02/20,1662900.0,3.77,3.77,3.88,3.77
13/02/20,6801930.0,3.8,3.77,3.8,3.77
14/02/20,5029660.0,3.8,3.8,3.8,3.77
17/02/20,20465070.0,3.81,3.81,3.81,3.8
18/02/20,523300.0,3.81,3.77,3.81,3.77
19/02/20,1918430.0,3.77,3.75,3.78,3.75
20/02/20,4388390.0,3.8,4.0,4.1,3.8
21/02/20,1754790.0,4.01,3.88,4.05,3.81
24/02/20,1889810.0,4.0,3.96,4.05,3.81
26/02/20,728820.0,3.9,3.99,4.0,3.81
27/02/20,1324430.0,4.17,3.98,4.17,3.81
28/02/20,3017440.0,3.88,3.7,3.88,3.7
02/03/20,1381490.0,3.7,3.71,3.84,3.7
03/03/20,4190330.0,3.83,3.71,3.83,3.7
04/03/20,1582390.0,3.71,3.7,3.71,3.7
05/03/20,4532290.0,3.71,3.7,3.73,3.7
06/03/20,237810.0,3.7,3.7,3.75,3.7
09/03/20,5589840.0,3.69,3.69,3.69,3.68
10/03/20,2397590.0,3.67,3.71,3.71,3.67
11/03/20,226650.0,3.71,3.71,3.84,3.7
12/03/20,18747520.0,3.71,3.68,3.71,3.68
13/03/20,2823440.0,3.68,3.66,3.68,3.48
16/03/20,280600.0,3.48,3.4,3.48,3.4
19/03/20,5517460.0,3.45,2.9,3.45,2.62
20/03/20,3120580.0,3.0,2.9,3.01,2.9
23/03/20,1801060.0,3.0,2.79,3.0,2.76
24/03/20,277360.0,2.85,2.83,2.85,2.81
25/03/20,831230.0,2.8,2.83,2.83,2.78
26/03/20,964160.0,2.83,3.0,3.0,2.78
27/03/20,320290.0,2.92,2.98,3.1,2.82
30/03/20,688890.0,2.83,2.83,2.83,2.82
31/03/20,3094550.0,2.9,2.79,2.9,2.79
01/04/20,96680.0,2.82,2.86,2.86,2.82
02/04/20,669610.0,2.86,2.79,2.86,2.79
03/04/20,886840.0,2.83,2.81,2.89,2.79
06/04/20,1001940.0,2.93,2.85,2.93,2.82
07/04/20,2254550.0,3.54,2.96,3.54,2.91
08/04/20,3117470.0,3.0,2.87,3.0,2.81
13/04/20,1096710.0,2.81,2.82,2.84,2.81
14/04/20,3368300.0,2.83,2.85,2.87,2.81
15/04/20,1297640.0,2.86,2.89,2.92,2.86
16/04/20,4425590.0,2.89,2.88,2.92,2.8
17/04/20,7646360.0,2.81,2.79,2.87,2.78
20/04/20,5307690.0,2.8,2.78,2.83,2.78
21/04/20,1363620.0,2.8,2.77,2.82,2.77
22/04/20,1792800.0,2.77,2.74,2.77,2.73
23/04/20,1695700.0,2.75,2.73,2.78,2.73
24/04/20,2175100.0,2.72,2.69,2.73,2.62
27/04/20,898440.0,2.69,2.63,2.69,2.63
28/04/20,3179420.0,2.85,2.68,2.85,2.67
29/04/20,936680.0,2.68,2.67,2.7,2.67
30/04/20,10735930.0,2.67,2.62,2.68,2.62
04/05/20,15175270.0,2.62,2.57,2.64,2.47
05/05/20,14083180.0,2.69,2.55,2.69,2.55
06/05/20,26138250.0,2.49,2.45,2.5,2.4
07/05/20,30673280.0,2.5,2.68,2.68,2.45
08/05/20,13239690.0,2.69,2.76,2.79,2.56
11/05/20,8434180.0,2.72,2.71,2.74,2.65
12/05/20,7489530.0,2.74,2.62,2.74,2.61
13/05/20,4543130.0,2.61,2.57,2.63,2.56
14/05/20,10506420.0,2.75,2.69,2.77,2.67
15/05/20,1072360.0,2.69,2.63,2.69,2.61
18/05/20,11231930.0,2.61,2.5,2.61,2.5
19/05/20,13770820.0,2.5,2.45,2.61,2.45
20/05/20,1675550.0,2.44,2.48,2.48,2.44
21/05/20,4614640.0,2.45,2.46,2.5,2.45
22/05/20,4028730.0,2.46,2.45,2.46,2.43
26/05/20,4176340.0,2.45,2.45,2.48,2.45
27/05/20,8687030.0,2.44,2.43,2.45,2.43
28/05/20,6093700.0,2.42,2.41,2.5,2.4
29/05/20,8411000.0,2.5,2.4,2.5,2.4
01/06/20,3878900.0,2.44,2.43,2.44,2.38
02/06/20,1398680.0,2.47,2.45,2.48,2.42
03/06/20,880170.0,2.48,2.58,2.58,2.48
04/06/20,2352720.0,2.59,2.58,2.6,2.55
05/06/20,3681780.0,2.57,2.63,2.66,2.52
08/06/20,6386200.0,2.63,2.7,2.73,2.63
09/06/20,3176880.0,2.7,2.71,2.72,2.7
10/06/20,2545410.0,2.72,2.68,2.72,2.68
11/06/20,1276160.0,2.65,2.69,2.71,2.65
15/06/20,1233900.0,2.69,2.61,2.69,2.6
16/06/20,533320.0,2.61,2.63,2.64,2.6
17/06/20,204810.0,2.65,2.63,2.65,2.62
