Date,Value,Open,Close,High,Low
02/01/20,107750.0,0.87,0.86,0.87,0.86
03/01/20,65250.0,0.87,0.87,0.87,0.87
06/01/20,2640.0,0.88,0.88,0.88,0.88
07/01/20,88000.0,0.88,0.88,0.88,0.88
16/01/20,59620.0,0.86,0.9,0.9,0.86
17/01/20,144000.0,0.9,0.9,0.9,0.9
20/01/20,269740.0,0.9,0.92,0.92,0.9
21/01/20,116410.0,0.88,0.92,0.92,0.87
22/01/20,110540.0,0.91,0.94,0.94,0.91
23/01/20,9460.0,0.97,0.94,0.97,0.94
24/01/20,10350.0,0.94,0.95,0.95,0.94
28/01/20,27010.0,0.88,0.95,0.95,0.88
29/01/20,33580.0,0.95,0.96,0.98,0.89
30/01/20,20980.0,0.98,0.96,0.98,0.9
03/02/20,3730.0,0.9,0.95,0.95,0.9
04/02/20,50760.0,0.95,0.95,0.95,0.9
05/02/20,117540.0,0.95,0.98,0.98,0.95
06/02/20,1940.0,0.96,0.98,0.98,0.96
07/02/20,4800.0,0.96,0.96,0.96,0.96
10/02/20,51910.0,0.87,0.94,0.96,0.87
12/02/20,9790.0,0.88,0.94,0.94,0.88
13/02/20,70040.0,0.9,0.96,0.96,0.89
18/02/20,30860.0,0.88,0.94,0.94,0.88
26/02/20,129940.0,0.87,0.9,0.91,0.85
27/02/20,930.0,0.93,0.93,0.93,0.93
03/03/20,43130.0,0.82,0.93,0.93,0.82
04/03/20,68330.0,0.82,0.91,0.91,0.81
06/03/20,301570.0,0.91,0.93,0.96,0.9
09/03/20,67880.0,0.84,0.92,0.92,0.84
10/03/20,282950.0,0.82,0.89,0.89,0.82
11/03/20,77530.0,0.83,0.89,0.89,0.82
12/03/20,122260.0,0.82,0.75,0.82,0.75
13/03/20,305500.0,0.7,0.73,0.73,0.7
19/03/20,9740.0,0.68,0.61,0.68,0.61
20/03/20,14030.0,0.61,0.61,0.61,0.61
23/03/20,18600.0,0.62,0.62,0.62,0.62
25/03/20,21000.0,0.7,0.7,0.7,0.7
30/03/20,122000.0,0.61,0.61,0.61,0.61
31/03/20,21000.0,0.7,0.7,0.7,0.7
01/04/20,3500.0,0.7,0.7,0.7,0.7
