Date,Value,Open,Close,High,Low
02/01/20,10950.0,0.365,0.365,0.365,0.365
06/01/20,3650.0,0.365,0.365,0.365,0.365
07/01/20,10800.0,0.36,0.36,0.36,0.36
09/01/20,173750.0,0.32,0.34,0.34,0.31
10/01/20,49600.0,0.345,0.36,0.36,0.345
14/01/20,25150.0,0.355,0.36,0.36,0.355
16/01/20,53600.0,0.37,0.35,0.37,0.35
17/01/20,17500.0,0.35,0.35,0.35,0.35
20/01/20,27200.0,0.34,0.34,0.34,0.34
21/01/20,10542000.0,0.34,0.465,0.5,0.34
22/01/20,1741900.0,0.48,0.44,0.485,0.425
23/01/20,593200.0,0.43,0.45,0.45,0.415
24/01/20,477200.0,0.42,0.42,0.435,0.415
27/01/20,497300.0,0.43,0.41,0.43,0.41
28/01/20,674600.0,0.41,0.38,0.41,0.38
29/01/20,239800.0,0.39,0.38,0.395,0.38
30/01/20,40100.0,0.385,0.4,0.42,0.385
31/01/20,78550.0,0.395,0.39,0.42,0.39
03/02/20,86800.0,0.375,0.375,0.39,0.375
04/02/20,90200.0,0.375,0.43,0.43,0.375
05/02/20,126450.0,0.43,0.43,0.435,0.41
06/02/20,26950.0,0.385,0.385,0.385,0.385
07/02/20,72150.0,0.385,0.41,0.42,0.385
10/02/20,17142750.0,0.385,0.475,0.53,0.385
11/02/20,4641800.0,0.48,0.42,0.48,0.42
12/02/20,2576150.0,0.41,0.41,0.51,0.41
13/02/20,117650.0,0.42,0.425,0.425,0.41
14/02/20,944950.0,0.435,0.42,0.45,0.41
17/02/20,134900.0,0.405,0.44,0.44,0.405
18/02/20,192350.0,0.44,0.405,0.445,0.405
19/02/20,65800.0,0.405,0.41,0.415,0.405
20/02/20,24750.0,0.41,0.41,0.42,0.41
21/02/20,260350.0,0.41,0.41,0.425,0.41
24/02/20,209300.0,0.41,0.41,0.42,0.41
26/02/20,985500.0,0.4,0.39,0.4,0.37
27/02/20,72750.0,0.375,0.42,0.42,0.375
28/02/20,547300.0,0.375,0.42,0.43,0.375
02/03/20,98200.0,0.4,0.4,0.4,0.385
03/03/20,143100.0,0.38,0.385,0.4,0.375
04/03/20,11450.0,0.38,0.385,0.385,0.38
05/03/20,11550.0,0.38,0.395,0.395,0.38
06/03/20,751700.0,0.385,0.365,0.425,0.365
09/03/20,562550.0,0.355,0.265,0.38,0.21
10/03/20,518750.0,0.33,0.35,0.395,0.29
11/03/20,2786850.0,0.395,0.4,0.445,0.39
12/03/20,910050.0,0.4,0.35,0.425,0.35
13/03/20,314000.0,0.305,0.31,0.32,0.305
16/03/20,108600.0,0.3,0.32,0.32,0.3
19/03/20,51100.0,0.31,0.3,0.31,0.29
20/03/20,60000.0,0.3,0.3,0.3,0.3
24/03/20,184850.0,0.285,0.28,0.285,0.28
25/03/20,51250.0,0.3,0.28,0.3,0.27
26/03/20,45350.0,0.26,0.27,0.28,0.26
27/03/20,100900.0,0.275,0.28,0.3,0.275
30/03/20,5300.0,0.265,0.265,0.265,0.265
31/03/20,102700.0,0.26,0.26,0.27,0.26
01/04/20,23500.0,0.255,0.27,0.28,0.255
02/04/20,16400.0,0.27,0.28,0.28,0.27
03/04/20,10800.0,0.27,0.27,0.27,0.27
06/04/20,417600.0,0.28,0.28,0.32,0.28
07/04/20,147100.0,0.32,0.29,0.34,0.29
08/04/20,53400.0,0.3,0.29,0.31,0.29
13/04/20,50900.0,0.265,0.3,0.3,0.265
14/04/20,129300.0,0.3,0.28,0.3,0.28
15/04/20,11400.0,0.285,0.285,0.285,0.285
16/04/20,22950.0,0.29,0.29,0.29,0.28
17/04/20,58300.0,0.29,0.285,0.305,0.28
20/04/20,119800.0,0.29,0.31,0.31,0.29
21/04/20,66700.0,0.29,0.29,0.29,0.29
22/04/20,121950.0,0.31,0.3,0.32,0.3
23/04/20,102350.0,0.29,0.295,0.3,0.29
24/04/20,11650.0,0.295,0.29,0.295,0.29
27/04/20,2900.0,0.29,0.29,0.29,0.29
28/04/20,517650.0,0.305,0.31,0.345,0.3
29/04/20,3415100.0,0.325,0.345,0.37,0.31
30/04/20,705100.0,0.345,0.34,0.36,0.33
04/05/20,679850.0,0.325,0.32,0.35,0.3
05/05/20,142400.0,0.31,0.32,0.33,0.31
06/05/20,226650.0,0.32,0.31,0.32,0.305
07/05/20,13200.0,0.33,0.33,0.33,0.33
08/05/20,3300.0,0.33,0.33,0.33,0.33
11/05/20,9000.0,0.3,0.3,0.3,0.3
12/05/20,42250.0,0.3,0.305,0.305,0.3
13/05/20,238400.0,0.3,0.305,0.305,0.28
15/05/20,68300.0,0.295,0.31,0.31,0.295
18/05/20,3100.0,0.31,0.31,0.31,0.31
20/05/20,35000.0,0.29,0.3,0.3,0.29
21/05/20,3000.0,0.3,0.3,0.3,0.3
26/05/20,25400.0,0.29,0.28,0.29,0.28
27/05/20,84000.0,0.28,0.28,0.28,0.28
28/05/20,3100.0,0.31,0.31,0.31,0.31
29/05/20,24050.0,0.3,0.305,0.305,0.3
01/06/20,17300.0,0.285,0.305,0.305,0.285
02/06/20,68250.0,0.3,0.3,0.3,0.285
03/06/20,63600.0,0.29,0.31,0.31,0.285
04/06/20,38550.0,0.305,0.305,0.305,0.295
05/06/20,14550.0,0.29,0.295,0.295,0.29
08/06/20,138450.0,0.305,0.31,0.31,0.3
09/06/20,63050.0,0.31,0.32,0.32,0.31
10/06/20,70050.0,0.32,0.315,0.32,0.3
11/06/20,120000.0,0.3,0.3,0.3,0.3
15/06/20,174050.0,0.295,0.295,0.295,0.295
16/06/20,43550.0,0.285,0.31,0.31,0.285
17/06/20,84700.0,0.31,0.3,0.31,0.3
18/06/20,547300.0,0.295,0.28,0.295,0.28
19/06/20,146500.0,0.28,0.27,0.28,0.27
22/06/20,95900.0,0.28,0.29,0.29,0.275
23/06/20,87000.0,0.29,0.3,0.3,0.285
24/06/20,60000.0,0.3,0.3,0.3,0.3
25/06/20,86300.0,0.29,0.3,0.3,0.29
26/06/20,39000.0,0.3,0.3,0.3,0.3
29/06/20,17450.0,0.29,0.295,0.295,0.29
30/06/20,59150.0,0.295,0.295,0.3,0.295
01/07/20,106300.0,0.295,0.295,0.3,0.295
03/07/20,194100.0,0.29,0.275,0.305,0.275
06/07/20,124550.0,0.275,0.27,0.275,0.27
07/07/20,56800.0,0.27,0.27,0.275,0.27
08/07/20,16650.0,0.28,0.275,0.28,0.275
10/07/20,167950.0,0.27,0.29,0.29,0.265
14/07/20,36848000.0,0.29,0.31,0.435,0.29
15/07/20,2384000.0,0.33,0.28,0.335,0.27
16/07/20,786050.0,0.28,0.3,0.31,0.26
17/07/20,221350.0,0.295,0.28,0.295,0.27
20/07/20,42650.0,0.28,0.285,0.285,0.28
21/07/20,250850.0,0.28,0.29,0.29,0.28
22/07/20,154700.0,0.29,0.275,0.29,0.27
23/07/20,195550.0,0.27,0.275,0.28,0.27
24/07/20,49200.0,0.29,0.285,0.295,0.285
27/07/20,60500.0,0.275,0.275,0.275,0.275
28/07/20,54650.0,0.29,0.275,0.29,0.275
30/07/20,21950.0,0.275,0.275,0.275,0.27
03/08/20,48200.0,0.275,0.275,0.275,0.265
04/08/20,71250.0,0.275,0.275,0.275,0.27
05/08/20,59350.0,0.275,0.265,0.275,0.265
06/08/20,172600.0,0.27,0.265,0.27,0.265
07/08/20,117100.0,0.265,0.27,0.27,0.265
10/08/20,197000.0,0.27,0.265,0.27,0.265
11/08/20,319850.0,0.27,0.28,0.29,0.27
12/08/20,16500.0,0.275,0.275,0.275,0.275
13/08/20,68250.0,0.27,0.28,0.28,0.265
14/08/20,10800.0,0.27,0.27,0.27,0.27
17/08/20,41550.0,0.275,0.28,0.28,0.275
18/08/20,143000.0,0.285,0.285,0.29,0.285
19/08/20,78300.0,0.29,0.29,0.29,0.29
20/08/20,14000.0,0.28,0.28,0.28,0.28
24/08/20,239500.0,0.29,0.28,0.29,0.28
25/08/20,534700.0,0.285,0.3,0.315,0.285
26/08/20,352650.0,0.305,0.295,0.305,0.295
27/08/20,9300.0,0.31,0.31,0.31,0.31
28/08/20,263550.0,0.295,0.3,0.3,0.295
01/09/20,6000.0,0.3,0.3,0.3,0.3
02/09/20,69000.0,0.3,0.3,0.3,0.3
03/09/20,69000.0,0.3,0.3,0.3,0.3
04/09/20,272000.0,0.305,0.295,0.305,0.295
07/09/20,269100.0,0.29,0.28,0.29,0.28
08/09/20,5700.0,0.285,0.285,0.285,0.285
09/09/20,2800.0,0.28,0.28,0.28,0.28
10/09/20,47200.0,0.295,0.295,0.295,0.295
11/09/20,174750.0,0.295,0.28,0.3,0.28
14/09/20,2800.0,0.28,0.28,0.28,0.28
18/09/20,151850.0,0.295,0.29,0.31,0.29
21/09/20,62700.0,0.285,0.285,0.285,0.285
22/09/20,275900.0,0.285,0.31,0.31,0.28
23/09/20,52700.0,0.31,0.3,0.31,0.28
24/09/20,122550.0,0.285,0.285,0.285,0.285
25/09/20,34200.0,0.285,0.285,0.285,0.285
28/09/20,19950.0,0.285,0.285,0.285,0.285
29/09/20,11600.0,0.295,0.285,0.295,0.285
30/09/20,28500.0,0.285,0.285,0.285,0.285
01/10/20,136800.0,0.285,0.285,0.285,0.285
02/10/20,128150.0,0.295,0.28,0.295,0.28
05/10/20,283950.0,0.28,0.28,0.285,0.28
06/10/20,117600.0,0.28,0.28,0.28,0.28
07/10/20,681850.0,0.28,0.27,0.285,0.27
08/10/20,286700.0,0.285,0.29,0.29,0.28
09/10/20,1855150.0,0.29,0.295,0.325,0.29
12/10/20,396700.0,0.3,0.31,0.315,0.29
13/10/20,178250.0,0.31,0.305,0.31,0.29
14/10/20,320400.0,0.305,0.315,0.32,0.305
15/10/20,4295250.0,0.32,0.325,0.365,0.315
16/10/20,350050.0,0.32,0.315,0.33,0.31
19/10/20,508600.0,0.315,0.31,0.315,0.305
20/10/20,202300.0,0.31,0.3,0.31,0.3
21/10/20,92850.0,0.3,0.3,0.3,0.295
22/10/20,75250.0,0.3,0.3,0.305,0.3
23/10/20,118500.0,0.31,0.31,0.31,0.295
27/10/20,209400.0,0.295,0.3,0.305,0.295
28/10/20,118650.0,0.305,0.305,0.305,0.3
29/10/20,207400.0,0.305,0.3,0.305,0.295
30/10/20,135700.0,0.295,0.295,0.295,0.295
03/11/20,466350.0,0.29,0.3,0.31,0.29
04/11/20,138500.0,0.31,0.31,0.31,0.3
05/11/20,237850.0,0.3,0.3,0.31,0.295
06/11/20,274300.0,0.3,0.31,0.31,0.295
11/11/20,18000.0,0.3,0.3,0.3,0.3
13/11/20,39000.0,0.3,0.3,0.3,0.3
16/11/20,168650.0,0.3,0.295,0.3,0.295
17/11/20,72650.0,0.315,0.315,0.32,0.315
18/11/20,6200.0,0.31,0.31,0.31,0.31
19/11/20,1306450.0,0.31,0.335,0.35,0.31
20/11/20,716700.0,0.35,0.34,0.355,0.32
23/11/20,242150.0,0.34,0.34,0.34,0.325
24/11/20,4080250.0,0.35,0.37,0.395,0.33
25/11/20,903750.0,0.385,0.365,0.385,0.345
26/11/20,177700.0,0.36,0.36,0.36,0.34
27/11/20,466600.0,0.33,0.34,0.35,0.33
01/12/20,200950.0,0.355,0.355,0.365,0.345
02/12/20,82200.0,0.34,0.36,0.36,0.34
03/12/20,181700.0,0.36,0.355,0.36,0.34
04/12/20,34000.0,0.34,0.34,0.34,0.34
07/12/20,110700.0,0.335,0.335,0.35,0.335
09/12/20,83900.0,0.335,0.335,0.35,0.335
10/12/20,592750.0,0.345,0.34,0.365,0.335
11/12/20,211450.0,0.34,0.34,0.355,0.34
14/12/20,100050.0,0.345,0.345,0.345,0.345
15/12/20,5200900.0,0.36,0.38,0.4,0.36
16/12/20,1338600.0,0.395,0.375,0.4,0.375
17/12/20,889400.0,0.41,0.375,0.41,0.37
18/12/20,1871600.0,0.4,0.39,0.42,0.38
21/12/20,318850.0,0.395,0.375,0.395,0.37
22/12/20,642200.0,0.375,0.395,0.395,0.375
23/12/20,229350.0,0.395,0.39,0.395,0.38
28/12/20,234000.0,0.375,0.39,0.395,0.375
29/12/20,611100.0,0.38,0.375,0.38,0.37
04/01/21,325950.0,0.37,0.385,0.39,0.37
05/01/21,203150.0,0.375,0.385,0.385,0.37
06/01/21,419950.0,0.37,0.385,0.385,0.37
07/01/21,579950.0,0.37,0.38,0.38,0.365
08/01/21,1369150.0,0.38,0.38,0.41,0.37
11/01/21,351500.0,0.38,0.4,0.4,0.375
