Date,Value,Open,Close,High,Low
22/01/20,2560.0,2.56,2.56,2.56,2.56
24/01/20,12800.0,2.56,2.56,2.56,2.56
07/04/20,2100.0,2.1,2.1,2.1,2.1
23/06/20,1480.0,1.48,1.48,1.48,1.48
23/07/20,57840.0,1.71,1.68,1.71,1.68
24/07/20,124450.0,1.84,2.52,2.52,1.84
27/07/20,51330.0,2.52,1.8,2.79,1.77
29/07/20,11150.0,1.86,1.85,1.86,1.85
11/08/20,5400.0,1.8,1.8,1.8,1.8
04/09/20,5400.0,1.8,1.8,1.8,1.8
10/09/20,1710.0,1.71,1.71,1.71,1.71
25/09/20,1740.0,1.74,1.74,1.74,1.74
06/10/20,8750.0,1.75,1.75,1.75,1.75
22/10/20,4000.0,2.0,2.0,2.0,2.0
23/10/20,37980.0,1.99,2.0,2.0,1.99
30/10/20,96720.0,1.77,1.99,1.99,1.77
05/11/20,20140.0,1.82,1.85,1.85,1.82
10/11/20,39120.0,1.78,1.78,1.78,1.77
16/11/20,1880.0,1.88,1.88,1.88,1.88
18/11/20,15740.0,1.74,1.75,1.75,1.74
19/11/20,33100.0,1.74,1.74,1.75,1.74
23/11/20,0.0,0.0,0.0,0.0,0.0
24/11/20,12110.0,1.73,1.73,1.73,1.73
25/11/20,24460.0,1.88,1.89,1.89,1.88
27/11/20,43300.0,1.88,1.89,1.89,1.88
03/12/20,3700.0,1.85,1.85,1.85,1.85
04/12/20,15040.0,1.88,1.88,1.88,1.88
07/12/20,11340.0,1.89,1.89,1.89,1.89
09/12/20,9000.0,1.8,1.8,1.8,1.8
10/12/20,1820.0,1.82,1.82,1.82,1.82
15/12/20,57000.0,1.9,1.9,1.9,1.9
17/12/20,3800.0,1.9,1.9,1.9,1.9
21/12/20,13300.0,1.9,1.9,1.9,1.9
04/01/21,68000.0,1.8,1.9,1.9,1.8
05/01/21,17180.0,1.9,1.92,1.92,1.9
07/01/21,9500.0,1.9,1.9,1.9,1.9
