Date,Value,Open,Close,High,Low
02/01/20,1764030.0,0.191,0.187,0.191,0.185
03/01/20,1412090.0,0.187,0.197,0.197,0.184
06/01/20,9135300.0,0.197,0.218,0.223,0.192
07/01/20,2818590.0,0.22,0.212,0.22,0.21
08/01/20,3299960.0,0.21,0.2,0.21,0.199
09/01/20,4722510.0,0.201,0.212,0.214,0.197
10/01/20,19677920.0,0.214,0.23,0.236,0.211
14/01/20,12819440.0,0.237,0.243,0.248,0.237
15/01/20,14860770.0,0.243,0.247,0.26,0.243
16/01/20,10585120.0,0.248,0.235,0.248,0.231
17/01/20,11969930.0,0.237,0.255,0.255,0.233
20/01/20,13531350.0,0.26,0.25,0.27,0.247
21/01/20,7271150.0,0.25,0.25,0.255,0.246
22/01/20,5754690.0,0.25,0.24,0.25,0.239
23/01/20,1567260.0,0.24,0.244,0.247,0.238
24/01/20,3983470.0,0.245,0.249,0.25,0.241
27/01/20,5786090.0,0.25,0.236,0.25,0.234
28/01/20,4717990.0,0.236,0.225,0.236,0.225
29/01/20,1442170.0,0.226,0.228,0.233,0.225
30/01/20,913260.0,0.229,0.229,0.229,0.225
31/01/20,6728110.0,0.226,0.215,0.226,0.209
03/02/20,3227210.0,0.213,0.207,0.213,0.192
04/02/20,1909190.0,0.2,0.215,0.219,0.199
05/02/20,1180850.0,0.218,0.205,0.218,0.204
06/02/20,1423790.0,0.205,0.201,0.21,0.201
07/02/20,1154790.0,0.203,0.199,0.203,0.199
10/02/20,1051210.0,0.199,0.2,0.204,0.198
11/02/20,2330340.0,0.202,0.215,0.215,0.202
12/02/20,4830800.0,0.218,0.201,0.23,0.201
13/02/20,1187630.0,0.213,0.202,0.213,0.202
14/02/20,823040.0,0.201,0.203,0.207,0.2
17/02/20,1051440.0,0.201,0.2,0.206,0.199
18/02/20,727620.0,0.2,0.2,0.203,0.199
19/02/20,1320180.0,0.202,0.209,0.212,0.2
20/02/20,1024190.0,0.209,0.203,0.21,0.2
21/02/20,1388160.0,0.2,0.2,0.207,0.2
24/02/20,2982920.0,0.2,0.199,0.202,0.196
26/02/20,1516010.0,0.197,0.192,0.2,0.192
27/02/20,1316900.0,0.191,0.19,0.191,0.187
28/02/20,1299120.0,0.187,0.184,0.189,0.182
02/03/20,993530.0,0.182,0.18,0.184,0.18
03/03/20,1347570.0,0.18,0.185,0.185,0.173
04/03/20,1236230.0,0.185,0.181,0.185,0.175
05/03/20,615900.0,0.181,0.184,0.187,0.18
06/03/20,853600.0,0.187,0.184,0.188,0.181
09/03/20,2499460.0,0.18,0.155,0.184,0.155
10/03/20,1191540.0,0.15,0.146,0.15,0.138
11/03/20,720740.0,0.145,0.156,0.161,0.145
12/03/20,2216390.0,0.156,0.145,0.156,0.145
13/03/20,1889980.0,0.139,0.13,0.139,0.105
16/03/20,379990.0,0.12,0.13,0.13,0.12
19/03/20,375980.0,0.121,0.12,0.121,0.111
20/03/20,246780.0,0.12,0.125,0.127,0.12
