Date,Value,Open,Close,High,Low
02/01/20,116530.0,0.55,0.59,0.59,0.54
03/01/20,29180.0,0.59,0.59,0.59,0.56
07/01/20,14150.0,0.56,0.58,0.58,0.56
08/01/20,57700.0,0.56,0.58,0.58,0.56
09/01/20,65290.0,0.56,0.59,0.59,0.56
10/01/20,686740.0,0.59,0.6,0.64,0.59
14/01/20,15100.0,0.58,0.6,0.6,0.58
15/01/20,53210.0,0.59,0.6,0.6,0.59
20/01/20,155300.0,0.59,0.6,0.6,0.58
21/01/20,1200.0,0.6,0.6,0.6,0.6
23/01/20,3510.0,0.58,0.59,0.59,0.58
24/01/20,83200.0,0.6,0.6,0.6,0.58
27/01/20,91660.0,0.58,0.59,0.59,0.58
28/01/20,64040.0,0.58,0.6,0.6,0.58
29/01/20,90310.0,0.6,0.6,0.61,0.59
30/01/20,8580.0,0.57,0.6,0.6,0.57
31/01/20,268480.0,0.57,0.6,0.6,0.56
03/02/20,693510.0,0.56,0.58,0.58,0.55
04/02/20,81160.0,0.56,0.59,0.59,0.56
05/02/20,435230.0,0.55,0.57,0.57,0.55
06/02/20,236580.0,0.57,0.59,0.59,0.55
07/02/20,24100.0,0.56,0.58,0.58,0.56
11/02/20,3380.0,0.56,0.58,0.58,0.56
12/02/20,2260.0,0.56,0.58,0.58,0.56
13/02/20,17320.0,0.54,0.58,0.58,0.54
17/02/20,27080.0,0.53,0.58,0.58,0.53
18/02/20,87950.0,0.57,0.59,0.59,0.57
19/02/20,223160.0,0.58,0.54,0.59,0.54
20/02/20,330210.0,0.59,0.54,0.59,0.54
21/02/20,94400.0,0.59,0.59,0.59,0.59
24/02/20,590.0,0.59,0.59,0.59,0.59
26/02/20,461690.0,0.54,0.59,0.59,0.54
28/02/20,275590.0,0.55,0.59,0.59,0.55
02/03/20,73660.0,0.58,0.58,0.58,0.58
03/03/20,65450.0,0.55,0.59,0.59,0.55
04/03/20,222470.0,0.56,0.6,0.6,0.56
05/03/20,1170.0,0.57,0.6,0.6,0.57
06/03/20,696490.0,0.6,0.59,0.63,0.58
09/03/20,45150.0,0.55,0.6,0.6,0.55
10/03/20,564930.0,0.54,0.57,0.6,0.53
11/03/20,40830.0,0.58,0.55,0.6,0.55
12/03/20,628940.0,0.53,0.48,0.53,0.48
13/03/20,21700.0,0.27,0.52,0.52,0.27
16/03/20,25000.0,0.5,0.5,0.5,0.5
19/03/20,34670.0,0.3,0.37,0.37,0.3
20/03/20,21300.0,0.45,0.44,0.45,0.4
25/03/20,9800.0,0.49,0.49,0.49,0.49
26/03/20,5000.0,0.5,0.5,0.5,0.5
27/03/20,68910.0,0.59,0.55,0.59,0.55
30/03/20,1080.0,0.54,0.54,0.54,0.54
01/04/20,925.0,0.415,0.51,0.51,0.415
03/04/20,36240.0,0.44,0.52,0.52,0.44
06/04/20,2480.0,0.53,0.465,0.53,0.465
08/04/20,23450.0,0.455,0.49,0.49,0.455
13/04/20,59500.0,0.46,0.455,0.48,0.455
14/04/20,37000.0,0.46,0.49,0.49,0.455
15/04/20,36600.0,0.455,0.46,0.46,0.455
17/04/20,22750.0,0.45,0.475,0.475,0.45
20/04/20,1108750.0,0.475,0.495,0.5,0.46
21/04/20,69600.0,0.5,0.495,0.5,0.495
24/04/20,63100.0,0.465,0.51,0.51,0.465
27/04/20,18040.0,0.5,0.495,0.5,0.47
28/04/20,18100.0,0.435,0.47,0.47,0.435
29/04/20,82700.0,0.455,0.475,0.475,0.455
30/04/20,110250.0,0.475,0.54,0.54,0.475
04/05/20,8480.0,0.53,0.53,0.53,0.53
05/05/20,5300.0,0.53,0.53,0.53,0.53
06/05/20,4350.0,0.385,0.5,0.5,0.385
07/05/20,2905.0,0.52,0.48,0.52,0.43
08/05/20,23050.0,0.465,0.455,0.465,0.455
11/05/20,8900.0,0.445,0.445,0.445,0.445
12/05/20,1055900.0,0.48,0.48,0.48,0.475
14/05/20,9100.0,0.455,0.455,0.455,0.455
15/05/20,87500.0,0.48,0.495,0.495,0.48
21/05/20,5400.0,0.54,0.54,0.54,0.54
27/05/20,648000.0,0.54,0.54,0.54,0.54
03/06/20,1080.0,0.54,0.54,0.54,0.54
08/06/20,34150.0,0.395,0.53,0.53,0.395
09/06/20,2650.0,0.53,0.53,0.53,0.53
10/06/20,530.0,0.53,0.53,0.53,0.53
15/06/20,90620.0,0.455,0.52,0.52,0.45
16/06/20,33170.0,0.47,0.52,0.52,0.47
17/06/20,19820.0,0.455,0.52,0.52,0.455
19/06/20,4100.0,0.46,0.52,0.52,0.46
22/06/20,79980.0,0.465,0.495,0.51,0.465
23/06/20,62600.0,0.495,0.475,0.495,0.465
24/06/20,98800.0,0.52,0.53,0.53,0.5
25/06/20,2120.0,0.53,0.53,0.53,0.53
26/06/20,4000.0,0.5,0.5,0.5,0.5
29/06/20,1405.0,0.405,0.5,0.5,0.405
30/06/20,2275.0,0.455,0.455,0.455,0.455
01/07/20,74800.0,0.53,0.54,0.54,0.53
02/07/20,42320.0,0.54,0.53,0.54,0.48
03/07/20,12190.0,0.53,0.53,0.53,0.53
07/07/20,16215.0,0.43,0.5,0.5,0.43
08/07/20,7010.0,0.5,0.5,0.5,0.45
09/07/20,15790.0,0.46,0.52,0.53,0.46
10/07/20,1040.0,0.52,0.52,0.52,0.52
15/07/20,89940.0,0.46,0.5,0.51,0.46
16/07/20,9720.0,0.46,0.46,0.48,0.46
23/07/20,15700.0,0.55,0.5,0.55,0.5
24/07/20,6560.0,0.55,0.52,0.55,0.52
27/07/20,500.0,0.5,0.5,0.5,0.5
28/07/20,16985.0,0.455,0.485,0.5,0.455
03/08/20,101600.0,0.59,0.52,0.59,0.52
04/08/20,60810.0,0.475,0.5,0.5,0.43
05/08/20,16800.0,0.5,0.51,0.51,0.49
07/08/20,2785.0,0.455,0.51,0.51,0.455
10/08/20,499120.0,0.455,0.49,0.5,0.455
11/08/20,27950.0,0.44,0.465,0.495,0.44
12/08/20,5100.0,0.51,0.51,0.51,0.51
13/08/20,45270.0,0.56,0.55,0.56,0.445
14/08/20,21830.0,0.55,0.58,0.6,0.55
17/08/20,26630.0,0.54,0.55,0.55,0.49
18/08/20,202860.0,0.51,0.55,0.55,0.5
19/08/20,145510.0,0.53,0.58,0.6,0.53
20/08/20,560.0,0.56,0.56,0.56,0.56
24/08/20,5600.0,0.56,0.56,0.56,0.56
26/08/20,54090.0,0.57,0.58,0.58,0.54
27/08/20,108480.0,0.51,0.56,0.58,0.5
01/09/20,5260.0,0.56,0.56,0.57,0.51
02/09/20,9530.0,0.55,0.57,0.57,0.55
03/09/20,2850.0,0.57,0.57,0.57,0.57
09/09/20,34980.0,0.51,0.58,0.58,0.51
10/09/20,376650.0,0.58,0.51,0.6,0.51
11/09/20,36710.0,0.55,0.54,0.55,0.54
14/09/20,55610.0,0.54,0.54,0.54,0.5
15/09/20,10980.0,0.53,0.54,0.54,0.51
16/09/20,47480.0,0.51,0.52,0.52,0.5
17/09/20,10370.0,0.51,0.52,0.52,0.51
18/09/20,303415.0,0.53,0.495,0.53,0.43
21/09/20,14500.0,0.475,0.5,0.5,0.475
24/09/20,19470.0,0.485,0.5,0.5,0.45
25/09/20,6740.0,0.49,0.49,0.49,0.47
29/09/20,4950.0,0.495,0.495,0.495,0.495
01/10/20,9800.0,0.49,0.49,0.49,0.49
02/10/20,32300.0,0.49,0.45,0.49,0.45
05/10/20,48800.0,0.495,0.49,0.495,0.48
06/10/20,23650.0,0.475,0.47,0.475,0.47
07/10/20,127750.0,0.485,0.48,0.49,0.45
08/10/20,74550.0,0.49,0.51,0.51,0.485
09/10/20,84210.0,0.5,0.52,0.57,0.46
12/10/20,26550.0,0.5,0.5,0.51,0.5
13/10/20,34200.0,0.485,0.49,0.495,0.485
14/10/20,35700.0,0.5,0.51,0.52,0.5
15/10/20,24870.0,0.5,0.485,0.51,0.485
16/10/20,4850.0,0.485,0.485,0.485,0.485
19/10/20,4850.0,0.485,0.485,0.485,0.485
20/10/20,43250.0,0.46,0.47,0.5,0.46
21/10/20,79200.0,0.475,0.51,0.51,0.475
22/10/20,84510.0,0.51,0.48,0.51,0.475
23/10/20,68000.0,0.49,0.48,0.495,0.48
26/10/20,44400.0,0.48,0.51,0.51,0.48
27/10/20,9785.0,0.485,0.5,0.5,0.485
29/10/20,32015.0,0.485,0.5,0.5,0.48
30/10/20,716530.0,0.495,0.51,0.51,0.485
03/11/20,367940.0,0.51,0.54,0.55,0.51
04/11/20,17290.0,0.54,0.54,0.55,0.54
05/11/20,5500.0,0.55,0.55,0.55,0.55
06/11/20,248200.0,0.54,0.52,0.54,0.49
09/11/20,25345.0,0.49,0.52,0.52,0.49
10/11/20,26060.0,0.5,0.51,0.51,0.495
11/11/20,85540.0,0.52,0.51,0.52,0.49
13/11/20,22495.0,0.52,0.51,0.52,0.495
16/11/20,993180.0,0.52,0.55,0.56,0.495
17/11/20,188540.0,0.55,0.53,0.55,0.51
18/11/20,1122410.0,0.53,0.56,0.57,0.5
19/11/20,662670.0,0.57,0.56,0.58,0.53
20/11/20,249490.0,0.56,0.56,0.58,0.53
23/11/20,220190.0,0.55,0.56,0.57,0.52
24/11/20,167110.0,0.53,0.57,0.58,0.53
25/11/20,43580.0,0.57,0.57,0.57,0.53
26/11/20,480620.0,0.54,0.56,0.56,0.52
27/11/20,124200.0,0.54,0.54,0.54,0.52
01/12/20,63820.0,0.54,0.55,0.55,0.51
02/12/20,69630.0,0.55,0.54,0.55,0.53
03/12/20,620330.0,0.53,0.56,0.56,0.52
04/12/20,233010.0,0.55,0.54,0.55,0.52
07/12/20,54660.0,0.54,0.54,0.54,0.52
09/12/20,275690.0,0.53,0.53,0.53,0.51
10/12/20,85820.0,0.52,0.52,0.53,0.52
11/12/20,184540.0,0.54,0.51,0.54,0.51
14/12/20,157450.0,0.53,0.53,0.53,0.52
15/12/20,817080.0,0.53,0.56,0.56,0.53
16/12/20,345060.0,0.56,0.57,0.57,0.53
17/12/20,304720.0,0.55,0.55,0.56,0.53
18/12/20,46250.0,0.55,0.55,0.56,0.53
21/12/20,423220.0,0.54,0.54,0.57,0.52
22/12/20,244320.0,0.54,0.53,0.55,0.52
23/12/20,100780.0,0.52,0.54,0.55,0.52
28/12/20,59780.0,0.53,0.54,0.54,0.52
29/12/20,85280.0,0.54,0.54,0.54,0.52
04/01/21,16950.0,0.51,0.53,0.53,0.51
05/01/21,50060.0,0.51,0.53,0.53,0.51
06/01/21,194570.0,0.51,0.53,0.53,0.51
07/01/21,3660.0,0.52,0.53,0.53,0.52
08/01/21,179300.0,0.53,0.55,0.55,0.51
11/01/21,413380.0,0.52,0.53,0.57,0.52
