Date,Value,Open,Close,High,Low
06/01/20,19800.0,3.3,3.3,3.3,3.3
07/01/20,10090.0,3.32,3.3,3.47,3.3
08/01/20,153590.0,3.2,3.1,3.45,3.0
09/01/20,44800.0,3.2,3.39,3.39,3.12
10/01/20,19940.0,3.44,3.4,3.44,3.2
14/01/20,54240.0,3.33,3.41,3.41,3.33
17/01/20,19860.0,3.33,3.3,3.33,3.3
23/01/20,666710.0,3.2,3.13,3.2,2.85
24/01/20,24930.0,3.01,3.18,3.18,3.01
27/01/20,88110.0,3.39,3.13,3.39,3.13
28/01/20,3150.0,3.15,3.15,3.15,3.15
29/01/20,65130.0,3.11,3.1,3.11,3.1
30/01/20,9780.0,3.26,3.26,3.26,3.26
31/01/20,27530.0,3.1,3.05,3.1,3.05
03/02/20,9690.0,3.29,3.2,3.29,3.2
04/02/20,44350.0,3.3,3.2,3.3,3.1
05/02/20,68430.0,3.1,3.19,3.24,3.1
06/02/20,3290.0,3.29,3.29,3.29,3.29
07/02/20,15500.0,3.1,3.1,3.1,3.1
10/02/20,12910.0,3.22,3.2,3.27,3.2
11/02/20,62340.0,3.11,3.1,3.27,3.1
12/02/20,22370.0,3.2,3.2,3.2,3.19
13/02/20,31190.0,3.1,3.1,3.24,3.1
14/02/20,18600.0,3.1,3.1,3.1,3.1
17/02/20,77700.0,3.1,3.3,3.3,3.1
18/02/20,6250.0,3.13,3.12,3.13,3.12
19/02/20,107500.0,3.08,3.07,3.08,3.07
21/02/20,27250.0,3.05,3.0,3.05,3.0
24/02/20,14600.0,2.92,2.92,2.92,2.92
26/02/20,38810.0,3.2,3.24,3.26,3.2
27/02/20,48140.0,3.25,3.23,3.25,3.2
28/02/20,800070.0,3.35,3.4,3.48,3.2
02/03/20,152500.0,3.46,3.44,3.54,3.3
03/03/20,100970.0,3.52,3.37,3.52,3.2
04/03/20,20490.0,3.45,3.38,3.45,3.38
05/03/20,87100.0,3.39,3.31,3.4,3.3
06/03/20,19290.0,3.2,3.39,3.39,3.1
09/03/20,75550.0,3.1,3.34,3.34,2.86
10/03/20,6380.0,3.38,3.0,3.38,3.0
11/03/20,24720.0,3.29,3.1,3.29,3.01
12/03/20,25230.0,3.28,3.2,3.28,3.1
13/03/20,21210.0,3.01,3.15,3.15,3.01
16/03/20,9600.0,3.2,3.2,3.2,3.2
19/03/20,12750.0,3.15,3.2,3.25,3.15
20/03/20,3330.0,3.33,3.33,3.33,3.33
23/03/20,31070.0,3.1,3.25,3.25,3.09
24/03/20,3240.0,3.24,3.24,3.24,3.24
27/03/20,48000.0,3.2,3.2,3.2,3.2
01/04/20,55800.0,3.1,3.1,3.1,3.1
03/04/20,12400.0,3.1,3.1,3.1,3.1
07/04/20,55800.0,3.1,3.1,3.1,3.1
08/04/20,34890.0,3.15,3.19,3.19,3.15
13/04/20,66970.0,3.3,3.11,3.3,3.11
14/04/20,12670.0,3.12,3.31,3.31,3.12
15/04/20,16000.0,3.2,3.2,3.2,3.2
16/04/20,102430.0,3.21,3.2,3.21,3.2
17/04/20,39780.0,3.31,3.32,3.32,3.31
20/04/20,90990.0,3.33,3.45,3.47,3.21
21/04/20,3450.0,3.45,3.45,3.45,3.45
23/04/20,204380.0,3.4,3.55,3.56,3.4
24/04/20,24100.0,3.5,3.5,3.5,3.4
27/04/20,41340.0,3.41,3.5,3.5,3.41
28/04/20,329530.0,3.55,3.64,3.64,3.46
29/04/20,65520.0,3.63,3.66,3.66,3.6
30/04/20,46800.0,3.6,3.6,3.6,3.6
04/05/20,21240.0,3.54,3.54,3.54,3.54
05/05/20,42480.0,3.54,3.54,3.54,3.54
06/05/20,161350.0,3.54,3.5,3.54,3.5
07/05/20,17500.0,3.5,3.5,3.5,3.5
13/05/20,71500.0,3.4,3.5,3.5,3.4
19/05/20,42000.0,3.5,3.5,3.5,3.5
20/05/20,14000.0,3.5,3.5,3.5,3.5
26/05/20,10350.0,3.45,3.45,3.45,3.45
27/05/20,6900.0,3.45,3.45,3.45,3.45
28/05/20,68400.0,3.45,3.45,3.45,3.4
29/05/20,10200.0,3.4,3.4,3.4,3.4
02/06/20,20360.0,3.4,3.4,3.4,3.38
04/06/20,54400.0,3.4,3.4,3.4,3.4
05/06/20,17500.0,3.5,3.5,3.5,3.5
08/06/20,58100.0,3.5,3.5,3.5,3.4
09/06/20,35100.0,3.5,3.55,3.55,3.5
10/06/20,21570.0,3.6,3.59,3.6,3.59
11/06/20,32390.0,3.59,3.64,3.64,3.59
15/06/20,50570.0,3.6,3.63,3.63,3.6
16/06/20,28860.0,3.63,3.63,3.63,3.6
17/06/20,83850.0,3.63,3.66,3.66,3.61
19/06/20,29290.0,3.66,3.67,3.67,3.66
22/06/20,24800.0,3.6,3.5,3.6,3.5
23/06/20,18240.0,3.6,3.66,3.66,3.6
26/06/20,11000.0,3.66,3.67,3.67,3.66
29/06/20,44060.0,3.67,3.67,3.68,3.67
30/06/20,66060.0,3.68,3.65,3.68,3.65
01/07/20,33140.0,3.68,3.69,3.69,3.68
03/07/20,121400.0,3.69,3.72,3.72,3.6
06/07/20,230690.0,3.72,3.73,3.73,3.72
07/07/20,93300.0,3.73,3.74,3.74,3.73
08/07/20,85530.0,3.73,3.74,3.74,3.66
09/07/20,18410.0,3.74,3.66,3.74,3.66
10/07/20,37090.0,3.75,3.74,3.75,3.66
13/07/20,90920.0,3.7,3.96,3.99,3.7
14/07/20,41880.0,3.95,3.92,3.95,3.7
15/07/20,19070.0,3.91,3.75,3.91,3.75
16/07/20,42230.0,3.76,3.94,3.94,3.75
17/07/20,70350.0,3.8,3.91,3.94,3.71
20/07/20,19590.0,3.91,3.91,3.93,3.91
21/07/20,64990.0,3.7,3.91,3.91,3.67
23/07/20,11600.0,3.9,3.9,3.9,3.8
24/07/20,11430.0,3.81,3.81,3.81,3.81
27/07/20,166630.0,3.8,3.6,3.9,3.6
28/07/20,14800.0,3.56,3.84,3.84,3.56
05/08/20,7660.0,3.83,3.83,3.83,3.83
06/08/20,131950.0,3.83,3.63,3.83,3.63
07/08/20,57320.0,3.59,3.74,3.74,3.41
11/08/20,91460.0,3.6,3.5,3.6,3.5
12/08/20,40350.0,3.5,3.7,3.74,3.5
13/08/20,41190.0,3.74,3.75,3.75,3.74
14/08/20,112600.0,3.75,3.76,3.82,3.75
17/08/20,19190.0,3.83,3.85,3.85,3.83
18/08/20,46470.0,3.85,3.88,3.88,3.85
19/08/20,19100.0,3.82,3.82,3.82,3.82
20/08/20,80930.0,3.86,3.86,3.86,3.85
24/08/20,15440.0,3.85,3.89,3.89,3.85
25/08/20,7880.0,3.94,3.94,3.94,3.94
27/08/20,15490.0,3.9,3.94,3.94,3.8
28/08/20,7980.0,3.99,3.99,3.99,3.99
01/09/20,59830.0,3.9,4.0,4.0,3.9
03/09/20,130280.0,4.0,4.2,4.2,4.0
04/09/20,25200.0,4.2,4.2,4.2,4.2
07/09/20,346040.0,4.2,4.3,4.49,4.1
08/09/20,168830.0,4.49,4.2,4.65,4.2
09/09/20,82100.0,4.2,4.6,4.65,4.2
10/09/20,32780.0,4.73,4.72,4.73,4.59
11/09/20,60050.0,4.7,4.67,4.7,4.5
14/09/20,47000.0,4.7,4.7,4.7,4.7
15/09/20,55200.0,4.6,4.6,4.6,4.6
16/09/20,115000.0,4.6,4.6,4.6,4.6
17/09/20,157800.0,4.6,4.5,4.6,4.5
18/09/20,35820.0,4.45,4.5,4.6,4.41
21/09/20,21610.0,4.33,4.31,4.33,4.31
22/09/20,71460.0,4.31,4.2,4.31,4.02
23/09/20,75550.0,4.12,4.3,4.3,4.12
24/09/20,38830.0,4.3,4.43,4.43,4.3
29/09/20,4390.0,4.39,4.39,4.39,4.39
02/10/20,8790.0,4.39,4.4,4.4,4.39
05/10/20,39120.0,4.26,4.39,4.4,4.25
06/10/20,8440.0,4.22,4.22,4.22,4.22
07/10/20,8500.0,4.2,4.3,4.3,4.2
08/10/20,21580.0,4.29,4.4,4.4,4.29
14/10/20,25920.0,4.33,4.3,4.36,4.3
15/10/20,8600.0,4.3,4.3,4.3,4.3
16/10/20,37890.0,4.29,4.2,4.29,4.2
19/10/20,17070.0,4.2,4.36,4.36,4.15
20/10/20,21810.0,4.36,4.37,4.37,4.36
21/10/20,34430.0,4.36,4.36,4.36,4.21
22/10/20,17140.0,4.22,4.35,4.35,4.22
23/10/20,13090.0,4.35,4.37,4.37,4.35
27/10/20,17240.0,4.3,4.37,4.37,4.2
28/10/20,8670.0,4.3,4.37,4.37,4.3
30/10/20,26260.0,4.37,4.39,4.39,4.37
03/11/20,89830.0,4.39,4.37,4.4,4.2
04/11/20,39330.0,4.37,4.37,4.37,4.37
05/11/20,57100.0,4.39,4.39,4.4,4.39
06/11/20,13170.0,4.39,4.39,4.39,4.39
09/11/20,21950.0,4.39,4.39,4.39,4.39
10/11/20,13180.0,4.39,4.4,4.4,4.39
11/11/20,21900.0,4.4,4.4,4.4,4.3
13/11/20,13200.0,4.4,4.4,4.4,4.4
17/11/20,44480.0,4.4,4.5,4.5,4.4
18/11/20,45540.0,4.5,4.59,4.59,4.5
20/11/20,36670.0,4.57,4.68,4.68,4.5
23/11/20,0.0,0.0,0.0,0.0,0.0
24/11/20,4580.0,4.58,4.58,4.58,4.58
25/11/20,27660.0,4.58,4.65,4.65,4.58
26/11/20,84430.0,4.68,4.7,4.7,4.68
01/12/20,14070.0,4.69,4.69,4.69,4.69
02/12/20,51180.0,4.6,4.69,4.69,4.6
04/12/20,31680.0,4.5,4.68,4.68,4.5
07/12/20,60910.0,4.68,4.69,4.69,4.68
09/12/20,32820.0,4.68,4.7,4.7,4.68
10/12/20,61020.0,4.69,4.7,4.7,4.69
11/12/20,103400.0,4.7,4.7,4.7,4.7
14/12/20,9400.0,4.7,4.7,4.7,4.7
15/12/20,42210.0,4.69,4.69,4.69,4.69
16/12/20,28200.0,4.7,4.7,4.7,4.7
17/12/20,37600.0,4.7,4.7,4.7,4.7
18/12/20,14060.0,4.68,4.7,4.7,4.68
21/12/20,32380.0,4.6,4.69,4.69,4.6
22/12/20,37540.0,4.69,4.7,4.7,4.69
23/12/20,32900.0,4.7,4.7,4.7,4.7
28/12/20,36580.0,4.6,4.6,4.6,4.53
29/12/20,18120.0,4.53,4.53,4.53,4.53
04/01/21,49650.0,4.5,4.65,4.65,4.5
05/01/21,26480.0,4.42,4.41,4.42,4.41
07/01/21,35600.0,4.45,4.45,4.45,4.45
11/01/21,13860.0,4.68,4.5,4.68,4.5
