Date,Value,Open,Close,High,Low
02/01/20,68709.0,6.19,6.19,6.19,6.19
03/01/20,81081.0,6.2,6.25,6.25,6.2
06/01/20,39658.0,6.28,6.38,6.39,6.28
07/01/20,48224.0,6.38,6.25,6.38,6.1
08/01/20,85640.0,6.2,6.25,6.25,6.04
09/01/20,21441.0,6.29,6.5,6.5,6.29
10/01/20,486759.0,6.5,6.8,7.0,6.5
14/01/20,103232.0,6.8,6.81,7.1,6.8
15/01/20,253335.0,6.96,7.05,7.21,6.96
16/01/20,47960.0,6.8,7.14,7.14,6.8
17/01/20,92959.0,7.14,6.8,7.14,6.56
20/01/20,32580.0,6.81,6.98,7.0,6.81
21/01/20,195298.0,6.85,7.09,7.14,6.85
22/01/20,106855.0,7.09,7.1,7.1,7.05
24/01/20,36561.0,6.9,6.89,6.9,6.89
27/01/20,14030.0,6.9,7.13,7.13,6.9
29/01/20,31694.0,6.89,6.89,6.89,6.89
30/01/20,729.0,7.29,7.29,7.29,7.29
31/01/20,188724.0,6.89,7.19,7.29,6.57
03/02/20,139332.0,6.56,6.52,7.13,6.52
04/02/20,118560.0,6.55,6.52,6.98,6.52
05/02/20,42445.0,6.53,6.53,6.53,6.53
06/02/20,7214.0,6.84,6.53,6.84,6.53
07/02/20,80741.0,6.53,6.79,6.79,6.52
11/02/20,68379.0,6.51,6.52,6.52,6.51
12/02/20,717.0,7.17,7.17,7.17,7.17
13/02/20,6870.0,6.87,6.87,6.87,6.87
17/02/20,687.0,6.87,6.87,6.87,6.87
24/02/20,13080.0,6.54,6.54,6.54,6.54
26/02/20,29992.0,6.52,6.52,6.52,6.52
27/02/20,1300.0,6.5,6.5,6.5,6.5
28/02/20,652.0,6.52,6.52,6.52,6.52
02/03/20,13652.0,6.52,6.5,6.52,6.5
04/03/20,10455.0,6.15,6.15,6.15,6.15
05/03/20,16364.0,6.14,6.49,6.49,6.12
06/03/20,649.0,6.49,6.49,6.49,6.49
11/03/20,15921.0,6.0,6.5,6.5,6.0
12/03/20,36210.0,6.0,6.4,6.4,5.8
13/03/20,18626.0,5.3,6.2,6.2,5.22
19/03/20,49106.0,5.22,5.5,5.5,5.22
20/03/20,3132.0,5.22,5.22,5.22,5.22
23/03/20,995.0,4.75,5.2,5.2,4.75
25/03/20,407459.0,4.75,4.78,5.22,4.75
27/03/20,4800.0,4.8,4.8,4.8,4.8
30/03/20,14400.0,4.8,4.8,4.8,4.8
31/03/20,47500.0,4.75,4.75,4.75,4.75
01/04/20,40210.0,4.9,5.0,5.16,4.9
03/04/20,3850.0,5.5,5.5,5.5,5.5
06/04/20,55307.0,6.2,6.0,6.2,6.0
07/04/20,8840.0,6.15,5.8,6.15,5.8
13/04/20,10070.0,5.3,5.3,5.3,5.3
14/04/20,12340.0,5.75,5.5,5.75,5.32
15/04/20,113707.0,6.15,5.51,6.15,5.51
17/04/20,41565.0,5.6,6.0,6.0,5.3
20/04/20,2043.0,4.81,6.0,6.0,4.81
21/04/20,39261.0,6.0,6.2,6.2,6.0
22/04/20,1250.0,6.25,6.25,6.25,6.25
24/04/20,30318.0,6.34,6.34,6.34,6.31
27/04/20,69028.0,6.34,6.4,6.4,6.34
29/04/20,64424.0,6.4,6.0,6.52,5.9
30/04/20,60910.0,6.15,6.5,6.65,6.15
04/05/20,99973.0,6.66,6.82,6.83,6.32
05/05/20,187378.0,6.82,6.92,6.92,6.8
06/05/20,11024.0,6.89,6.89,6.89,6.89
08/05/20,1300.0,6.2,6.8,6.8,6.2
15/05/20,71338.0,6.8,6.7,6.8,6.16
18/05/20,99220.0,6.75,6.8,6.85,6.75
19/05/20,28332.0,6.7,6.82,6.82,6.7
01/06/20,20428.0,6.21,6.8,6.8,6.21
02/06/20,118675.0,6.3,6.78,6.78,6.3
03/06/20,22169.0,6.78,6.75,6.78,6.34
