Date,Value,Open,Close,High,Low
02/01/20,68846.0,16.96,16.9,16.96,16.6
03/01/20,2374642.0,16.94,16.5,16.96,16.5
06/01/20,19815858.0,16.5,16.0,16.5,15.52
07/01/20,13179946.0,16.0,15.52,16.0,15.5
08/01/20,8599764.0,15.54,15.5,15.58,15.4
09/01/20,10993380.0,15.5,15.08,15.5,15.08
10/01/20,34877038.0,15.1,14.18,15.12,14.12
14/01/20,25456854.0,14.7,13.92,14.9,13.9
15/01/20,23665096.0,14.3,13.22,14.4,13.12
16/01/20,55946078.0,13.36,14.16,14.22,13.22
17/01/20,65608702.0,14.22,13.4,14.6,13.4
20/01/20,31234992.0,13.6,12.34,13.6,12.2
21/01/20,102963180.0,12.5,12.0,13.2,11.9
22/01/20,23823158.0,12.1,12.0,12.1,11.8
23/01/20,69377646.0,12.3,12.68,12.9,12.1
24/01/20,47838104.0,12.98,12.16,13.14,12.12
27/01/20,26233862.0,12.1,11.56,12.3,11.38
28/01/20,26534842.0,11.4,11.2,11.46,11.02
29/01/20,37521722.0,11.2,10.58,11.62,10.2
30/01/20,15335134.0,10.58,10.2,10.6,10.0
31/01/20,23198462.0,10.2,9.12,10.38,9.0
03/02/20,77601446.0,8.84,9.84,10.48,8.82
04/02/20,86696274.0,10.0,10.12,10.18,9.28
05/02/20,167223740.0,10.4,10.86,11.5,10.3
06/02/20,41526654.0,11.18,10.48,11.24,10.3
07/02/20,45574728.0,10.76,10.6,11.06,10.1
10/02/20,29986352.0,10.9,10.98,11.3,10.6
11/02/20,25003888.0,10.98,10.5,11.1,10.5
12/02/20,37548914.0,10.32,9.95,10.66,9.94
13/02/20,16957776.0,10.0,9.95,10.26,9.85
14/02/20,107760852.0,10.18,11.1,11.4,9.97
17/02/20,109912554.0,11.7,11.0,12.0,10.86
18/02/20,61849542.0,11.0,10.9,11.38,10.76
19/02/20,27000742.0,10.9,10.9,11.2,10.8
20/02/20,30859468.0,10.92,10.54,11.1,10.54
21/02/20,42785848.0,10.54,10.02,10.56,10.02
24/02/20,44149509.0,10.0,9.9,10.0,9.79
26/02/20,24906917.0,9.51,9.45,9.58,9.21
27/02/20,37963406.0,9.45,9.2,9.7,9.17
28/02/20,37388558.0,8.8,8.4,8.8,8.22
02/03/20,30408242.0,8.4,8.3,8.4,7.96
03/03/20,75613561.0,8.51,8.0,8.88,8.0
04/03/20,30254703.0,7.96,8.0,8.06,7.88
05/03/20,6382213.0,8.15,8.08,8.26,8.06
06/03/20,7355207.0,8.0,8.03,8.05,7.7
09/03/20,9650607.0,7.89,7.0,7.89,7.0
10/03/20,4989077.0,7.0,7.14,7.2,6.7
11/03/20,4016153.0,7.2,7.1,7.57,7.0
12/03/20,9480444.0,7.1,5.8,7.1,5.61
13/03/20,10168938.0,5.7,5.99,6.2,4.84
16/03/20,6225102.0,5.7,5.1,5.79,5.1
19/03/20,4876629.0,4.8,4.06,4.8,3.94
20/03/20,1861570.0,4.19,4.18,4.75,4.16
23/03/20,6521750.0,4.17,4.75,4.75,4.0
24/03/20,2147690.0,4.75,4.61,4.75,4.4
25/03/20,7723330.0,4.97,4.62,4.97,4.5
26/03/20,9155880.0,4.79,4.68,4.91,4.6
27/03/20,12594090.0,4.67,4.9,5.2,4.67
30/03/20,5971270.0,4.9,4.73,4.92,4.55
31/03/20,5627270.0,4.73,4.77,4.9,4.61
01/04/20,20760160.0,4.77,4.6,5.35,4.4
02/04/20,11594240.0,4.52,4.3,4.57,4.27
03/04/20,20383080.0,4.3,4.25,4.47,4.15
06/04/20,10383340.0,4.25,4.24,4.35,4.15
07/04/20,15204260.0,4.32,4.26,4.4,4.23
