Date,Value,Open,Close,High,Low
03/01/20,61750.0,2.47,2.47,2.47,2.47
30/01/20,9120.0,2.28,2.28,2.28,2.28
03/02/20,6900.0,2.3,2.3,2.3,2.3
09/03/20,4590.0,2.3,2.29,2.3,2.29
10/03/20,2000.0,2.0,2.0,2.0,2.0
18/05/20,68530.0,1.65,1.75,1.75,1.46
20/05/20,19170.0,1.57,1.75,1.8,1.57
21/05/20,1580.0,1.58,1.58,1.58,1.58
27/05/20,10100.0,1.61,1.72,1.72,1.61
28/05/20,8470.0,1.63,1.85,1.85,1.57
01/06/20,18000.0,2.0,2.0,2.0,2.0
08/06/20,23890.0,2.46,2.11,2.46,2.1
15/06/20,1810.0,1.81,1.81,1.81,1.81
24/06/20,1900.0,1.9,1.9,1.9,1.9
08/07/20,192000.0,1.92,1.92,1.92,1.92
30/07/20,221090.0,1.95,1.9,1.95,1.9
05/08/20,3780.0,1.89,1.89,1.89,1.89
19/08/20,10700.0,2.14,2.14,2.14,2.14
20/08/20,6420.0,2.14,2.14,2.14,2.14
25/08/20,1570.0,1.57,1.57,1.57,1.57
15/09/20,157030.0,1.85,2.35,2.35,1.85
16/09/20,1960.0,1.96,1.96,1.96,1.96
29/09/20,2090.0,2.09,2.09,2.09,2.09
05/10/20,18450.0,2.05,2.05,2.05,2.05
09/10/20,25809160.0,2.05,2.51,3.0,2.05
12/10/20,601070.0,2.6,2.6,2.93,2.5
13/10/20,20020.0,2.6,2.42,2.6,2.4
14/10/20,40800.0,2.4,2.4,2.4,2.4
15/10/20,99220.0,2.31,2.3,2.32,2.3
16/10/20,4580.0,2.28,2.3,2.3,2.28
20/10/20,31030.0,2.28,2.18,2.28,2.16
21/10/20,6520.0,2.17,2.18,2.18,2.17
23/10/20,13200.0,2.2,2.2,2.2,2.2
26/10/20,8640.0,2.16,2.16,2.16,2.16
27/10/20,6490.0,2.16,2.17,2.17,2.16
28/10/20,2170.0,2.17,2.17,2.17,2.17
29/10/20,32550.0,2.17,2.17,2.17,2.17
04/11/20,2240.0,2.24,2.24,2.24,2.24
05/11/20,55660.0,2.24,2.2,2.24,2.2
10/11/20,2160.0,2.16,2.16,2.16,2.16
16/11/20,8680.0,2.17,2.17,2.17,2.17
17/11/20,26400.0,2.2,2.2,2.2,2.2
19/11/20,57170.0,2.17,2.2,2.2,2.17
23/11/20,0.0,0.0,0.0,0.0,0.0
25/11/20,11000.0,2.2,2.2,2.2,2.2
26/11/20,2200.0,2.2,2.2,2.2,2.2
27/11/20,2170.0,2.17,2.17,2.17,2.17
02/12/20,193880.0,2.17,2.71,2.74,2.17
03/12/20,30070.0,2.74,2.73,2.74,2.73
04/12/20,134620.0,2.7,2.7,2.7,2.49
07/12/20,68250.0,2.73,2.73,2.73,2.73
09/12/20,21600.0,2.7,2.7,2.7,2.7
11/12/20,72900.0,2.7,2.7,2.7,2.7
15/12/20,42180.0,2.53,2.7,2.7,2.53
18/12/20,77760.0,2.53,2.7,2.7,2.51
23/12/20,5400.0,2.7,2.7,2.7,2.7
28/12/20,26950.0,2.65,2.7,2.7,2.65
29/12/20,29700.0,2.7,2.7,2.7,2.7
04/01/21,269000.0,2.68,2.7,2.7,2.68
05/01/21,31320.0,2.61,2.61,2.61,2.61
07/01/21,463540.0,2.66,2.67,2.67,2.66
08/01/21,663650.0,2.75,2.89,2.98,2.75
11/01/21,61500.0,2.89,2.98,2.99,2.89
