Date,Value,Open,Close,High,Low
07/01/20,3450.0,11.5,11.5,11.5,11.5
21/01/20,1384.0,13.84,13.84,13.84,13.84
30/01/20,40092.0,13.8,13.84,13.84,13.8
10/02/20,33120.0,13.8,13.8,13.8,13.8
11/02/20,1102.0,11.02,11.02,11.02,11.02
12/02/20,34120.0,11.1,10.6,11.1,10.6
18/02/20,14840.0,10.6,10.6,10.6,10.6
21/02/20,4950.0,12.5,12.0,12.5,12.0
04/03/20,12774.0,10.54,11.98,11.98,10.52
05/03/20,6418.0,10.54,11.48,11.48,10.54
11/03/20,3524.0,11.76,11.74,11.76,11.74
12/03/20,159572.0,11.48,11.48,11.48,11.48
16/03/20,1196.0,11.96,11.96,11.96,11.96
23/03/20,25588.0,11.9,13.74,13.74,11.9
26/03/20,157114.0,13.72,12.0,13.8,11.0
27/03/20,14900.0,11.8,11.34,12.0,11.34
30/03/20,20696.0,12.0,12.98,13.0,12.0
06/04/20,8160.0,10.2,10.2,10.2,10.2
07/04/20,6132.0,10.22,10.22,10.22,10.22
08/04/20,9642.0,12.0,11.9,12.44,11.9
15/04/20,48210.0,11.0,11.1,11.1,10.3
20/04/20,25640.0,10.26,10.24,10.26,10.24
24/04/20,1068.0,10.68,10.68,10.68,10.68
27/04/20,7380.0,10.7,10.6,10.7,10.5
28/04/20,3066.0,10.22,10.22,10.22,10.22
29/04/20,6132.0,10.22,10.22,10.22,10.22
30/04/20,20440.0,10.22,10.22,10.22,10.22
04/05/20,21670.0,10.96,10.74,10.96,10.74
05/05/20,31842.0,10.64,10.64,10.64,10.5
06/05/20,306880.0,11.18,14.0,15.0,11.18
07/05/20,946454.0,14.5,18.7,18.7,14.5
08/05/20,210312.0,19.0,17.4,19.0,15.0
11/05/20,84380.0,14.0,16.7,16.7,14.0
12/05/20,19400.0,14.8,14.8,16.4,14.8
13/05/20,7740.0,14.8,16.5,16.5,14.8
14/05/20,3290.0,16.5,16.4,16.5,16.4
